no;tokoh;weight;halaman;kandidat_masalah;valid_(1=ya/0=tidak);catatan;evidence
1;Abdullah bin Abbas;0.3;312-314;;;;"...lalu. Abu Dawud dan lain-lainya meriwayatkan dari Ibnu Abbas $, dia berkata. ""Setelah Rasulullah memperoleh kemenangan atas Quraisy pada Perang Badr dan kembali ke Madinah, maka beliau mengumpulkan"
2;Abdullah bin Abu Bakar;0.5;324-325;tanpa 'Badr'?;;;...ahl, Shafwan bin Umayyah, Abu Sufyan bin Harb dan Abdullah bin Abu Rabi'ah Tindakan pertama yang mereka lakukan dalam kesempatan ini ialah menghimpun kembali barang dagangan yang bisa diselamatkan 
3;Abdullah bin Jahsy;0.2;256-265;tanpa 'Badr'?;;;...haq dan batil. Insiden yang dipicu satuan pasukan Abdullah bin Jahsy merupakan pukulan yang telak terhadap kehormatan dan dominasi orang-orang Musyrik Insiden ini membuat mereka terluka lalu membia
4;Abdullah bin Ubay bin Salul;0.2;420-424;tanpa 'Badr'?;;;"...abung bersama mereka dan membaca Al-Qur an. Namun Abdullah bin Ubay berkata, ""Duduk saja di rumahmu dan jangan mengganggu majelis Ini terjadi sebelum dia pura-pura masuk Islam. Sekalipun sudah meny"
5;Abdurrahman;0.5;289-293;;;;...akan teman karib semasa Jahiliyah di Makkah. Pada Perang Badr itu Abdurrahman melewati Umayyah bin Khalaf yang sedang berpegang...
6;Abdurrahman bin Auf;0.5;287-289 | 289-293;;;;"...menyedot darahnya lewat tangan dua pemuda Anshar. Abdurrahman bin Auf menuturkan, ""Tatkala aku sedang berada di tengah barisan pada Perang Badr, aku menengok ke arah kiri dan kanan. Kulihat ada..."
7;Abu Azzah;0.5;324-325 | 368-373;NEGASI?;;;...ngat manusia. Bahkan Shafwan bin Umayyah membujuk Abu Azzah, seorang penyair yang tertawan di Perang Badr, namun kemudian dibebaskan Rasulullah tanpa tebus...
8;Abu Bakar;0.5;231-232;NEGASI?;;;
9;Abu Hurairah;0.2;385-386;NEGASI?;;;...ilangkan terlebih sebelum kaum Muslimin terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab 
10;Abu Jahal;0.5;165-168;NEGASI?;;;...bersumpah tidak akan keluar dari Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah y...
11;Abu Lahab;0.5;295-297;NEGASI?;;;...Namun Al-Abbas menyembunyikan keislamannya. Saat Perang Badr, Abu Lahab tidak ikut serta. Ketika sudah ada kabar tentang...
12;Abu Lubabah bin Abdul;0.4;315-316;;;;...Terjadi pada bulan Dzul Hijjah, dua bulan setelah Perang Badr. Urusan di Madinah beliau serahkan kepada Abu Lubabah bin Abdul
13;Abu Musa;0.2;385-386;NEGASI?;;;...ilangkan terlebih sebelum kaum Muslimin terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab 
14;Abu Rasulullah;0.2;174-180;;;;"...melindungi siapa pun yang engkau lindungi,"" kata Abu Rasulullah senantiasa teringat perlindungan yang diberkan Muth'im ini. Maka beliau bersabda tentang para tawanan Perang Badr. ""Andaikata Al-Muth"
15;Abu Shafwan;0.2;324-325;NEGASI?;;;...bujuk Abu Azzah, seorang penyair yang tertawan di Perang Badr, namun kemudian dibebaskan Rasulullah tanpa tebusan apa pun, dengan syarat dia tidak boleh memerangi beliau lagi dalam bentuk apa pun. 
16;Abu Sufyan bin Harb;0.5;165-168 | 300-302 | 315-316 | 324-325 | 334-335 | 359-360 | 385-386;;;;"...Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah yang memungkinkan dapat digunakan untuk melarikan diri jika diperlukan ""Wahai Abu Sufyan"
17;Abul Ash;0.3;231-232;NEGASI?;;;...nab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di...
18;Abul Ash bin Ar-Rabi';0.2;611;NEGASI?;;;
19;Abul Bakhtari bin Hisyam;0.2;289-293;tanpa 'Badr'?;;;"...gitu aku akan mati bersama-sama dengannya,"" jawab Abul Bakhtari. Lalu mereka berdua melancarkan serangan sehingga terpaksa Al-Mujadzdz membunuh Abul Bakhtari. 3. Abdurrahman bin Auf dan Umayyah bin"
20;Aisyah;0.5;231-232;NEGASI?;;;
21;Al-Abbas bin Abdul Muththalib;0.4;295-297;tanpa 'Badr'?;;;"...ntu Rasulullah berkata, ""Dulu aku adalah pembantu Al-Abbas. Saat itu Islam sudah masuk kepada beberapa anggota keluarga. Al-Abbas masuk Islam, begitu pula Ummul Fadhl dan aku. Namun Al-Abbas menyem"
22;Al-Aswad bin Al-Muththalib;0.5;295-297;;;;...terpuruk karena dicerca orang-orang Muslim. Dalam Perang Badr ini Al-Aswad bin Al-Muththalib kehilangan tiga anaknya. Karena buta, dia lebih s...
23;Ali bin Abu Thalib;0.5;281-282 | 368-373 | 611;;;;...unia di Ash-Shafra', empat atau lima hari setelah Perang Badr, di tengah perjalanan pulang ke Madinah. Pada saat itu Ali bersumpah kepada Allah, hingga karenanya turun ay...
24;Ali bin Umayyah;0.5;289-293;;;;...akan teman karib semasa Jahiliyah di Makkah. Pada Perang Badr itu Abdurrahman melewati Umayyah bin Khalaf yang sedang berpegangan tangan dengan anaknya, Ali bin Umayyah. Sementara saat itu Abdurrah
25;Amr bin Al-Ash;0.5;133-137;;;;...n riwayat Ibnu Ishaq. Yang lain menyebutkan bahwa Amr bin Al-Ash diutus kepada Najasyi setelah Perang Badr.
26;Amr bin Umayyah;0.2;377-379;tanpa 'Badr'?;;;...apa orang untuk menjaga jasadnya. Kemudian muncul Amr bin Umayyah Adh-Dhamiri dan pada malam harinya dia dapat mengakali para penjaga, lalu membawa jasadnya untuk dikuburkan. Yang menangani eksekus
27;An-Nadhr bin Al-Harits;0.5;334-335;;;;"...entang apa yang menimpa pasukan Quraisy pada saat Perang Badr, yaitu saat pembawa bendera mereka, An-Nadhr bin Al-Harits tertawan. Dia berkata kepada mereka, ""Wahai Bani..."
28;Bilal bin Rabah;0.5;231-232;;;;...emungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di Madinah, sementara Abu Bakar dan Bilal merintih kesakitan, aku segera menemui keduanya
29;Furat bin Hayyan;0.2;321-323;;;;...pasukan, setelah mengambil seperlimanya. Kemudian Furat bin Hayyan masuk Islam di hadapan beliau. Tentu saja kejadian ini merupakan bencana besar yang menimpa Quraisy setelah Perang Badr. Mereka se
30;Hakim bin Hizam;0.2;277-279;NEGASI?;;;
31;Hamzah bin Abdul Muththalib;0.5;327-328 | 340;;;;...tokoh kelompok yang sangat berantusias ini adalah Hamzah bin Abdul Muththalib, paman Rasulullah , yang pada Perang Badr dia hanya menggantungkan pedangnya.
32;Hasan bin Ali;0.3;611;;;;...mah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud. Dari pernikahan Fathimah dan Ali ini lahir Hasan, Husain, Zainab, dan Ummu Kultsum Sebagaimana yan...
33;Hujair bin Abu Ihab;0.2;377-379;;;;...e Makkah dan menjualnya disana Padahal pada waktu Perang Badr, keduanya telah menghabisi sekian banyak para bangsawan Quraisy. Khubaib ditahan di Makkah dan dimasukan ke dalam penjara setelah dibel
34;Husain bin Ali;0.3;611;;;;...mah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud. Dari pernikahan Fathimah dan Ali ini lahir Hasan, Husain, Zainab, dan Ummu Kultsum Sebagaimana yang sudah...
35;Ibnu Ummi;0.2;306-307;;;;...awwal 2 Hijriyah, selang tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah sebagai wakil beliau di Madinah. Namun menurut pendapat lain, dia adalah Ibnu Ummi Lokasi Perang Badr 163
36;Ikrimah bin Abu Jahal;0.5;324-325;tanpa 'Badr'?;;;...n paling getol mengadakan persiapan perang adalah Ikrimah bin Abu Jahl, Shafwan bin Umayyah, Abu Sufyan bin Harb dan Abdullah bin Abu Rabi'ah Tindakan pertama yang mereka lakukan dalam kesempatan i
37;Jubair bin Muth'im;0.4;340;;;;"...zah, Wahsy bin Harb, ""Sebelumnya aku adalah budak Jubair bin Muth'im. Paman Jubair. Thu'aimah bin Adi terbunuh pada Perang Badr. Pada saat Quraisy pergi ke Uhud, Jubair berkata..."
38;Khunais bin Hudzafah;0.5;612;;;;Dia ditinggal mati suaminya, Khunais bin Hudzafah As-Sahmi, pada waktu antara Perang Badr dan Uhud, lalu dinikahi Rasulullah pada tahun 3 H
39;Kurz bin Jabir;0.2;256-265;NEGASI?;;;...ataupun yang dipimpin Rasulullah sendiri sebelum Perang Badr. Dalam satu peperangan pun tidak terjadi perampasan harta dan juga tidak ada korban jiwa, kecuali dalam suatu insiden yang dilakukan ora
40;Muhammad;0.5;165-168 | 231-232 | 256-265 | 289-293 | 306-307 | 310-312 | 312-314 | 324-325 | 327-328 | 340 | 368-373 | 385-386 | 390-404 | 515-517 | 612;NEGASI?;;;
41;Najasyi;0.5;133-137;;;;...in menyebutkan bahwa Amr bin Al-Ash diutus kepada Najasyi setelah Perang Badr.
