label,nama_a,nama_b,jw,anotasi
PERSON,Abul Haitsam bin At-Taihan,Abul Haritsam bin At-Taihan,0.9926,?
PERSON,Umar bin Al-Kahththab,Umar bin Al-Khaththab,0.9905,?
PERSON,Uqbah bin Abu Mu'aith,Uqbah bin Abu Mu'ith,0.9905,?
PERSON,Zaid bin Ad-Dastinah,Zaid bin Ad-Datsinah,0.99,?
PERSON,Salamah bin Al-Akwa,Salamah bin Al-Akwa',0.99,?
PERSON,Utsman bin Abu Ash,Utsman bin Abul Ash,0.9895,?
PERSON,Al-Harits bin Amir,Al-Harits bin Amr,0.9889,?
PERSON,Khalad bin Suwaid,Khallad bin Suwaid,0.9889,?
PERSON,Sa'd bin Ubadah,Sa'd bin Ubaidah,0.9875,?
PERSON,Ilyas bin Mudha,Ilyas bin Mudhar,0.9875,variasi-sah
PERSON,Hani bin Mas'ud,Hani' bin Mas'ud,0.9875,?
PERSON,Mudhadh bin Amr,Mudhadh bin Amru,0.9875,?
PERSON,Abdullah bin Uraiqith,Abullah bin Uraiqith,0.9873,?
PERSON,Sa'd bin Mua'dz,Sa'd bin Muadz,0.9867,?
PERSON,Amar bin Al-Hadhrami,Amr bin Al-Hadhrami,0.9867,?
PERSON,Sa'd bin Mu'adz,Sa'd bin Muadz,0.9867,?
PERSON,Sa'd bin Mu'adz,Sa'd bin Mua'dz,0.9867,variasi-sah
PERSON,Sa'd bin Mu'ad,Sa'd bin Mu'adz,0.9867,variasi-sah
PERSON,Sakran bin Amr,Sakran bin Amru,0.9867,?
PERSON,Al-Abbas bin Abdul Muthalib,Al-Abbas bin Abdul Muththalib,0.9862,?
PERSON,Imran bin Amr,Imran bin Amru,0.9857,?
PERSON,Uamr bin Al-Khaththab,Umar bin Al-Khaththab,0.9857,?
PERSON,Sa'ad bin Ubadah,Sa'd bin Ubadah,0.9854,?
PERSON,Amr bin Al-Ash,Amru bin Al-Ash,0.9844,variasi-sah
PERSON,Hathib bin Abi Balta'ah,Hathib bin Abu Balta'ah,0.9826,?
PERSON,Az-Zubair bin Al-Awwam,Az-Zubair bin Al-Awwan,0.9818,?
PERSON,Ibnu Abbas,Ibnul Abbas,0.9818,?
PERSON,Ustman bin Affan,Utsman bin Affan,0.9812,?
PERSON,Umar bin Al-Khathab,Umar bin Al-Khaththab,0.981,?
PERSON,Abu Bakar,Abu Bakkar,0.98,?
PERSON,Sa'd bin Abi Waqqash,Sa'd bin Abu Waqqash,0.98,variasi-sah
PERSON,Khabbab bin Al-Aratt,Khabbab bin Al-Art,0.98,?
PERSON,Abu Sa'id,Abu Sa'ida,0.98,?
PERSON,Ibnu Haja,Ibnu Hajar,0.98,?
PERSON,Amir bin Sha'sha',Amir bin Sha'sha'ah,0.9789,?
LOCATION,Gua Hira,Gua Hira',0.9778,?
PERSON,Abdullah bin Jahsi,Abdullah bin Jahsy,0.9778,?
PERSON,Ibnu Sa'd,Ibnu Sad,0.9778,?
PERSON,Asad bin Khuzaimah,Asad bin Khuzainah,0.9778,?
PERSON,Abu Dzar,Abu Dzarr,0.9778,variasi-sah
PERSON,Ibnu Abu,Ibnu Abul,0.9778,?
PERSON,Abu Bara,Abu Bara',0.9778,?
PERSON,Abu Sa'id,Abu Said,0.9778,?
PERSON,Abu Rafi,Abu Rafi',0.9778,?
PERSON,Abu Raf',Abu Rafi',0.9778,?
PERSON,Abu Raf',Abu Raff',0.9778,?
