chunk_id;doc_id;chunk_index;judul_bab;judul_sub_bab;halaman;teks_chunk;entity_text;label;notes;start_char;end_char
000000-001;0;1;POSISI BANGSA ARAB DAN KAUMNYA;UNLABELED SECTION;34;Pada hakikatnya istilah Sirah Nabawiyah merupakan ungkapan tentang risalah yang dibawa Rasulullah kepada manusia, untuk mengeluarkan mereka dari kegelapan kepada cahaya, dari penyembahan terhadap hamba kepada penyembahan Allah. Jadi tidak mungkin bisa menghadirkan gambarannya secara pas dan mengena kecuali setelah membandingkan hal-hal di balik risalah ini dan pengaruhnya. Berangkat dari sinilah kami merasa perlu mengemukakan sedikit uraian tentang kaum-kaum bangsa Arab dan perkembangannya sebelum Islam, serta tentang kondisi-kondisi saat beliau diutus sebagai rasul;Rasulullah;PERSON;;87;97
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Jazirah Arab;LOCATION;;325;337
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Laut Merah;LOCATION;;347;357
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Irak;LOCATION;;455;459
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Syam;LOCATION;;582;586
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Irak;LOCATION;;618;622
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Jazirah Arab;LOCATION;;771;783
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Jazirah Arab;LOCATION;;887;899
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Jazirah Arab;LOCATION;;997;1009
000001-001;1;1;POSISI BANGSA ARAB DAN KAUMNYA;Posisi Bangsa Arab;34-35;Menurut bahasa, Arab artinya padang pasir, tanah gundul, dan gersang yang tiada air dan tanamannya. Sebutan dengan istilah ini sudah diberikan sejak dahulu kala kepada jazirah Arab, sebagaimana sebutan yang diberikan kepada suatu kaum yang disesuaikan dengan daerah tertentu, lalu mereka menjadikannya sebagai tempat tinggal Jazirah Arab dibatasi Laut Merah dan Gurun Sinai di sebelah barat, di sebelah timur dibatasi Teluk Arab dan sebagian besar negara Irak bagian selatan, di sebelah utara dibatasi Laut Arab yang bersambung dengan Lautan India, di sebelah utara dibatasi negeri Syam dan sebagian kecil dari negara Irak, sekalipun mungkin ada sedikit perbedaan dalam penentuan batasan ini. Luasnya membentang antara satu juta mil sampai satu juta tiga ratus ribu mil. Jazirah Arab memiliki peranan yang sangat besar karena letak geografis. Sedangkan dilihat dari kondisi internalnya, Jazirah Arab hanya dikelilingi gurun dan pasir di segala sudutnya. Karena kondisi seperti inilah yang membuat Jazirah Arab seperti benteng pertahanan yang kokoh, yang tidak memperkenankan bangsa asing untuk menjajah, mencaplok, atau menguasai bangsa Arab. Oleh karena itu kita bisa melihat penduduk Jazirah Arab yang hidup merdeka dan bebas dari segala urusan semenjak zaman dahulu. Sekalipun begitu mereka tetap hidup berdampingan dengan dua imperium yang besar saat itu, yang serangannya tak mungkin bisa dihalangi andaikata tidak ada benteng pertahanan yang kokoh seperti itu.;Jazirah Arab;LOCATION;;1186;1198
