text_id,token,label
000048-006,Allah,O
000048-006,"berfirman,",O
000048-006,"""Maka",O
000048-006,mereka,O
000048-006,menginginkan,O
000048-006,supaya,O
000048-006,kamu,O
000048-006,bersikap,O
000048-006,lunak,O
000048-006,lalu,O
000048-006,mereka,O
000048-006,bersikap,O
000048-006,lunak,O
000048-006,(pula,O
000048-006,kepadamu).,O
000048-006,"""",O
000048-006,(Al-Qalam:,O
000048-006,9),O
000048-006,Ada,O
000048-006,riwayat,O
000048-006,Ibnu,B_PERSON
000048-006,Jarir,I_PERSON
000048-006,dan,O
000048-006,Ath-Thabarani,B_PERSON
000048-006,yang,O
000048-006,menyebutkan,O
000048-006,bahwa,O
000048-006,orang-,O
000048-006,orang,O
000048-006,musyrik,O
000048-006,menawarkan,O
000048-006,kepada,O
000048-006,Rasulullah,B_PERSON
000048-006,",",O
000048-006,agar,O
000048-006,beliau,O
000048-006,menyembah,O
000048-006,sesembahan,O
000048-006,mereka,O
000048-006,selama,O
000048-006,setahun,O
000048-006,dan,O
000048-006,mereka,O
000048-006,menyembah,O
000048-006,Rabb,O
000048-006,beliau,O
000048-006,selama,O
000048-006,setahun,O
000048-006,kemudian.,O
000048-006,Riwayat,O
000048-006,lain,O
000048-006,menutur,O
000048-006,Abd,B_PERSON
000048-006,bin,I_PERSON
000048-006,Humaid,I_PERSON
000048-006,menyebutkan,O
000048-006,bahwa,O
000048-006,mereka,O
000048-006,"berkata,""",O
000048-006,Andaikan,O
000048-006,engkau,O
000048-006,mau,O
000048-006,menerima,O
000048-006,sesembahan,O
000048-006,kami.,O
000048-006,kami,O
000048-006,pun,O
000048-006,mau,O
000048-006,menyembah,O
000048-006,Ibnu,B_PERSON
000048-006,Ishaq,I_PERSON
000048-006,meriwayatkan,O
000048-006,dengan,O
000048-006,"sanadnya,",O
000048-006,dia,O
000048-006,"berkata,",O
000048-006,Selagi,O
000048-006,Rasulullah,B_PERSON
000048-006,74,O
000048-006,Sirah,O
000048-006,"An-Nabawiyah,",O
000048-006,Ibnu,B_PERSON
000048-006,"Hisyam,",I_PERSON
000048-006,"1/299-300,",O
000048-006,358;,O
000048-006,Mukhtashar,O
000048-006,Siratir-,O
000048-006,"Rasul,",O
000048-006,Syaikh,O
000048-006,Abdullah,O
000048-006,"An-Najdi,",B_PERSON
000048-006,hal.,O
000048-006,117-118.,O
000048-006,75,O
000048-006,"Tafhimul-Qur'an,",O
000048-006,6/501.,O
000048-006,sedang,O
000048-006,thawaf,O
000048-006,di,O
000048-006,"Ka'bah,",B_LOCATION
000048-006,beliau,O
000048-006,berpapasan,O
000048-006,dengan,O
000048-006,Al-Aswad,B_PERSON
000048-006,bin,I_PERSON
000048-006,Al-Muththalib,I_PERSON
000048-006,bin,I_PERSON
000048-006,Asad,I_PERSON
000048-006,bin,I_PERSON
000048-006,Abdul,I_PERSON
000048-006,Uzza,I_PERSON
000048-006,dan,O
000048-006,Al-Walid,B_PERSON
000048-006,bin,I_PERSON
000048-006,Al-Mughirah,I_PERSON
000048-006,bin,I_PERSON
000048-006,Khalaf,I_PERSON
000048-006,dan,O
000048-006,Al-Ash,B_PERSON
000048-006,bin,I_PERSON
000048-006,Wa'il,I_PERSON
000048-006,"As-Sahmi,",O
000048-006,yang,O
000048-006,mereka,O
000048-006,ini,O
000048-006,adalah,O
000048-006,para,O
000048-006,tetua,O
000048-006,kaumnya.,O
000048-006,Mereka,O
000048-006,"berkata,",O
000048-006,"""Wahai",O
000048-006,"Muhammad,",B_PERSON
000048-006,kesinilah!,O
000048-006,Kami,O
000048-006,mau,O
000048-006,menyembah,O
000048-006,apa,O
000048-006,yang,O
000048-006,engkau,O
000048-006,sembah,O
000048-006,dan,O
000048-006,engkau,O
000048-006,juga,O
000048-006,harus,O
000048-006,menyembah,O
000048-006,apa,O
000048-006,yang,O
000048-006,kami,O
000048-006,sembah.,O
000048-006,sehingga,O
000048-006,kita,O
000048-006,bisa,O
000048-006,saling,O
000048-006,bersekutu,O
000048-006,dalam,O
000048-006,masalah,O
000048-006,ini.,O
000048-006,Jika,O
000048-006,apa,O
000048-006,yang,O
000048-006,engkau,O
000048-006,sembah,O
000048-006,ternyata,O
000048-006,lebih,O
000048-006,baik,O
000048-006,dari,O
000048-006,apa,O
000048-006,yang,O
000048-006,kami,O
000048-006,"sembah,",O
000048-006,maka,O
000048-006,kami,O
000048-006,boleh,O
000048-006,melepas,O
000048-006,apa,O
000048-006,yang,O
000048-006,seharusnya,O
000048-006,menjadi,O
000048-006,bagian,O
000048-006,"kami,",O
000048-006,dan,O
000048-006,jika,O
000048-006,apa,O
000048-006,yang,O
000048-006,kami,O
000048-006,sembah,O
000048-006,ternyata,O
000048-006,lebih,O
000048-006,baik,O
000048-006,dari,O
000048-006,apa,O
000048-006,yang,O
000048-006,engkau,O
000048-006,"sembah,",O
000048-006,maka,O
000048-006,engkau,O
000048-006,harus,O
000048-006,melepas,O
000048-006,"bagianmu.""",O
000048-006,Lalu,O
000048-006,Allah,O
000048-006,menurunkan,O
000048-006,surah,O
000048-006,Al-Kafirun.,O
000051-003,Rasulullah,B_PERSON
000051-003,sudah,O
000051-003,tahu,O
000051-003,bahwa,O
000051-003,Ashhamah,O
000051-003,"An-Najasyi,",B_PERSON
000051-003,raja,O
000051-003,yang,O
000051-003,berkuasa,O
000051-003,di,O
000051-003,Habasyah,B_LOCATION
000051-003,adalah,O
000051-003,seorang,O
000051-003,raja,O
000051-003,yang,O
000051-003,"adil,",O
000051-003,tak,O
000051-003,bakal,O
000051-003,ada,O
000051-003,seorang,O
000051-003,pun,O
000051-003,yang,O
000051-003,teraniaya,O
000051-003,di,O
000051-003,sisinya.,O
000051-003,Oleh,O
000051-003,karena,O
000051-003,itu,O
000051-003,beliau,O
000051-003,memerintahkan,O
000051-003,agar,O
000051-003,beberapa,O
000051-003,orang,O
000051-003,Muslim,O
000051-003,hijrah,O
000051-003,ke,O
000051-003,"Habasyah,",B_LOCATION
000051-003,melepaskan,O
000051-003,diri,O
000051-003,dari,O
000051-003,cobaan,O
000051-003,sambil,O
000051-003,membawa,O
000051-003,agamanya.,O
000051-003,Pada,O
000051-003,bulan,B_TIME
000051-003,Rajab,I_TIME
000051-003,tahun,O
000051-003,kelima,O
000051-003,dari,O
000051-003,"nubuwah,",O
000051-003,sekelompok,O
000051-003,sahabat,O
000051-003,hijrah,O
000051-003,yang,O
000051-003,pertama,O
000051-003,kali,O
000051-003,ke,O
000051-003,"Habasyah,",B_LOCATION
000051-003,terdiri,O
