text_id,token,label
000280-001,Setelah,O
000280-001,urusan,O
000280-001,Khaibar,B_LOCATION
000280-001,selesai,O
000280-001,",",O
000280-001,Rasulullah,B_PERSON
000280-001,mengalihkan,O
000280-001,sasaran,O
000280-001,ke,O
000280-001,Wadil,O
000280-001,Qura,O
000280-001,.,O
000280-001,Di,O
000280-001,sana,O
000280-001,ada,O
000280-001,segolongan,O
000280-001,orang-orang,O
000280-001,Yahudi,O
000280-001,yang,O
000280-001,hidup,O
000280-001,bersama,O
000280-001,segolongan,O
000280-001,orang-orang,O
000280-001,Arab,O
000280-001,.,O
000280-001,Saat,O
000280-001,orang-orang,O
000280-001,Muslim,O
000280-001,tiba,O
000280-001,di,O
000280-001,sana,O
000280-001,",",O
000280-001,orang-orang,O
000280-001,Yahudi,O
000280-001,menyambut,O
000280-001,mereka,O
000280-001,dengan,O
000280-001,lemparan,O
000280-001,anak,O
000280-001,panah,O
000280-001,",",O
000280-001,hingga,O
000280-001,mengenai,O
000280-001,seorang,O
000280-001,pembantu,O
000280-001,Rasulullah,B_PERSON
000280-001,hingga,O
000280-001,meninggal,O
000280-001,dunia,O
000280-001,.,O
000280-001,Orang-orang,O
000280-001,berkata,O
000280-001,",",O
000280-001,"""",O
000280-001,Selamat,O
000280-001,atas,O
000280-001,surga,O
000280-001,yang,O
000280-001,diperolehnya,O
000280-001,".""",O
000280-001,Beliau,O
000280-001,bersabda,O
000280-001,",",O
000280-001,Sama,O
000280-001,sekali,O
000280-001,tidak,O
000280-001,.,O
000280-001,Demi,O
000280-001,yang,O
000280-001,diriku,O
000280-001,ada,O
000280-001,di,O
000280-001,tangan-Nya,O
000280-001,mantel,O
000280-001,yang,O
000280-001,dia,O
000280-001,curi,O
000280-001,dari,O
000280-001,harta,O
000280-001,rampasan,O
000280-001,Khaibar,B_LOCATION
000280-001,",",O
000280-001,padahal,O
000280-001,dia,O
000280-001,tidak,O
000280-001,mendapat,O
000280-001,bagian,O
000280-001,dari,O
000280-001,harta,O
000280-001,rampasan,O
000280-001,itu,O
000280-001,",",O
000280-001,benar-benar,O
000280-001,menjadi,O
000280-001,api,O
000280-001,yang,O
000280-001,membakarnya,O
000280-001,".""",O
000280-001,Saat,O
000280-001,orang-orang,O
000280-001,mendengarkan,O
000280-001,sabda,O
000280-001,beliau,O
000280-001,ini,O
000280-001,",",O
000280-001,tiba-tiba,O
000280-001,muncul,O
000280-001,seseorang,O
000280-001,ke,O
000280-001,hadapan,O
000280-001,beliau,O
000280-001,sambil,O
000280-001,membawa,O
000280-001,satu,O
000280-001,atau,O
000280-001,dua,O
000280-001,tali,O
000280-001,terompah,O
000280-001,Beliau,O
000280-001,bersabda,O
000280-001,",",O
000280-001,"""",O
000280-001,Ini,O
000280-001,adalan,O
000280-001,terompah,O
000280-001,dari,O
000280-001,api,O
000280-001,233,O
000280-001,Sirah,O
000280-001,An-Nabawiyah,O
000280-001,",",O
000280-001,Ibnu,B_PERSON
000280-001,Hisyam,I_PERSON
000280-001,",",O
000280-001,2/337-353,O
000280-001,234,O
000280-001,Shahih,O
000280-001,Al-Bukhari,O
000280-001,",",O
000280-001,2/608,O
000280-001,.,O
000280-001,Nabi,O
000280-001,menyiapkan,O
000280-001,para,O
000280-001,sahabat,O
000280-001,untuk,O
000280-001,berperang,O
000280-001,dan,O
000280-001,membariskan,O
000280-001,mereka,O
000280-001,.,O
000280-001,Satu,O
000280-001,bendera,O
000280-001,diserahkan,O
000280-001,kepada,O
000280-001,Sa'd,B_PERSON
000280-001,bin,I_PERSON
000280-001,Ubadah,I_PERSON
000280-001,",",O
000280-001,satu,O
000280-001,bendera,O
000280-001,lagi,O
000280-001,diserahkan,O
000280-001,kepada,O
000280-001,Al-Hubab,B_PERSON
000280-001,bin,I_PERSON
000280-001,Al-Mundzir,I_PERSON
000280-001,dan,O
000280-001,satu,O
000280-001,bendera,O
000280-001,lagi,O
000280-001,diserahkan,O
000280-001,kepada,O
000280-001,kepada,O
000280-001,Abbad,B_PERSON
000280-001,bin,I_PERSON
000280-001,Bisyr,I_PERSON
000280-001,.,O
000280-001,Beliau,O
000280-001,menyeru,O
000280-001,agar,O
000280-001,mereka,O
000280-001,mau,O
000280-001,masuk,O
000280-001,Islam,O
000280-001,",",O
000280-001,namun,O
000280-001,mereka,O
000280-001,menolaknya,O
000280-001,.,O
000280-001,Muncul,O
000280-001,salah,O
000280-001,seorang,O
000280-001,dari,O
000280-001,mereka,O
000280-001,yang,O
000280-001,mengajak,O
000280-001,adu,O
000280-001,tanding,O
000280-001,.,O
000280-001,Az-Zubair,B_PERSON
000280-001,bin,I_PERSON
000280-001,Al-Awwam,I_PERSON
000280-001,melayani,O
000280-001,tantangannya,O
000280-001,dan,O
000280-001,dapat,O
000280-001,membunuhnya,O
000280-001,.,O
000280-001,Muncul,O
000280-001,orang,O
000280-001,kedua,O
