chunk_id;halaman;label_aksi;verb;subject;context_text;confidence
000140-003;295-297;Pemukulan Abu Lahab oleh Ummul Fadhl di Zamzam;memukulkan;Ummul Fadhl;Ummul Fadhl bangkit memungut tiang pembatas Zamzam, lalu memukulkannya sekeras-kerasnya ke kepala Abu Lahab hingga menimbulkan luka yang menganga.;0.95
000140-003;295-297;Penyerangan Abu Rafi' oleh Abu Lahab;memukul;Abu Lahab;Abu Lahab mengangkat tangannya tinggi-tinggi lalu memukulkan ke mukaku dengan keras... dia membanting tubuhku ke tanah, kemudian menindihiku sambil melancarkan pukulan bertubi-tubi.;0.9
000140-003;295-297;Kematian Abu Lahab pasca Perang Badr;meninggal;Abu Lahab;Abu Lahab hanya mampu bertahan hidup tujuh hari setelah itu. Itu pun Allah menimpakan penyakit di sekujur tubuhnya, berupa luka bernanah.;0.95
000254-002;465-469;Pengutusan Amr sebagai utusan ke Raja Uman;mengutus;Muhammad;Aku berkata di hadapannya, 'Aku adalah utusan Rasulullah untuk menghadap tuan dan saudara tuan.';0.85
000254-002;465-469;Masuk Islam Amr di hadapan Najasyi;masuk Islam;Amr;'Di mana engkau masuk Islam?' 'Di hadapan Najasyi,' jawabku.;0.9
000254-002;465-469;Masuk Islam Raja Najasyi;masuk Islam;Najasyi;Lalu aku mengabarkan kepadanya bahwa Najasyi sudah masuk Islam.;0.9
000131-002;281-282;Duel Hamzah melawan Syaibah bin Rabi'ah;bertanding;Hamzah;Hamzah berhadapan dengan Syaibah bin Rabi'ah... Hamzah dan Ali tidak terlalu kesulitan melibas lawan tandingnya.;0.9
000131-002;281-282;Duel Ali melawan Al-Walid;bertanding;Ali bin Abu Thalib;Ali berhadapan dengan Al-Walid... Hamzah dan Ali tidak terlalu kesulitan melibas lawan tandingnya.;0.9
000131-002;281-282;Duel Ubaidah melawan Utbah bin Rabi'ah;bertanding;Ubaidah bin Al-Harits;Ubaidah yang paling tua di antara mereka, berhadapan dengan Utbah bin Rabi'ah... Masing-masing saling melancarkan serangan hingga dua kali, dan masing-masing melukai lawannya.;0.9
000131-002;281-282;Pembunuhan Utbah bin Rabi'ah oleh Hamzah dan Ali;membunuh;Hamzah dan Ali bin Abu Thalib;Kemudian Hamzah dan Ali menghampiri Utbah lalu membunuhnya.;0.95
000131-002;281-282;Wafatnya Ubaidah bin Al-Harits di Ash-Shafra';meninggal;Ubaidah bin Al-Harits;Dia sama sekali tidak mengeluh hingga meninggal dunia di Ash-Shafra', empat atau lima hari setelah Perang Badr, di tengah perjalanan pulang ke Madinah.;0.95
000127-001;275-276;Pemindahan pasukan Muslim ke mata air Badr atas saran Al-Hubab;memindahkan;Muhammad;Rasulullah memindahkan pasukannya, sehingga jarak mereka dengan mata air lebih dekat lagi daripada pihak musuh.;0.9
000127-001;275-276;Pemberian saran taktik perang oleh Al-Hubab bin Al-Mundzir;menyarankan;Al-Hubab bin Al-Mundzir;Al-Hubab bin Al-Mundzir tampil layaknya seorang penasihat militer... 'Pindahkanlah orang-orang ke tempat yang lebih dekat lagi dengan mata air...';0.9
000142-002;298-299;Pembagian harta rampasan Perang Badr di Ash-Shafra';membagi;Muhammad;beliau menghentikan pasukan dan membagi harta rampasan di sana secara merata di antara orang-orang Muslim setelah mengambil seperlimanya.;0.9
000142-002;298-299;Eksekusi An-Nadhr bin Al-Harits di Ash-Shafra';dipenggal;Ali bin Abu Thalib;Setiba di Ash-Shafra', An-Nadhr bin Al-Harits diperintahkan untuk dibunuh... Akhirnya dia dipenggal oleh Ali bin Abu Thalib.;0.95
000142-002;298-299;Eksekusi Uqbah bin Abu Mu'aith di Irquzh Zhabyah;dibunuh;Ashim bin Tsabit Al-Anshari;Setibanya di Irquzh Zhabyah, beliau juga memerintahkan untuk membunuh Uqbah bin Abu Mu'aith... Lalu dia dibunuh Ashim bin Tsabit Al-Anshari.;0.95
000140-001;295-297;Penyampaian kabar kekalahan Quraisy di Makkah;menyampaikan;Al-Haisuman bin Abdullah Al-Khuza'i;Ibnu Ishaq menuturkan, bahwa orang yang pertama kali menyampaikan kabar di Makkah tentang kekalahan Quraisy adalah Al-Haisuman bin Abdullah Al-Khuza'i.;0.95
000140-001;295-297;Masuk Islam Al-Abbas, Ummul Fadhl, dan Abu Rafi' secara sembunyi;masuk Islam;Al-Abbas, Ummul Fadhl, Abu Rafi';Al-Abbas masuk Islam, begitu pula Ummul Fadhl dan aku. Namun Al-Abbas menyembunyikan keislamannya.;0.9
