text_id,id,token,pos_tag,label
000000-001,000000-001.001,Pada,NN,O
000000-001,000000-001.002,hakikatnya,NN,O
000000-001,000000-001.003,istilah,NN,O
000000-001,000000-001.004,Sirah,NN,O
000000-001,000000-001.005,Nabawiyah,NN,O
000000-001,000000-001.006,merupakan,NN,O
000000-001,000000-001.007,ungkapan,NN,O
000000-001,000000-001.008,tentang,NN,O
000000-001,000000-001.009,risalah,NN,O
000000-001,000000-001.010,yang,NN,O
000000-001,000000-001.011,dibawa,NN,O
000000-001,000000-001.012,Rasulullah,NN,B-PERSON
000000-001,000000-001.013,kepada,NN,O
000000-001,000000-001.014,manusia,NN,O
000000-001,000000-001.015,",",NN,O
000000-001,000000-001.016,untuk,NN,O
000000-001,000000-001.017,mengeluarkan,NN,O
000000-001,000000-001.018,mereka,NN,O
000000-001,000000-001.019,dari,NN,O
000000-001,000000-001.020,kegelapan,NN,O
000000-001,000000-001.021,kepada,NN,O
000000-001,000000-001.022,cahaya,NN,O
000000-001,000000-001.023,",",NN,O
000000-001,000000-001.024,dari,NN,O
000000-001,000000-001.025,penyembahan,NN,O
000000-001,000000-001.026,terhadap,NN,O
000000-001,000000-001.027,hamba,NN,O
000000-001,000000-001.028,kepada,NN,O
000000-001,000000-001.029,penyembahan,NN,O
000000-001,000000-001.030,Allah,NN,O
000000-001,000000-001.031,.,NN,O
000000-001,000000-001.032,Jadi,NN,O
000000-001,000000-001.033,tidak,NN,O
000000-001,000000-001.034,mungkin,NN,O
000000-001,000000-001.035,bisa,NN,O
000000-001,000000-001.036,menghadirkan,NN,O
000000-001,000000-001.037,gambarannya,NN,O
000000-001,000000-001.038,secara,NN,O
000000-001,000000-001.039,pas,NN,O
000000-001,000000-001.040,dan,NN,O
000000-001,000000-001.041,mengena,NN,O
000000-001,000000-001.042,kecuali,NN,O
000000-001,000000-001.043,setelah,NN,O
000000-001,000000-001.044,membandingkan,NN,O
000000-001,000000-001.045,hal-hal,NN,O
000000-001,000000-001.046,di,NN,O
000000-001,000000-001.047,balik,NN,O
000000-001,000000-001.048,risalah,NN,O
000000-001,000000-001.049,ini,NN,O
000000-001,000000-001.050,dan,NN,O
000000-001,000000-001.051,pengaruhnya,NN,O
000000-001,000000-001.052,.,NN,O
000000-001,000000-001.053,Berangkat,NN,O
000000-001,000000-001.054,dari,NN,O
000000-001,000000-001.055,sinilah,NN,O
000000-001,000000-001.056,kami,NN,O
000000-001,000000-001.057,merasa,NN,O
000000-001,000000-001.058,perlu,NN,O
000000-001,000000-001.059,mengemukakan,NN,O
000000-001,000000-001.060,sedikit,NN,O
000000-001,000000-001.061,uraian,NN,O
000000-001,000000-001.062,tentang,NN,O
000000-001,000000-001.063,kaum-kaum,NN,O
000000-001,000000-001.064,bangsa,NN,O
000000-001,000000-001.065,Arab,NN,O
000000-001,000000-001.066,dan,NN,O
000000-001,000000-001.067,perkembangannya,NN,O
000000-001,000000-001.068,sebelum,NN,O
000000-001,000000-001.069,Islam,NN,O
000000-001,000000-001.070,",",NN,O
000000-001,000000-001.071,serta,NN,O
000000-001,000000-001.072,tentang,NN,O
000000-001,000000-001.073,kondisi-kondisi,NN,O
000000-001,000000-001.074,saat,NN,O
000000-001,000000-001.075,beliau,NN,O
000000-001,000000-001.076,diutus,NN,O
000000-001,000000-001.077,sebagai,NN,O
000000-001,000000-001.078,rasul,NN,O
000001-001,000001-001.001,Menurut,NN,O
000001-001,000001-001.002,bahasa,NN,O
000001-001,000001-001.003,",",NN,O
000001-001,000001-001.004,Arab,NN,O
000001-001,000001-001.005,artinya,NN,O
000001-001,000001-001.006,padang,NN,O
000001-001,000001-001.007,pasir,NN,O
000001-001,000001-001.008,",",NN,O
000001-001,000001-001.009,tanah,NN,O
000001-001,000001-001.010,gundul,NN,O
000001-001,000001-001.011,",",NN,O
000001-001,000001-001.012,dan,NN,O
000001-001,000001-001.013,gersang,NN,O
000001-001,000001-001.014,yang,NN,O
000001-001,000001-001.015,tiada,NN,O
000001-001,000001-001.016,air,NN,O
000001-001,000001-001.017,dan,NN,O
000001-001,000001-001.018,tanamannya,NN,O
000001-001,000001-001.019,.,NN,O
000001-001,000001-001.020,Sebutan,NN,O
000001-001,000001-001.021,dengan,NN,O
000001-001,000001-001.022,istilah,NN,O
000001-001,000001-001.023,ini,NN,O
000001-001,000001-001.024,sudah,NN,O
000001-001,000001-001.025,diberikan,NN,O
000001-001,000001-001.026,sejak,NN,O
000001-001,000001-001.027,dahulu,NN,O
000001-001,000001-001.028,kala,NN,O
000001-001,000001-001.029,kepada,NN,O
000001-001,000001-001.030,jazirah,NN,O
000001-001,000001-001.031,Arab,NN,O
000001-001,000001-001.032,",",NN,O
000001-001,000001-001.033,sebagaimana,NN,O
000001-001,000001-001.034,sebutan,NN,O
000001-001,000001-001.035,yang,NN,O
000001-001,000001-001.036,diberikan,NN,O
000001-001,000001-001.037,kepada,NN,O
000001-001,000001-001.038,suatu,NN,O
000001-001,000001-001.039,kaum,NN,O
000001-001,000001-001.040,yang,NN,O
000001-001,000001-001.041,disesuaikan,NN,O
000001-001,000001-001.042,dengan,NN,O
000001-001,000001-001.043,daerah,NN,O
000001-001,000001-001.044,tertentu,NN,O
000001-001,000001-001.045,",",NN,O
000001-001,000001-001.046,lalu,NN,O
000001-001,000001-001.047,mereka,NN,O
000001-001,000001-001.048,menjadikannya,NN,O
000001-001,000001-001.049,sebagai,NN,O
000001-001,000001-001.050,tempat,NN,O
000001-001,000001-001.051,tinggal,NN,O
000001-001,000001-001.052,Jazirah,NN,B-LOCATION
000001-001,000001-001.053,Arab,NN,I-LOCATION
000001-001,000001-001.054,dibatasi,NN,O
000001-001,000001-001.055,Laut,NN,B-LOCATION
000001-001,000001-001.056,Merah,NN,I-LOCATION
000001-001,000001-001.057,dan,NN,O
000001-001,000001-001.058,Gurun,NN,O
000001-001,000001-001.059,Sinai,NN,O
000001-001,000001-001.060,di,NN,O
000001-001,000001-001.061,sebelah,NN,O
000001-001,000001-001.062,barat,NN,O
000001-001,000001-001.063,",",NN,O
000001-001,000001-001.064,di,NN,O
000001-001,000001-001.065,sebelah,NN,O
000001-001,000001-001.066,timur,NN,O
000001-001,000001-001.067,dibatasi,NN,O
000001-001,000001-001.068,Teluk,NN,O
000001-001,000001-001.069,Arab,NN,O
000001-001,000001-001.070,dan,NN,O
000001-001,000001-001.071,sebagian,NN,O
000001-001,000001-001.072,besar,NN,O
000001-001,000001-001.073,negara,NN,O
000001-001,000001-001.074,Irak,NN,B-LOCATION
000001-001,000001-001.075,bagian,NN,O
000001-001,000001-001.076,selatan,NN,O
000001-001,000001-001.077,",",NN,O
000001-001,000001-001.078,di,NN,O
000001-001,000001-001.079,sebelah,NN,O
000001-001,000001-001.080,utara,NN,O
000001-001,000001-001.081,dibatasi,NN,O
000001-001,000001-001.082,Laut,NN,O
000001-001,000001-001.083,Arab,NN,O
000001-001,000001-001.084,yang,NN,O
000001-001,000001-001.085,bersambung,NN,O
000001-001,000001-001.086,dengan,NN,O
000001-001,000001-001.087,Lautan,NN,O
000001-001,000001-001.088,India,NN,O
000001-001,000001-001.089,",",NN,O
000001-001,000001-001.090,di,NN,O
000001-001,000001-001.091,sebelah,NN,O
000001-001,000001-001.092,utara,NN,O
000001-001,000001-001.093,dibatasi,NN,O
000001-001,000001-001.094,negeri,NN,O
000001-001,000001-001.095,Syam,NN,B-LOCATION
000001-001,000001-001.096,dan,NN,O
000001-001,000001-001.097,sebagian,NN,O
000001-001,000001-001.098,kecil,NN,O
000001-001,000001-001.099,dari,NN,O
000001-001,000001-001.100,negara,NN,O
000001-001,000001-001.101,Irak,NN,B-LOCATION
000001-001,000001-001.102,",",NN,O
000001-001,000001-001.103,sekalipun,NN,O
000001-001,000001-001.104,mungkin,NN,O
000001-001,000001-001.105,ada,NN,O
000001-001,000001-001.106,sedikit,NN,O
000001-001,000001-001.107,perbedaan,NN,O
000001-001,000001-001.108,dalam,NN,O
000001-001,000001-001.109,penentuan,NN,O
000001-001,000001-001.110,batasan,NN,O
000001-001,000001-001.111,ini,NN,O
000001-001,000001-001.112,.,NN,O
000001-001,000001-001.113,Luasnya,NN,O
000001-001,000001-001.114,membentang,NN,O
000001-001,000001-001.115,antara,NN,O
000001-001,000001-001.116,satu,NN,O
000001-001,000001-001.117,juta,NN,O
000001-001,000001-001.118,mil,NN,O
000001-001,000001-001.119,sampai,NN,O
000001-001,000001-001.120,satu,NN,O
000001-001,000001-001.121,juta,NN,O
000001-001,000001-001.122,tiga,NN,O
000001-001,000001-001.123,ratus,NN,O
000001-001,000001-001.124,ribu,NN,O
000001-001,000001-001.125,mil,NN,O
000001-001,000001-001.126,.,NN,O
000001-001,000001-001.127,Jazirah,NN,B-LOCATION
