bab_id;subbab_id;chunk_id;chunk_index;bab_title;subbab_title;pages;raw_chunk;clean_chunk;notes;word_count;char_count
1;1;001-001-001;1;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;JUARA1 hAIAl Kata Pengantar Syaikh Muhammad Ali Al-Harakan (Sekretaris Jenderal Rabithah Al-Alam Al-Islami) BEST SELLER www.tedisobandi.blogspot.com SYAIKH SHAFIYYURRAHMAN AL-MUBARAKFURI SIRAH NABAWIYAH Penerjemah Kathur Suhardi PUSTAKA AL-KAUTSAR Penerbit Buku Islam Utama Perpustakaan Nasional : Katalog Dalam Terbitan (KDT) Shafiyyurrahman Al-Mubarakfuri, Syaikh.;JUARA1 hAIAl Kata Pengantar Syaikh Muhammad Ali Al-Harakan (Sekretaris Jenderal Rabithah Al-Alam Al-Islami) BEST SELLER www.tedisobandi.blogspot.com SYAIKH SHAFIYYURRAHMAN AL-MUBARAKFURI SIRAH NABAWIYAH Penerjemah Kathur Suhardi PUSTAKA AL-KAUTSAR Penerbit Buku Islam Utama Perpustakaan Nasional : Katalog Dalam Terbitan (KDT) Shafiyyurrahman Al-Mubarakfuri, Syaikh.;;40;366
1;1;001-001-002;2;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;"Sirah Nabawiyah/Syaikh Shafiyyurrahman Al-Mubarakfuri; Penerjemah: Kat hur Suhardi; Penyunting: Yasir Maqosid; cet .";"Sirah Nabawiyah/Syaikh Shafiyyurrahman Al-Mubarakfuri; Penerjemah: Kat hur Suhardi; Penyunting: Yasir Maqosid; cet .";;13;116
1;1;001-001-003;3;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;1-- Jakarta: Al-Kautsar, 1997.;1-- Jakarta: Al-Kautsar, 1997.;;4;30
1;1;001-001-004;4;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;xxxii + 600 hlm.: 14,5 x 25,5 cm.;xxxii + 600 hlm.: 14,5 x 25,5 cm.;;8;33
1;1;001-001-005;5;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;ISBN 978-979-592-095-3 Judul Asli Penulis: Syaikh Shafiyyurrahman Al-Mubarakfuri Penerbit : Darussalam, Riyadh Cetakan: Pertama (1414 Edisi Indonesia SIRAH NABAWIYAH Penerjemah : Kat hur Suhardi Penyunting : Yasir Magosid Pewajah Sampul : Kalam Penata Letak : Muhammad Amin Al-Jundi Cetakan : Pert ama, Agust us 1997 Ketiga puluh tujuh, Agustus2012 Penerbit : PUSTAKA AL-KAUTSAR Jln.;ISBN 978-979-592-095-3 Judul Asli Penulis: Syaikh Shafiyyurrahman Al-Mubarakfuri Penerbit : Darussalam, Riyadh Cetakan: Pertama (1414 Edisi Indonesia SIRAH NABAWIYAH Penerjemah : Kat hur Suhardi Penyunting : Yasir Magosid Pewajah Sampul : Kalam Penata Letak : Muhammad Amin Al-Jundi Cetakan : Pert ama, Agust us 1997 Ketiga puluh tujuh, Agustus2012 Penerbit : PUSTAKA AL-KAUTSAR Jln.;;54;383
1;1;001-001-006;6;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;Cipinang Muara Paya 63, Jakarta Timur 13420 Telp.;Cipinang Muara Paya 63, Jakarta Timur 13420 Telp.;;8;49
1;1;001-001-007;7;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;(021) 8507590, 8506702 Fax.;(021) 8507590, 8506702 Fax.;;4;27
1;1;001-001-008;8;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;85912403 Krit ik & saran: cust omer@redaksi.co.id E-mail : marketing@kautsar.co.id, redaksi@kautsar.co.id http : www.kautsar.co.id Anggota lKAPI DKI Hak cipta dilindungi Undang-undang Dilarang memperbanyak atau memindahkan sebagian atau seluruh isi buku ini ke dalam bentuk apa pun secara elektronik maupun mekanis, tanpa izin tertulis dari penerbit .;85912403 Krit ik & saran: cust omer@redaksi.co.id E-mail : marketing@kautsar.co.id, redaksi@kautsar.co.id http : www.kautsar.co.id Anggota lKAPI DKI Hak cipta dilindungi Undang-undang Dilarang memperbanyak atau memindahkan sebagian atau seluruh isi buku ini ke dalam bentuk apa pun secara elektronik maupun mekanis, tanpa izin tertulis dari penerbit .;;46;351
1;1;001-001-009;9;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;All Rights Reserved DUSTUR ILAHI 3 !;All Rights Reserved DUSTUR ILAHI 3 !;;7;36
1;1;001-001-010;10;UNKNOWN BAB;UNLABELED SECTION;1|2|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33;JYxIxjij3st O r3 {1T4-1YA:2gs1g Sungguh telah datang kepadamu seorang Rasul dari kaummu sendiri, berat terasa olehnya penderitaanmu, sangat menginginkan keimanan dan keselamatan) bagimu, amat belas kasihan lagi penyayang terhadap orang-orang Mukmin.;JYxIxjij3st O r3 {1T4-1YA:2gs1g Sungguh telah datang kepadamu seorang Rasul dari kaummu sendiri, berat terasa olehnya penderitaanmu, sangat menginginkan keimanan dan keselamatan) bagimu, amat belas kasihan lagi penyayang terhadap orang-orang Mukmin.;;31;249
