tokoh,peristiwa,lokasi,halaman_keterlibatan,evidence_keterlibatan,halaman_lokasi,evidence_lokasi
Umar bin Al-Khaththab,Perang Badr,Ash-Shafra,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",281-282,"...a sekali tidak mengeluh hingga meninggal dunia di Ash-Shafra', empat atau lima hari setelah Perang Badr, di tengah perjalanan pulang ke Madinah. Pada saa..."
Umar bin Al-Khaththab,Perang Badr,Badr,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",294,"...suatu kemenangan, maka mereka mengadakan pesta di Badr selama tiga malam. Pada hari ketiga dari Perang Badr, beliau meminta hewan kendaraannya dan mengikatny..."
Umar bin Al-Khaththab,Perang Badr,Habasyah,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",324-325,"...erangi orang-orang Muslim, entah dia berasal dari Habasyah. Kinanah, atau pun Tihamah. Untuk keperluan ini mereka menggunakan segala cara untuk membangkitkan semangat manusia. Bahkan Shafwan bin Um"
Umar bin Al-Khaththab,Perang Badr,Madinah,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",277-279 | 315-316 | 327-328 | 385-386,"...a, ""Tidak. Demi yang telah menyelamatkan aku dari Perang Badr."" Setelah pasukan Quraisy agak tenang, mereka mengutus Umair bin Wahb Al-Jumahi untuk menyelidiki dan menaksir seberapa besar kekuatan "
Umar bin Al-Khaththab,Perang Badr,Makkah,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",306-307,"...menjadi rute perjalanan dagang yang menghubungkan Makkah ke Syam. Peperangan ini terjadi pada bulan Syawwal 2 Hijriyah, selang tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah seb"
Umar bin Al-Khaththab,Perang Badr,Najd,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",306-307,"...salah satu mata air Bani Sulaim, yang terletak di Najd, dan menjadi rute perjalanan dagang yang menghubungkan Makkah ke Syam. Peperangan ini terjadi pada bulan Syawwal 2 Hijriyah, selang tujuh hari"
Umar bin Al-Khaththab,Perang Badr,Syam,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",306-307 | 387-389,"...te perjalanan dagang yang menghubungkan Makkah ke Syam. Peperangan ini terjadi pada bulan Syawwal 2 Hijriyah, selang tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah sebagai waki."
Umar bin Al-Khaththab,Perang Badr,Tihamah,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",324-325,"...ntah dia berasal dari Habasyah. Kinanah, atau pun Tihamah. Untuk keperluan ini mereka menggunakan segala cara untuk membangkitkan semangat manusia. Bahkan Shafwan bin Umayyah membujuk Abu Azzah, se"
Umar bin Al-Khaththab,Perang Badr,Yatsrib,308-310 | 359-360 | 515-517 | 531-532,"...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..",165-168,"...Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah yang memungkinkan dapat digunakan untuk melarikan diri jika diperlukan ""Wahai Abu Sufyan"
Umar bin Al-Khaththab,Perang Khandaq,Khandaq,390-404,"...m. Di dalam Ashahihain disebutan dari Jabir bahwa Umar bin Al-Khaththab muncul pada waktu Perang Khandaq, lalu dia terus-menerus mengolok-olok orang-orang...",390-404,"...enurut riwayat Ibnu Sa'd, Rasulullah kembali dari Khandaq pada hari Rabu, seminggu sebelum habisnya bulan Dzul Qa'dah. Pasukan Muslim berhadapan dengan Perang Khandaq atau Ahzab bukan merupakan pas"
Umar bin Al-Khaththab,Perang Khandaq,Madinah,390-404,"...m. Di dalam Ashahihain disebutan dari Jabir bahwa Umar bin Al-Khaththab muncul pada waktu Perang Khandaq, lalu dia terus-menerus mengolok-olok orang-orang...",390-404 | 405-411,"...umatkan kekuatan lebih kecil yang sedang mekar di Madinah. Sebab bangsa Arab tidak sanggup menghimpun kekuatan yang lebih besar daripada pasukan Ahzab ini Oleh karena itu Rasulullah bersabda, tatka"
Umar bin Al-Khaththab,Perang Khandaq,Yaman,390-404,"...m. Di dalam Ashahihain disebutan dari Jabir bahwa Umar bin Al-Khaththab muncul pada waktu Perang Khandaq, lalu dia terus-menerus mengolok-olok orang-orang...",182-188,"...atau delapan puluh keluarga dari kaumnya setelah Perang Al-Khandaq. Kemudian dia mendapat cobaan yang baik demi Islam, terbunuh sebagai seorang yang mati syahid pada Perang 5._ Dhimad Al-Azdi Dia b"
