text_id,token,label
000019-005,Aku,O
000019-005,tidak,O
000019-005,pernah,O
000019-005,melihat,O
000019-005,sepetak,O
000019-005,tanah,O
000019-005,pun,O
000019-005,yang,O
000019-005,lebih,O
000019-005,subur,O
000019-005,saat,O
000019-005,itu,O
000019-005,.,O
000019-005,Domba-domba,O
000019-005,kami,O
000019-005,datang,O
000019-005,menyongsong,O
000019-005,kedatangan,O
000019-005,kami,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,kenyang,O
000019-005,dan,O
000019-005,air,O
000019-005,susunya,O
000019-005,juga,O
000019-005,penuh,O
000019-005,berisi,O
000019-005,",",O
000019-005,sehingga,O
000019-005,kami,O
000019-005,bisa,O
000019-005,memerahnya,O
000019-005,dan,O
000019-005,meminumnya,O
000019-005,.,O
000019-005,Sementara,O
000019-005,setiap,O
000019-005,orang,O
000019-005,yang,O
000019-005,memerah,O
000019-005,air,O
000019-005,susu,O
000019-005,hewannya,O
000019-005,sama,O
000019-005,sekali,O
000019-005,tidak,O
000019-005,mengeluarkan,O
000019-005,air,O
000019-005,susu,O
000019-005,walau,O
000019-005,setetes,O
000019-005,pun,O
000019-005,dan,O
000019-005,kelenjar,O
000019-005,susunya,O
000019-005,juga,O
000019-005,kempes,O
000019-005,.,O
000019-005,Sehingga,O
000019-005,mereka,O
000019-005,berkata,O
000019-005,garang,O
000019-005,kepada,O
000019-005,para,O
000019-005,penggembalanya,O
000019-005,",",O
000019-005,"""",O
000019-005,Celakalah,O
000019-005,kalian,O
000019-005,!,O
000019-005,Lepaskanlah,O
000019-005,hewan,O
000019-005,gembalaan,O
000019-005,kalian,O
000019-005,seperti,O
000019-005,yang,O
000019-005,dilakukan,O
000019-005,gembalanya,O
000019-005,putri,O
000019-005,Abu,B_PERSON
000019-005,Dzu-,I_PERSON
000019-005,aib,O
000019-005,".""",O
000019-005,Namun,O
000019-005,domba-domba,O
000019-005,mereka,O
000019-005,pulang,O
000019-005,ke,O
000019-005,rumah,O
000019-005,tetap,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,lapar,O
000019-005,dan,O
000019-005,setetes,O
000019-005,pun,O
000019-005,tidak,O
000019-005,mengeluarkan,O
000019-005,air,O
000019-005,susu,O
000019-005,.,O
000019-005,Sementara,O
000019-005,domba-dombaku,O
000019-005,pulang,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,kenyang,O
000019-005,dan,O
000019-005,kelenjar,O
000019-005,susunya,O
000019-005,penuh,O
000019-005,berisi,O
000019-005,.,O
000019-005,Kami,O
000019-005,senantiasa,O
000019-005,mendapatkan,O
000019-005,tambahan,O
000019-005,barakah,O
000019-005,dan,O
000019-005,kebaikan,O
000019-005,dari,O
000019-005,Allah,O
000019-005,selama,O
000019-005,dua,O
000019-005,tahun,O
000019-005,menyusui,O
000019-005,anak,O
000019-005,susuan,O
000019-005,kami.Lalu,O
000019-005,kami,O
000019-005,menyapihnya,O
000019-005,.,O
000019-005,Dia,O
000019-005,tumbuh,O
000019-005,dengan,O
000019-005,baik,O
000019-005,",",O
000019-005,tidak,O
000019-005,seperti,O
000019-005,bayi-bayi,O
000019-005,yang,O
000019-005,lain,O
000019-005,.,O
000019-005,Bahkan,O
000019-005,sebelum,O
000019-005,usia,O
000019-005,dua,O
000019-005,tahun,O
000019-005,pun,O
000019-005,dia,O
000019-005,sudah,O
000019-005,tumbuh,O
000019-005,pesat,O
000019-005,.,O
000019-005,Kemudian,O
000019-005,kami,O
000019-005,membawa,O
000019-005,kepada,O
000019-005,ibunya,O
000019-005,",",O
000019-005,meskipun,O
000019-005,kami,O
000019-005,masih,O
000019-005,berharap,O
000019-005,agar,O
000019-005,anak,O
000019-005,itu,O
000019-005,tetap,O
000019-005,berada,O
000019-005,di,O
000019-005,tengah-tengah,O
000019-005,kami,O
000019-005,",",O
000019-005,karena,O
000019-005,kami,O
000019-005,bisa,O
000019-005,merasakan,O
000019-005,barakahnya,O
000019-005,.,O
000019-005,Maka,O
000019-005,kami,O
000019-005,menyampaikan,O
000019-005,niat,O
000019-005,ini,O
000019-005,kepada,O
000019-005,ibunya,O
000019-005,.,O
000019-005,Aku,O
000019-005,berkata,O
000019-005,kepadanya,O
000019-005,",",O
000019-005,"""",O
000019-005,Andaikan,O
000019-005,saja,O
000019-005,engkau,O
000019-005,sudi,O
000019-005,membiarkan,O
000019-005,anak,O
000019-005,ini,O
000019-005,tetapi,O
000019-005,bersama,O
000019-005,kami,O
000019-005,hingga,O
000019-005,menjadi,O
000019-005,besar,O
000019-005,.,O
000048-006,Allah,O
000048-006,berfirman,O
000048-006,",",O
000048-006,"""",O
000048-006,Maka,O
000048-006,mereka,O
000048-006,menginginkan,O
000048-006,supaya,O
000048-006,kamu,O
000048-006,bersikap,O
000048-006,lunak,O
000048-006,lalu,O
000048-006,mereka,O
000048-006,bersikap,O
000048-006,lunak,O
000048-006,(,O
000048-006,pula,O
000048-006,kepadamu,O
000048-006,).,O
000048-006,"""",O
000048-006,(,O
000048-006,Al-Qalam,O
000048-006,:,O
000048-006,9,O
000048-006,),O
000048-006,Ada,O
000048-006,riwayat,O
000048-006,Ibnu,B_PERSON
000048-006,Jarir,I_PERSON
000048-006,dan,O
000048-006,Ath-Thabarani,O
000048-006,yang,O
000048-006,menyebutkan,O
000048-006,bahwa,O
000048-006,orang-,O
000048-006,orang,O
000048-006,musyrik,O
000048-006,menawarkan,O
000048-006,kepada,O
000048-006,Rasulullah,B_PERSON
000048-006,",",O
000048-006,agar,O
000048-006,beliau,O
000048-006,menyembah,O
000048-006,sesembahan,O
000048-006,mereka,O
000048-006,selama,O
000048-006,setahun,O
000048-006,dan,O
000048-006,mereka,O
000048-006,menyembah,O
000048-006,Rabb,O
000048-006,beliau,O
000048-006,selama,O
000048-006,setahun,O
000048-006,kemudian,O
000048-006,.,O
000048-006,Riwayat,O
000048-006,lain,O
000048-006,menutur,O
000048-006,Abd,B_PERSON
000048-006,bin,I_PERSON
000048-006,Humaid,I_PERSON
000048-006,menyebutkan,O
000048-006,bahwa,O
000048-006,mereka,O
000048-006,berkata,O
000048-006,",""",O
000048-006,Andaikan,O
000048-006,engkau,O
000048-006,mau,O
000048-006,menerima,O
000048-006,sesembahan,O
000048-006,kami,O
000048-006,.,O
000048-006,kami,O
000048-006,pun,O
000048-006,mau,O
000048-006,menyembah,O
000048-006,Ibnu,B_PERSON
000048-006,Ishaq,I_PERSON
000048-006,meriwayatkan,O
000048-006,dengan,O
000048-006,sanadnya,O
000048-006,",",O
000048-006,dia,O
000048-006,berkata,O
000048-006,",",O
000048-006,Selagi,O
000048-006,Rasulullah,B_PERSON
000048-006,74,O
000048-006,Sirah,O
000048-006,An-Nabawiyah,O
000048-006,",",O
000048-006,Ibnu,B_PERSON
000048-006,Hisyam,I_PERSON
000048-006,",",O
000048-006,1/299-300,O
000048-006,",",O
000048-006,358,O
000048-006,;,O
000048-006,Mukhtashar,O
000048-006,Siratir-Rasul,O
000048-006,",",O
000048-006,Syaikh,O
000048-006,Abdullah,O
000048-006,An-Najdi,O
000048-006,",",O
000048-006,hal,O
000048-006,.,O
000048-006,117-118,O
000048-006,.,O
000048-006,75,O
000048-006,Tafhimul-Qur'an,O
000048-006,",",O
000048-006,6/501,O
000048-006,.,O
000048-006,sedang,O
000048-006,thawaf,O
000048-006,di,O
000048-006,Ka'bah,B_LOCATION
000048-006,",",O
000048-006,beliau,O
000048-006,berpapasan,O
000048-006,dengan,O
000048-006,Al-Aswad,B_PERSON
000048-006,bin,I_PERSON
000048-006,Al-Muththalib,I_PERSON
000048-006,bin,I_PERSON
000048-006,Asad,I_PERSON
000048-006,bin,I_PERSON
000048-006,Abdul,I_PERSON
000048-006,Uzza,I_PERSON
000048-006,dan,O
000048-006,Al-Walid,B_PERSON
000048-006,bin,I_PERSON
000048-006,Al-Mughirah,I_PERSON
000048-006,bin,I_PERSON
000048-006,Khalaf,I_PERSON
000048-006,dan,O
000048-006,Al-Ash,B_PERSON
000048-006,bin,I_PERSON
000048-006,Wa'il,I_PERSON
000048-006,As-Sahmi,O
000048-006,",",O
000048-006,yang,O
000048-006,mereka,O
000048-006,ini,O
000048-006,adalah,O
000048-006,para,O
000048-006,tetua,O
000048-006,kaumnya,O
000048-006,.,O
000048-006,Mereka,O
000048-006,berkata,O
000048-006,",",O
000048-006,"""",O
000048-006,Wahai,O
000048-006,Muhammad,B_PERSON
000048-006,",",O
