text_id;kategori;token;gold;model_pred;penyebab_usulan;keputusan;koreksi;catatan;konteks
000010-002;A;Shalallahu;O;B-PERSON;HONORIFIK (gold=O, harus ikut PERSON);;;;...menyerahkan berhala-berhala itu kepada 16_ Mukhtashar Siratir-Rasul 〚Shalallahu〛 Alaihi wa Sallam , Syaikh Muhammad bin...
000010-002;A;Alaihi;O;I-PERSON;HONORIFIK (gold=O, harus ikut PERSON);;;;...berhala-berhala itu kepada 16_ Mukhtashar Siratir-Rasul Shalallahu 〚Alaihi〛 wa Sallam , Syaikh Muhammad bin Abdul...
000010-002;A;wa;O;I-PERSON;HONORIFIK (gold=O, harus ikut PERSON);;;;...itu kepada 16_ Mukhtashar Siratir-Rasul Shalallahu Alaihi 〚wa〛 Sallam , Syaikh Muhammad bin Abdul Wahhab...
000010-012;B;Babilon;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;.... Kepindahan mereka pada masa penaklukan bangsa 〚Babilon〛 dan Asyur di Palestina , yang mengakibatkan...
000010-012;B;Bukhtanashar;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...negeri mereka dan pemusnahan mereka di tangan 〚Bukhtanashar〛 pada tahun 587 SM . Banyak di...
000010-012;B;Babilonia;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...antara mereka yang ditawan dan dibawa ke 〚Babilonia〛 . Sebagian di antara mereka juga ada...
000010-010;A;Baitul-Haram;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...sedang ihram . Mereka tidak boleh masuk 〚Baitul-Haram〛 dengan mengenakan kain wol 20 Lihat Shahih...
000084-001;B;pertengahan;B-TIME;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...kepada Rasulullah untuk bertemu di Aqabah pada 〚pertengahan〛 hari-hari Tasyriq . Pada malam hari kami...
000086-002;B;Al-Barra';B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;"...."" Abul Haitsam bin At-Taihan menyela perkataan 〚Al-Barra'〛 yang masih berbicara dengan Rasulullah , dengan..."
000032-001;B;malam;B-TIME;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...itu , yaitu pada hari Senin , 〚malam〛 tanggal 21 dari bulan Ramadhan , atau...
000032-001;C;tanggal;I-TIME;B-TIME;SALAH_TIPE (gold vs model beda tipe);;;;..., yaitu pada hari Senin , malam 〚tanggal〛 21 dari bulan Ramadhan , atau bertepatan...
000032-001;B;dari;I-TIME;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...pada hari Senin , malam tanggal 21 〚dari〛 bulan Ramadhan , atau bertepatan dengan tanggal...
