text_id,id,token,pos_tag
000019-005,000019-005.001,Aku,PRON
000019-005,000019-005.002,tidak,PART
000019-005,000019-005.003,pernah,ADV
000019-005,000019-005.004,melihat,VERB
000019-005,000019-005.005,sepetak,NOUN
000019-005,000019-005.006,tanah,NOUN
000019-005,000019-005.007,pun,PART
000019-005,000019-005.008,yang,PRON
000019-005,000019-005.009,lebih,ADV
000019-005,000019-005.010,subur,ADJ
000019-005,000019-005.011,saat,NOUN
000019-005,000019-005.012,itu,DET
000019-005,000019-005.013,.,PUNCT
000019-005,000019-005.014,Domba-domba,NOUN
000019-005,000019-005.015,kami,PRON
000019-005,000019-005.016,datang,VERB
000019-005,000019-005.017,menyongsong,VERB
000019-005,000019-005.018,kedatangan,NOUN
000019-005,000019-005.019,kami,PRON
000019-005,000019-005.020,dalam,ADP
000019-005,000019-005.021,keadaan,NOUN
000019-005,000019-005.022,kenyang,ADJ
000019-005,000019-005.023,dan,CCONJ
000019-005,000019-005.024,air,NOUN
000019-005,000019-005.025,susunya,NOUN
000019-005,000019-005.026,juga,ADV
000019-005,000019-005.027,penuh,ADJ
000019-005,000019-005.028,berisi,VERB
000019-005,000019-005.029,",",PUNCT
000019-005,000019-005.030,sehingga,SCONJ
000019-005,000019-005.031,kami,PRON
000019-005,000019-005.032,bisa,AUX
000019-005,000019-005.033,memerahnya,VERB
000019-005,000019-005.034,dan,CCONJ
000019-005,000019-005.035,meminumnya,VERB
000019-005,000019-005.036,.,PUNCT
000019-005,000019-005.037,Sementara,SCONJ
000019-005,000019-005.038,setiap,DET
000019-005,000019-005.039,orang,NOUN
000019-005,000019-005.040,yang,PRON
000019-005,000019-005.041,memerah,VERB
000019-005,000019-005.042,air,NOUN
000019-005,000019-005.043,susu,NOUN
000019-005,000019-005.044,hewannya,NOUN
000019-005,000019-005.045,sama,ADJ
000019-005,000019-005.046,sekali,ADV
000019-005,000019-005.047,tidak,PART
000019-005,000019-005.048,mengeluarkan,VERB
000019-005,000019-005.049,air,NOUN
000019-005,000019-005.050,susu,NOUN
000019-005,000019-005.051,walau,SCONJ
000019-005,000019-005.052,setetes,NOUN
000019-005,000019-005.053,pun,PART
000019-005,000019-005.054,dan,CCONJ
000019-005,000019-005.055,kelenjar,NOUN
000019-005,000019-005.056,susunya,NOUN
000019-005,000019-005.057,juga,ADV
000019-005,000019-005.058,kempes,ADJ
000019-005,000019-005.059,.,PUNCT
000019-005,000019-005.060,Sehingga,SCONJ
000019-005,000019-005.061,mereka,PRON
000019-005,000019-005.062,berkata,VERB
000019-005,000019-005.063,garang,ADJ
000019-005,000019-005.064,kepada,ADP
000019-005,000019-005.065,para,DET
000019-005,000019-005.066,penggembalanya,NOUN
000019-005,000019-005.067,",",PUNCT
000019-005,000019-005.068,"""",PUNCT
000019-005,000019-005.069,Celakalah,PART
000019-005,000019-005.070,kalian,PRON
000019-005,000019-005.071,!,PUNCT
000019-005,000019-005.072,Lepaskanlah,VERB
000019-005,000019-005.073,hewan,NOUN
000019-005,000019-005.074,gembalaan,NOUN
000019-005,000019-005.075,kalian,PRON
000019-005,000019-005.076,seperti,SCONJ
000019-005,000019-005.077,yang,PRON
000019-005,000019-005.078,dilakukan,VERB
000019-005,000019-005.079,gembalanya,NOUN
000019-005,000019-005.080,putri,PROPN
000019-005,000019-005.081,Abu,PROPN
000019-005,000019-005.082,Dzu-,PROPN
000019-005,000019-005.083,aib,PROPN
000019-005,000019-005.084,".""",PUNCT
000019-005,000019-005.085,Namun,ADV
000019-005,000019-005.086,domba-domba,NOUN
000019-005,000019-005.087,mereka,PRON
000019-005,000019-005.088,pulang,VERB
000019-005,000019-005.089,ke,ADP
000019-005,000019-005.090,rumah,NOUN
000019-005,000019-005.091,tetap,VERB
000019-005,000019-005.092,dalam,ADP
000019-005,000019-005.093,keadaan,NOUN
000019-005,000019-005.094,lapar,ADJ
000019-005,000019-005.095,dan,CCONJ
000019-005,000019-005.096,setetes,NOUN
000019-005,000019-005.097,pun,PART
000019-005,000019-005.098,tidak,PART
000019-005,000019-005.099,mengeluarkan,VERB
000019-005,000019-005.100,air,NOUN
000019-005,000019-005.101,susu,NOUN
000019-005,000019-005.102,.,PUNCT
000019-005,000019-005.103,Sementara,SCONJ
000019-005,000019-005.104,domba-dombaku,NOUN
000019-005,000019-005.105,pulang,VERB
000019-005,000019-005.106,dalam,ADP
000019-005,000019-005.107,keadaan,NOUN
000019-005,000019-005.108,kenyang,ADJ
000019-005,000019-005.109,dan,CCONJ
000019-005,000019-005.110,kelenjar,NOUN
000019-005,000019-005.111,susunya,NOUN
000019-005,000019-005.112,penuh,ADJ
000019-005,000019-005.113,berisi,VERB
000019-005,000019-005.114,.,PUNCT
000019-005,000019-005.115,Kami,PRON
000019-005,000019-005.116,senantiasa,ADV
000019-005,000019-005.117,mendapatkan,VERB
000019-005,000019-005.118,tambahan,NOUN
000019-005,000019-005.119,barakah,NOUN
000019-005,000019-005.120,dan,CCONJ
000019-005,000019-005.121,kebaikan,NOUN
000019-005,000019-005.122,dari,ADP
000019-005,000019-005.123,Allah,PROPN
000019-005,000019-005.124,selama,ADP
