text_id,token,label
000047-004,"""",O
000047-004,(Al-Muddatstsir:,B_PERSON
000047-004,18-25),O
000047-004,Setelah,O
000047-004,semua,O
000047-004,orang,O
000047-004,yang,O
000047-004,hadir,O
000047-004,dalam,O
000047-004,pertemuan,O
000047-004,menyepakati,O
000047-004,ketetapan,O
000047-004,"itu,",O
000047-004,maka,O
000047-004,mereka,O
000047-004,memutuskan,O
000047-004,untuk,O
000047-004,melaksanakannya.,O
000047-004,Untuk,O
000047-004,itu,O
000047-004,mereka,O
000047-004,duduk,O
000047-004,di,O
000047-004,pinggir-pinggir,O
000047-004,jalan,O
000047-004,yang,O
000047-004,dilalui,O
000047-004,manusia,O
000047-004,tatkala,O
000047-004,"datang,",O
000047-004,sehingga,O
000047-004,tak,O
000047-004,seorang,O
000047-004,pun,O
000047-004,yang,O
000047-004,lewat,O
000047-004,melainkan,O
000047-004,mendapat,O
000047-004,peringatan,O
000047-004,tentang,O
000047-004,diri,O
000047-004,Muhammad,B_PERSON
000047-004,dan,O
000047-004,mereka,O
000047-004,juga,O
000047-004,menyebutkan,O
000047-004,keadaannya.,O
000047-004,71,O
000047-004,72,O
000047-004,Lihat,O
000047-004,Fi,O
000047-004,Yang,O
000047-004,memelopori,O
000047-004,pelaksanaan,O
000047-004,ini,O
000047-004,adalah,O
000047-004,Abu,B_PERSON
000047-004,Lahab.,I_PERSON
000047-004,Ketika,O
000047-004,musim,O
000047-004,haji,B_LOCATION
000047-004,benar-benar,O
000047-004,sudah,O
000047-004,"tiba,",O
000047-004,Rasulullah,B_PERSON
000047-004,mendatangi,O
000047-004,manusia,O
000047-004,di,O
000047-004,tempat,O
000047-004,tinggal,O
000047-004,"mereka,",O
000047-004,di,O
000047-004,pasar,O
000047-004,"Ukazh,",O
000047-004,"Majannah,",O
000047-004,dan,O
000047-004,"Dzil-Majaz,",O
000047-004,menyeru,O
000047-004,mereka,O
000047-004,kepada,O
000047-004,Allah.,O
000047-004,Sementara,O
000047-004,"itu,",O
000047-004,Abu,B_PERSON
000047-004,Lahab,I_PERSON
000047-004,menguntit,O
000047-004,di,O
000047-004,belakang,O
000047-004,"beliau,",O
000047-004,sambil,O
000047-004,"berkata,",O
000047-004,"""Janganlah",O
000047-004,kalian,O
000047-004,"mematuhinya,",O
000047-004,karena,O
000047-004,dia,O
000047-004,orang,O
000047-004,yang,O
000047-004,keluar,O
000047-004,dari,O
000047-004,agama,O
000047-004,dan,O
000047-004,seorang,O
000047-004,"Akibatnya,",O
000047-004,pada,O
000047-004,musim,O
000047-004,itu,O
000047-004,orang-orang,O
000047-004,Arab,O
000047-004,pulang,O
000047-004,ke,O
000047-004,tempat,O
000047-004,masing,O
000047-004,masing,O
000047-004,dengan,O
000047-004,membawa,O
000047-004,urusan,O
000047-004,Rasulullah,B_PERSON
000047-004,.,O
000047-004,Nama,O
000047-004,beliau,O
000047-004,tersebar,O
000047-004,di,O
000047-004,seluruh,O
000047-004,penjuru,O
000047-004,Arab.,O
000048-002,Firman,O
000048-002,"Allah,",O
000048-002,73,O
000048-002,Perbuatan,O
000048-002,Abu,B_PERSON
000048-002,Lahab,I_PERSON
000048-002,ini,O
000048-002,diriwayatkan,O
000048-002,At-Tirmidzi,O
000048-002,dari,O
000048-002,Yazid,B_PERSON
000048-002,bin,I_PERSON
000048-002,"Ruman,",I_PERSON
000048-002,dan,O
000048-002,dari,O
000048-002,Thariq,B_PERSON
000048-002,bin,I_PERSON
000048-002,Abdullah,I_PERSON
000048-002,"Al-Muharibi,",O
000048-002,juga,O
000048-002,diriwayatkan,O
000048-002,Imam,O
000048-002,Ahmad,B_PERSON
000048-002,di,O
000048-002,dalam,O
000048-002,"Mushnad-nya,",O
000048-002,3/492;,O
000048-002,4/341.,O
000048-002,K,O
000048-002,"""Dan",O
000048-002,sesungguhnya,O
000048-002,orang-orang,O
000048-002,kafir,O
000048-002,itu,O
000048-002,benar-benar,O
000048-002,hampir,O
000048-002,meng-,O
000048-002,gelincirkan,O
000048-002,kamu,O
000048-002,dengan,O
000048-002,pandangan,O
000048-002,"mereka,",O
000048-002,tatkala,O
000048-002,mereka,O
000048-002,mendenga,O
000048-002,Al-Qur,O
000048-002,'an,O
000048-002,dan,O
000048-002,mereka,O
000048-002,berkata:,O
000048-002,"""Sesungguhnya",O
000048-002,ia,O
000048-002,(Muhammad),B_PERSON
000048-002,benar-,O
000048-002,benar,O
000048-002,orang,O
000048-002,yang,O
000048-002,gila.,O
000048-002,"""",O
000048-002,(Al-Qalam:,B_PERSON
000048-002,51),O
000048-002,Jika,O
000048-002,ada,O
000048-002,rekan-rekan,O
000048-002,Rasulullah,B_PERSON
000048-002,yang,O
000048-002,duduk,O
000048-002,di,O
000048-002,sekitar,O
000048-002,"beliau,",O
000048-002,maka,O
000048-002,mereka,O
000048-002,mengolok-olok,O
000048-002,dan,O
000048-002,"berkata,",O
000048-002,"""Inilah",O
000048-002,"rekan-rekannya,""",O
000048-002,sebagaimana,O
000048-002,yang,O
000048-002,dijelaskan,O
000048-002,Allah,O
000048-002,dalam,O
000048-002,"firman-Nya,",O
000048-002,II,O
000048-002,YI,O
000048-002,"""Orang-orang",O
000048-002,semacam,O
000048-002,inikah,O
000048-002,di,O
000048-002,antara,O
000048-002,kita,O
000048-002,yang,O
000048-002,diberi,O
000048-002,anugerah,O
000048-002,Allah,O
000048-002,kepada,O
000048-002,"mereka?""",O
000048-002,(Al-An'am:,O
000048-002,53,O
000048-002,Padahal,O
000048-002,Allah,O
000048-002,"berfirman,",O
000048-002,or,O
000048-002,"""Bukankah",O
000048-002,Allah,O
000048-002,lebih,O
000048-002,mengetahui,O
000048-002,tentang,O
000048-002,orang-orang,O
000048-002,yang,O
000048-002,bersyukur,O
000048-002,"kepadaNya)?""(Al-An'am:",O
000048-002,53),O
000048-002,Keadaan,O
000048-002,mereka,O
000048-002,seperti,O
000048-002,yang,O
000048-002,difirmankan,O
000048-002,Allah,O
000048-002,kepada,O
000048-002,"kita,",O
000048-002,"""Sesungguhnya",O
000048-002,orang-orang,O
000048-002,yang,O
000048-002,"berdosa,",O
000048-002,adalah,O
000048-002,mereka,O
000048-002,yang,O
000048-002,me-,O
000048-002,nertawakan,O
000048-002,orang-orang,O
000048-002,yang,O
000048-002,beriman.,O
000048-002,Dan,O
000048-002,apabila,O
000048-002,orang-orang,O
000048-002,yang,O
000048-002,beriman,O
000048-002,berlalu,O
000048-002,di,O
000048-002,hadapan,O
000048-002,"mereka,",O
000048-002,mereka,O
000048-002,saling,O
000048-002,mengedip-ngedipkan,O
000048-002,matanya.,O
000048-002,Dan,O
000048-002,apabila,O
000048-002,orang-orang,O
000048-002,yang,O
000048-002,berdosa,O
000048-002,itu,O
000048-002,kembali,O
000048-002,kepada,O
000048-002,"kaumnya,",O
000048-002,mereka,O
000048-002,kembali,O
000048-002,dengan,O
000048-002,gembira.,O
000048-002,Dan,O
000048-002,apabila,O
000048-002,mereka,O
000048-002,melihat,O
000048-002,orang-orang,O
000048-002,"mukmin,",O
000048-002,mereka,O
000048-002,mengatakan:,O
000048-002,"""Sesungguhnya",O
000048-002,mereka,O
000048-002,itu,O
000048-002,benar-benar,O
000048-002,orang-orang,O
000048-002,yang,O
000048-002,"sesat"",",O
000048-002,padahal,O
000048-002,orang-orang,O
000048-002,yang,O
000048-002,berdosa,O
000048-002,itu,O
000048-002,tidak,O
000048-002,dikirim,O
000048-002,untuk,O
000048-002,penjaga,O
000048-002,bagi,O
000048-002,orang-orang,O
000048-002,mukmin.,O
000048-002,"""",O
000048-002,(Al-Muthaffifin:,B_PERSON
000048-002,29-33,O
000048-002,2.,O
000051-004,Pada,O
000051-004,bulan,B_TIME
000051-004,Ramadhan,I_TIME
000051-004,di,O
000051-004,tahun,B_TIME
000051-004,yang,O
000051-004,"sama,",O
000051-004,Nabi,O
000051-004,keluar,O
000051-004,dari,O
000051-004,Masjidil,B_LOCATION
000051-004,"Haram,",I_LOCATION
000051-004,yang,O
000051-004,saat,O
000051-004,itu,O
000051-004,para,O
000051-004,pemuka,O
000051-004,dan,O
000051-004,pembesar,O
000051-004,Quraisy,O
000051-004,sedang,O
000051-004,berkumpul,O
000051-004,di,O
000051-004,sana.,O
000051-004,Beliau,O
000051-004,berdiri,O
000051-004,di,O
000051-004,hadapan,O
000051-004,"mereka,",O
000051-004,lalu,O
000051-004,seketika,O
000051-004,itu,O
000051-004,pula,O
000051-004,membacakan,O
000051-004,surat,O
000051-004,An-Najm.,O
000051-004,Orang-orang,O
000051-004,kafir,O
000051-004,itu,O
000051-004,tidak,O
000051-004,pernah,O
000051-004,mendengarkan,O
000051-004,kalam,O
000051-004,Allah,O
000051-004,yang,O
000051-004,seperti,O
000051-004,itu,O
000051-004,sebelumnya.,O
000051-004,Sebab,O
000051-004,redaksi,O
000051-004,mereka,O
000051-004,panjang-panjang,O
000051-004,seperti,O
000051-004,"biasanya,",O
000051-004,memaksa,O
000051-004,sebagian,O
000051-004,di,O
000051-004,antara,O
000051-004,mereka,O
000051-004,untuk,O
000051-004,menjelaskan,O
000051-004,kepada,O
000051-004,sebagian,O
000051-004,yang,O
000051-004,"lain,",O
000051-004,seperti,O
000051-004,yang,O
000051-004,dijelaskan,O
000051-004,"Allah,",O
000051-004,"""Dan",O
000051-004,orang-orang,O
000051-004,yang,O
000051-004,kafir,O
000051-004,"berkata,",O
000051-004,Janganlah,O
000051-004,kalian,O
000051-004,mendengar,O
000051-004,dengan,O
000051-004,sungguh-sungguh,O
000051-004,akan,O
000051-004,Al-Qur'an,O
000051-004,ini,O
000051-004,dan,O
000051-004,buatlah,O
000051-004,hiruk,O
000051-004,pikuk,O
000051-004,"terhadapnya,",O
000051-004,supaya,O
000051-004,kalian,O
000051-004,dapat,O
000051-004,"mengalahkannya.""",O
000051-004,(Fushshilat:,O
000051-004,26),O
000051-004,Tetapi,O
000051-004,tatkala,O
000051-004,dilantunkan,O
000051-004,bacaan,O
000051-004,surat,O
000051-004,"ini,",O
000051-004,gendang,O
000051-004,telinga,O
000051-004,mereka,O
000051-004,diketuk,O
000051-004,kalam,O
000051-004,Ilahi,O
000051-004,yang,O
000051-004,indah,O
000051-004,"menawan,",O
000051-004,yang,O
000051-004,keindahannya,O
000051-004,sulit,O
000051-004,dilukiskan,O
000051-004,dengan,O
000051-004,suatu,O
000051-004,"gambaran,",O
000051-004,mereka,O
000051-004,pun,O
000051-004,diam,O
000051-004,"terpesona,",O
000051-004,menyimak,O
000051-004,isinya,O
000051-004,dan,O
000051-004,semua,O
000051-004,orang,O
000051-004,khidmat,O
000051-004,"mendengarnya,",O
000051-004,sehingga,O
000051-004,tidak,O
000051-004,ada,O
000051-004,pikiran,O
000051-004,lain,O
000051-004,yang,O
000051-004,melintas,O
000051-004,di,O
000051-004,dalam,O
000051-004,benak,O
000051-004,mereka.,O
000051-004,Tatkala,O
000051-004,beliau,O
000051-004,membacakan,O
000051-004,penutup,O
000051-004,surat,O
000051-004,"ini,",O
000051-004,hati,O
000051-004,mereka,O
000051-004,serasa,O
000051-004,terbang.,O
000051-004,Akhirnya,O
000051-004,beliau,O
000051-004,membaca,O
000051-004,ayat,O
000051-004,"terakhir,",O
000051-004,'Maka,O
000051-004,bersujudlah,O
000051-004,kepada,O
000051-004,Allah,O
000051-004,dan,O
000051-004,sembahlah,O
000051-004,(Dia),O
000051-004,""".",O
000051-004,(An-Najam:,O
000051-004,62),O
000051-004,Mereka,O
000051-004,pun,O
000051-004,sujud.,O
000051-004,Tak,O
000051-004,seorang,O
000051-004,pun,O
000051-004,mampu,O
000051-004,menguasai,O
000051-004,"diri,",O
000051-004,dan,O
000051-004,mereka,O
000051-004,semua,O
000051-004,merunduk,O
000051-004,dalam,O
000051-004,keadaan,O
000051-004,sujud.,O
000051-004,Sebenarnya,O
