text_id,token,label
000048-004,Demi,O
000048-004,"Allah,",O
000048-004,telah,O
000048-004,datang,O
000048-004,satu,O
000048-004,urusan,O
000048-004,yang,O
000048-004,kalian,O
000048-004,belum,O
000048-004,juga,O
000048-004,bisa,O
000048-004,mencari,O
000048-004,alasan,O
000048-004,untuk,O
000048-004,menghadapinya.,O
000048-004,Muhammad,B-PERSON
000048-004,adalah,O
000048-004,seorang,O
000048-004,pemuda,O
000048-004,belia,O
000048-004,di,O
000048-004,tengah,O
000048-004,"kalian,",O
000048-004,yang,O
000048-004,paling,O
000048-004,kalian,O
000048-004,"ridhai,",O
000048-004,paling,O
000048-004,jujur,O
000048-004,perkataannya,O
000048-004,dan,O
000048-004,paling,O
000048-004,besar,O
000048-004,"amanatnya,",O
000048-004,sehingga,O
000048-004,tatkala,O
000048-004,kalian,O
000048-004,melihat,O
000048-004,uban,O
000048-004,di,O
000048-004,kedua,O
000048-004,pelipisnya,O
000048-004,dan,O
000048-004,dia,O
000048-004,membawa,O
000048-004,apa,O
000048-004,yang,O
000048-004,telah,O
000048-004,dia,O
000048-004,bawa,O
000048-004,kepada,O
000048-004,"kalian,",O
000048-004,tiba-tiba,O
000048-004,kalian,O
000048-004,"mengatakan,",O
000048-004,Dia,O
000048-004,adalah,O
000048-004,laki-laki,O
000048-004,penyihir.',O
000048-004,"Tidak,",O
000048-004,demi,O
000048-004,"Allah,",O
000048-004,dia,O
000048-004,bukanlah,O
000048-004,laki-laki,O
000048-004,penyihir.,O
000048-004,Kita,O
000048-004,sudah,O
000048-004,mengetahui,O
000048-004,para,O
000048-004,penyihir.,O
000048-004,hembusan,O
000048-004,dan,O
000048-004,buhul,O
000048-004,talinya.,O
000048-004,Kalian,O
000048-004,"mengatakan,",O
000048-004,Dia,O
000048-004,adalah,O
000048-004,dukun'.,O
000048-004,"Tidak,",O
000048-004,demi,O
000048-004,"Allah,",O
000048-004,dia,O
000048-004,bukanlah,O
000048-004,dukun.,O
000048-004,Kita,O
000048-004,sudah,O
000048-004,pernah,O
000048-004,melihat,O
000048-004,dukun-,O
000048-004,"dukun,",O
000048-004,yang,O
000048-004,komat-kamit,O
000048-004,dan,O
000048-004,membacakan,O
000048-004,mantera.,O
000048-004,Kalian,O
000048-004,mengatakan.,O
000048-004,Dia,O
000048-004,adalah,O
000048-004,penyair.',O
000048-004,"Tidak,",O
000048-004,demi,O
000048-004,"Allah,",O
000048-004,dia,O
000048-004,bukanlah,O
000048-004,penyair.,O
000048-004,Kita,O
000048-004,sudah,O
000048-004,mengetahui,O
000048-004,syair,O
000048-004,dan,O
000048-004,mendengar,O
000048-004,semua,O
000048-004,"jenis-jenisnya,",O
000048-004,baik,O
000048-004,hazaj,O
000048-004,maupun,O
000048-004,rajaz.,O
000048-004,Kalian,O
000048-004,"berkata,",O
000048-004,Dia,O
000048-004,adalah,O
000048-004,orang,O
000048-004,sinting.',O
000048-004,"Tidak,",O
000048-004,demi,O
000048-004,"Allah,",O
000048-004,dia,O
000048-004,bukan,O
000048-004,orang,O
000048-004,sinting.,O
000048-004,Kita,O
000048-004,sudah,O
000048-004,mengetahui,O
000048-004,orang-orang,O
000048-004,yang,O
000048-004,sinting.,O
000048-004,sementara,O
000048-004,dia,O
000048-004,tidak,O
000048-004,menangis,O
000048-004,"tersedu-sedu,",O
000048-004,tidak,O
000048-004,bertindak,O
000048-004,sekenanya,O
000048-004,dan,O
000048-004,tidak,O
000048-004,berbisik-bisik,O
000048-004,layaknya,O
000048-004,orang,O
000048-004,sinting.,O
000048-004,Wahai,O
000048-004,semua,O
000048-004,orang,O
000048-004,Quraisy.,O
000048-004,Lihatlah,O
000048-004,lagi,O
000048-004,kedudukan,O
000048-004,kalian.,O
000048-004,Demi,O
000048-004,"Allah,",O
000048-004,kini,O
000048-004,ada,O
000048-004,urusan,O
000048-004,besar,O
000048-004,yang,O
000048-004,datang,O
000048-004,kepada,O
000048-004,"kalian.""",O
000048-004,Kemudian,O
000048-004,An-Nadhr,O
000048-004,pergi,O
000048-004,ke,O
000048-004,Hirah.,B-LOCATION
000048-004,Di,O
000048-004,sana,O
000048-004,dia,O
000048-004,mempelajari,O
000048-004,kisah,O
000048-004,para,O
000048-004,raja,O
000048-004,"Persi,",O
000048-004,perkataan,O
000048-004,Rustum,O
000048-004,dan,O
000048-004,Asfandiyar.,O
000126-002,Demi,O
000126-002,"Allah,",O
000126-002,mereka,O
000126-002,berdua,O
000126-002,berkata,O
000126-002,jujur.,O
000126-002,Mereka,O
000126-002,adalah,O
000126-002,pesuruh,O
000126-002,"Quraisy.""",O
000126-002,Kemudian,O
000126-002,beliau,O
000126-002,bersabda,O
000126-002,kepada,O
000126-002,"keduanya,",O
000126-002,"""Kabarkanlah",O
000126-002,kepadaku,O
000126-002,tentang,O
000126-002,posisi,O
000126-002,pasukan,O
000126-002,"Quraisy!""",O
000126-002,"""Mereka",O
000126-002,berada,O
000126-002,di,O
000126-002,balik,O
000126-002,bukit,O
000126-002,pasir,O
000126-002,yang,O
000126-002,bisa,O
000126-002,engkau,O
000126-002,lihat,O
000126-002,jika,O
000126-002,memandang,O
000126-002,ke,O
000126-002,arah,O
000126-002,"Al-Udhwatul-Qushwa,""",O
000126-002,jawab,O
000126-002,mereka,O
000126-002,berdua,O
000126-002,"""Berapa",O
000126-002,jumlah,O
000126-002,"mereka?""",O
000126-002,tanya,O
000126-002,beliau,O
000126-002,"""Banyak",O
000126-002,"sekali.""",O
000126-002,"""Berapa",O
000126-002,tepatnya?,O
000126-002,"""Kami",O
000126-002,tidak,O
000126-002,tahu,O
000126-002,"persis.""",O
000126-002,"""Berapa",O
000126-002,ekor,O
000126-002,binatang,O
000126-002,yang,O
000126-002,mereka,O
000126-002,sembelih,O
000126-002,setiap,O
000126-002,"harinya?""",O
000126-002,tanya,O
000126-002,beliau.,O
000126-002,"""Sehari",O
000126-002,sembilan,O
000126-002,ekor,O
000126-002,dan,O
000126-002,besoknya,O
000126-002,lagi,O
000126-002,sepuluh,O
000126-002,"ekor,""",O
000126-002,jawab,O
000126-002,mereka,O
000126-002,berdua.,O
000126-002,"""Berarti",O
000126-002,jumlah,O
000126-002,mereka,O
000126-002,antara,O
000126-002,sembilan,O
000126-002,ratus,O
000126-002,hingga,O
000126-002,seribu,O
000126-002,"orang,""",O
000126-002,sabda,O
000126-002,beliau.,O
000126-002,Kemudian,O
000126-002,beliau,O
000126-002,bertanya,O
000126-002,"lagi,",O
000126-002,"""Siapa",O
000126-002,saja,O
000126-002,pemuka,O
000126-002,Quraisy,O
000126-002,yang,O
000126-002,bergabung,O
000126-002,di,O
000126-002,tengah,O
000126-002,"mereka?""",O
000126-002,"""Ada",O
000126-002,Uthbah,B-PERSON
000126-002,dan,O
000126-002,"Syaibah,",O
000126-002,kedua,O
000126-002,anak,O
000126-002,"Rabi'ah,",O
000126-002,Abul,B-PERSON
000126-002,Bakhtari,I-PERSON
000126-002,bin,I-PERSON
000126-002,Hisyam.,I-PERSON
000126-002,Hakim,B-PERSON
000126-002,bin,I-PERSON
000126-002,"Hizam,",I-PERSON
000126-002,Naufal,B-PERSON
000126-002,bin,B-PERSON
000126-002,"Khuwalid,",I-PERSON
000126-002,Al-Harits,B-PERSON
000126-002,bin,B-PERSON
000126-002,"Amir,",I-PERSON
000126-002,Thu'aimah,B-PERSON
000126-002,bin,B-PERSON
000126-002,"Adi,",I-PERSON
000126-002,An-Nadhr,B-PERSON
000126-002,bin,B-PERSON
000126-002,"Al-Harits,",I-PERSON
000126-002,Zam'ah,B-PERSON
000126-002,bin,I-PERSON
000126-002,"Al-Aswad,",I-PERSON
000126-002,Abu,B-PERSON
000126-002,Jahal,I-PERSON
000126-002,bin,I-PERSON
000126-002,"Hisyam,",I-PERSON
000126-002,Umayyah,B-PERSON
000126-002,bin,I-PERSON
000126-002,Khalaf,I-PERSON
000126-002,...,O
000126-002,"""",O
000126-002,dan,O
000126-002,beberapa,O
000126-002,orang,O
000126-002,lagi,O
000126-002,yang,O
000126-002,mereka,O
000126-002,sebutkan.,O
000126-002,Setelah,O
000126-002,itu,O
000126-002,Rasulullah,B-PERSON
000126-002,menghadap,O
000126-002,ke,O
000126-002,arah,O
000126-002,semua,O
000126-002,orang,O
000126-002,seraya,O
000126-002,bersabda.,O
000126-002,"""Wahai",O
000126-002,semua,O
000126-002,"orang,",O
000126-002,inilah,O
000126-002,Makkah,B-LOCATION
000126-002,yang,O
000126-002,telah,O
000126-002,menghantarkan,O
000126-002,jantung,O
000126-002,hatinya,O
000126-002,kepada,O
000126-002,"kalian.""",O
000126-002,Pada,O
000126-002,malam,O
000126-002,itu,O
000126-002,Allah,O
000126-002,menurunkan,O
000126-002,huj,O
000126-002,an,O
000126-002,yang,O
000126-002,"deras,",O
000126-002,sehingga,O
000126-002,orang-orang,O
000126-002,musyrik,O
000126-002,basah,O
000126-002,kuyup,O
000126-002,dan,O
000126-002,menghambat,O
000126-002,langkah,O
000126-002,mereka,O
000126-002,untuk,O
000126-002,maju.,O
