source_name;source_label;relation_type;relation_subtype;target_name;target_label;chunk_id;evidence;halaman;frequency;weight;periode_bab
Imran bin Amr;PERSON;INVOLVED_IN;;Hijrah;EVENT;000002-002;...erhijrah bisa dibagi menjadi empat golongan: Uzd. Hijrah mereka langsung dipimpin pemuka dan pemimpin mereka, Imran bin Amru Muzaiqiya'. Mereka berpindah-pindah di negeri Yam...;35-42;1;0.5;Konteks Arab Jahiliyah
Hijrah;EVENT;OCCURRED_AT;;Yaman;LOCATION;000002-002;...erhijrah bisa dibagi menjadi empat golongan: Uzd. Hijrah mereka langsung dipimpin pemuka dan pemimpin mereka, Imran bin Amru Muzaiqiya'. Mereka berpindah-pindah di negeri Yaman dan mengirim para pemandu, lalu berjalan ke arah...;35-42;1;0.2;Konteks Arab Jahiliyah
Jabalah bin Al-Aiham;PERSON;INVOLVED_IN;;Perang Yarmuk;EVENT;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham dapat ditarik masuk ke dalam Islam pada masa Amir...;47-48;1;0.4;Konteks Arab Jahiliyah
Umar bin Al-Khaththab;PERSON;INVOLVED_IN;;Perang Yarmuk;EVENT;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham dapat ditarik masuk ke dalam Islam pada masa Amirul-Mukminin Umar bin Al-Khaththab;47-48;1;0.2;Konteks Arab Jahiliyah
Perang Yarmuk;EVENT;OCCURRED_AT;;Syam;LOCATION;000006-001;...kat mereka sebagai raja bagi semua bangsa Arab di Syam Ibukotanya adalah Dumatul-Jandal. Suku Ghassan ini terus berkuasa sebagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabal...;47-48;1;0.2;Konteks Arab Jahiliyah
Perang Yarmuk;EVENT;OCCURRED_ON;;Tahun 13 H;TIME;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham...;47-48;1;0.5;Konteks Arab Jahiliyah
Harb bin Umayyah;PERSON;INVOLVED_IN;;Perang Fijar;EVENT;000025-001;Pada usia lima belas tahun, meletus Perang Fijar antara pihak Quraisy bersama Kinanah, berhadapan dengan pihak Qais Ailan. Komandan pasukan Quraisy dan Kinanah dipegang oleh Harb bin Umayyah, karena pertimbangan usia dan kedudukannya terpan...;87-88;1;0.2;Nasab & Kelahiran Nabi
Muhammad;PERSON;INVOLVED_IN;;Perang Fijar;EVENT;000025-001;...n beralih ke pihak Quraisy dan Kinanah. Dinamakan Perang Fijar, karena terjadi pelanggaran terhadap kesucian tanah haram dan bulan-bulan suci. Rasulullah ikut bergabung dalam 42_ Mukhtashar Siratir-Rasul...;87-88;1;0.3;Nasab & Kelahiran Nabi
Musa bin Imran;PERSON;INVOLVED_IN;;Isra' Mi'raj;EVENT;000035-002;..., yaitu di atas lapisan-lapisan langit pada malam Mi'raj, berisi kewajiban shalat dan lain-lainnya. 7. Allah berfirman secara langsung dengan Nabi tanpa menggunakan perantara, sebagaimana Allah berfirman dengan Musa bin Imran. Wahyu semacam ini pasti berlaku bagi Musa berdas...;100-101;1;0.45;Dakwah di Luar Makkah & Isra Mi'raj
Ibnu Hajar;PERSON;INVOLVED_IN;;Isra' Mi'raj;EVENT;000040-001;"...eraya memuji Rabbmu pada waktu pagi dan petang. "" Ibnu Hajar menuturkan, sebelum Isra' Nabi sudah pernah shalat, begitu pula para sahaba...";108;1;0.75;Dakwah di Luar Makkah & Isra Mi'raj
Hijrah;EVENT;OCCURRED_AT;;Habasyah;LOCATION;000051-006;...emerintahkan mereka hijrah untuk kedua kalinya ke Habasyah. Hijrah kali ini lebih sulit daripada hijrah yang pertama...;130-133;1;0.4;Konteks Arab Jahiliyah
Amr bin Al-Ash;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000052-006 | 000052-007;...n riwayat Ibnu Ishaq. Yang lain menyebutkan bahwa Amr bin Al-Ash diutus kepada Najasyi setelah Perang Badr.;133-137;2;0.5;Perang Badr & Dampaknya
