chunk_id;doc_id;chunk_index;judul_bab;judul_sub_bab;halaman;teks_chunk;entity_text;label;notes;start_char;end_char
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Dzul Qi'dah;TIME;auto;5;22
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Dzul Hijjah;TIME;auto;28;39
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Rasulullah;PERSON;auto;50;60
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Abu Bakar Ash-Shiddiq;PERSON;auto;72;93
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Ali bin Abu Thalib;PERSON;auto;318;336
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Ali;PERSON;auto;415;418
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Abu Bakar;PERSON;auto;433;442
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Abu Bakar;PERSON;auto;465;474
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Ali;PERSON;auto;544;547
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah # mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah & sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";Abu Bakar;PERSON;auto;644;653
