text_id,token,label,pos_tag
000047-001,Selama,O,ADP
000047-001,masa-masa,O,NOUN
000047-001,itu,O,DET
000047-001,orang-orang,O,NOUN
000047-001,Quraisy,O,PROPN
000047-001,juga,O,ADV
000047-001,disibukkan,O,VERB
000047-001,urusan,O,NOUN
000047-001,lain,O,ADJ
000047-001,",",O,PUNCT
000047-001,yaitu,O,SCONJ
000047-001,semakin,O,ADV
000047-001,dekatnya,O,ADV
000047-001,jarak,O,NOUN
000047-001,antara,O,ADP
000047-001,dakwah,O,NOUN
000047-001,secara,O,ADP
000047-001,terang-terangan,O,ADJ
000047-001,dengan,O,ADP
000047-001,musim,O,NOUN
000047-001,haji,O,NOUN
000047-001,.,O,PUNCT
000047-001,Mereka,O,PRON
000047-001,menyadari,O,VERB
000047-001,bahwa,O,SCONJ
000047-001,berbagai,O,DET
000047-001,utusan,O,NOUN
000047-001,dari,O,ADP
000047-001,seluruh,O,DET
000047-001,Jazirah,B_LOCATION,PROPN
000047-001,Arab,I_LOCATION,PROPN
000047-001,akan,O,AUX
000047-001,mendatangi,O,VERB
000047-001,mereka,O,PRON
000047-001,.,O,PUNCT
000047-001,Oleh,O,ADP
000047-001,karena,O,ADP
000047-001,itu,O,PRON
000047-001,mereka,O,PRON
000047-001,berpendapat,O,VERB
000047-001,untuk,O,SCONJ
000047-001,mengeluarkan,O,VERB
000047-001,satu,O,NUM
000047-001,pernyataan,O,NOUN
000047-001,resmi,O,ADJ
000047-001,yang,O,PRON
000047-001,disampaikan,O,VERB
000047-001,kepada,O,ADP
000047-001,bangsa,O,NOUN
000047-001,Arab,O,PROPN
000047-001,tentang,O,ADP
000047-001,status,O,NOUN
000047-001,Muhammad,B_PERSON,PROPN
000047-001,",",O,PUNCT
000047-001,agar,O,SCONJ
000047-001,dakwah,O,NOUN
000047-001,beliau,O,PRON
000047-001,tidak,O,PART
000047-001,meninggalkan,O,VERB
000047-001,pengaruh,O,NOUN
000047-001,di,O,ADP
000047-001,dalam,O,ADP
000047-001,jiwa,O,NOUN
000047-001,mereka,O,PRON
000047-001,.,O,PUNCT
000047-001,Mereka,O,PRON
000047-001,pun,O,PART
000047-001,berkumpul,O,VERB
000047-001,di,O,ADP
000047-001,tempat,O,NOUN
000047-001,Al-Walid,B_PERSON,PROPN
000047-001,bin,I_PERSON,PROPN
000047-001,Al-Mughirah,I_PERSON,PROPN
000047-001,",",O,PUNCT
000047-001,memperbincangkan,O,VERB
000047-001,masalah,O,NOUN
000047-001,ini,O,DET
000047-001,.,O,PUNCT
000047-001,Al-Walid,O,PROPN
000047-001,berkata,O,VERB
000047-001,",",O,PUNCT
000047-001,Ambil,O,VERB
000047-001,satu,O,NUM
000047-001,kesimpulan,O,NOUN
000047-001,tentang,O,ADP
000047-001,masalah,O,NOUN
000047-001,ini,O,DET
000047-001,",",O,PUNCT
000047-001,dan,O,CCONJ
000047-001,jangan,O,PART
000047-001,sampai,O,ADP
000047-001,kalian,O,PRON
000047-001,saling,O,ADV
000047-001,berbeda,O,VERB
000047-001,pendapat,O,NOUN
000047-001,",",O,PUNCT
000047-001,sehingga,O,SCONJ
000047-001,sebagian,O,NOUN
000047-001,di,O,ADP
000047-001,antara,O,ADP
000047-001,kalian,O,PRON
000047-001,mendustakan,O,VERB
000047-001,sebagian,O,NOUN
000047-001,yang,O,PRON
000047-001,lain,O,ADJ
000047-001,",",O,PUNCT
000047-001,sebagian,O,ADV
000047-001,menyanggah,O,VERB
000047-001,sebagian,O,NOUN
000047-001,yang,O,PRON
000047-001,lain,O,ADJ
000047-001,".""""",O,PUNCT
000047-001,"""",O,PUNCT
000047-001,Pendapatmu,O,PROPN
000047-001,sendiri,O,DET
000047-001,bagaimana,O,ADV
000047-001,"?""",O,PUNCT
000047-001,tanya,O,VERB
000047-001,mereka,O,PRON
000047-001,.,O,PUNCT
