text_id,token,label
000207-001,Al-Qur',O
000207-001,an,O
000207-001,turun,O
000207-001,menyoroti,O
000207-001,setiap,O
000207-001,kejadian,O
000207-001,yang,O
000207-001,penting,O
000207-001,dalam,O
000207-001,peperangan,O
000207-001,"ini,",O
000207-001,tahapan,O
000207-001,demi,O
000207-001,"tahapan,",O
000207-001,ditambah,O
000207-001,dengan,O
000207-001,berberapa,O
000207-001,catatan,O
000207-001,yang,O
000207-001,menjelaskan,O
000207-001,berberapa,O
000207-001,sebab,O
000207-001,yang,O
000207-001,mengakibatkan,O
000207-001,kerugian,O
000207-001,yang,O
000207-001,besar,O
000207-001,itu.,O
000207-001,Al-Qur,O
000207-001,an,O
000207-001,juga,O
000207-001,menampakkan,O
000207-001,beberapa,O
000207-001,sisi,O
000207-001,kelemahan,O
000207-001,yang,O
000207-001,ada,O
000207-001,di,O
000207-001,tengah,O
000207-001,pasukan,O
000207-001,orang-orang,O
000207-001,Mukmin,O
000207-001,ini,O
000207-001,jika,O
000207-001,dikaitkan,O
000207-001,dengan,O
000207-001,kewajiban,O
000207-001,yang,O
000207-001,seharusnya,O
000207-001,mereka,O
000207-001,kerjakan,O
000207-001,pada,O
000207-001,saat-saat,O
000207-001,yang,O
000207-001,"kritis,",O
000207-001,apalagi,O
000207-001,jika,O
000207-001,dikaitkan,O
000207-001,dengan,O
000207-001,tujuan,O
000207-001,yang,O
000207-001,hendak,O
000207-001,diraih,O
000207-001,umat,O
000207-001,"ini,",O
000207-001,sebagai,O
000207-001,umat,O
000207-001,paling,O
000207-001,baik,O
000207-001,yang,O
000207-001,dikeluarkan,O
000207-001,bagi,O
000207-001,manusia.,O
000207-001,Al-Qur',O
000207-001,an,O
000207-001,juga,O
000207-001,membicarakan,O
000207-001,sikap,O
000207-001,orang-orang,O
000207-001,"munafik,",O
000207-001,melecehkan,O
000207-001,mereka,O
000207-001,dan,O
000207-001,menyingkap,O
000207-001,permusuhan,O
000207-001,terhadap,O
000207-001,Allah,O
000207-001,dan,O
000207-001,Rasul-Nya,O
000207-001,yang,O
000207-001,tersimpan,O
000207-001,di,O
000207-001,dalam,O
000207-001,hati,O
000207-001,"mereka,",O
000207-001,sambil,O
000207-001,berusaha,O
000207-001,mengenyahkan,O
000207-001,keragu-raguan,O
000207-001,dan,O
000207-001,kebimbangan,O
000207-001,yang,O
000207-001,bersemayam,O
000207-001,di,O
000207-001,dalam,O
000207-001,hati,O
000207-001,orang-orang,O
000207-001,Mukmin,O
000207-001,yang,O
000207-001,lemah.,O
000207-001,Karena,O
000207-001,kelompok,O
000207-001,inilah,O
000207-001,yang,O
000207-001,menjadi,O
000207-001,sasaran,O
000207-001,orang-orang,O
000207-001,munafik,O
000207-001,dan,O
000207-001,Yahudi.,O
000207-001,Al-Qur',O
000207-001,an,O
000207-001,juga,O
000207-001,mengisyaratkan,O
000207-001,tujuan,O
000207-001,yang,O
000207-001,mulia,O
000207-001,dari,O
000207-001,peperangan,O
000207-001,ini.,O
000207-001,Ada,O
000207-001,enam,O
000207-001,puluh,O
000207-001,ay,O
000207-001,at,O
000207-001,dari,O
000207-001,surah,O
000207-001,Ali,B_PERSON
000207-001,Imran,I_PERSON
000207-001,yang,O
000207-001,turun,O
000207-001,mengenai,O
000207-001,peperangan,O
000207-001,"ini,",O
000207-001,diawali,O
000207-001,dengan,O
000207-001,permulaan,O
000207-001,tahapan,O
000207-001,"perang,",O
000207-001,JIy,O
000207-001,JCnW,O
000207-001,Kq',O
000207-001,"""Dan",O
000207-001,"(ingatlah),",O
000207-001,ketika,O
000207-001,kamu,O
000207-001,berangkat,O
000207-001,pada,O
000207-001,pagi,O
000207-001,hari,O
000207-001,dari,O
000207-001,(rumah),O
000207-001,keluargamu,O
000207-001,akan,O
000207-001,menempatkan,O
000207-001,para,O
000207-001,mukmin,O
000207-001,pada,O
000207-001,beberapa,O
000207-001,tempat,O
000207-001,untuk,O
000207-001,berperang.,O
000207-001,"""",O
000207-001,(Ali-Imran:,B_PERSON
000207-001,121),O
000207-001,Kesudahan,O
000207-001,ayat-ayat,O
000207-001,ini,O
000207-001,merupakan,O
000207-001,catatan,O
000207-001,menyeluruh,O
000207-001,dari,O
000207-001,hasil,O
000207-001,peperangan,O
000207-001,dan,O
000207-001,hikmahnya.,O
