text_id,token,label
000047-001,Selama,O
000047-001,masa-masa,O
000047-001,itu,O
000047-001,orang-orang,O
000047-001,Quraisy,O
000047-001,juga,O
000047-001,disibukkan,O
000047-001,urusan,O
000047-001,"lain,",O
000047-001,yaitu,O
000047-001,semakin,O
000047-001,dekatnya,O
000047-001,jarak,O
000047-001,antara,O
000047-001,dakwah,O
000047-001,secara,O
000047-001,terang-terangan,O
000047-001,dengan,O
000047-001,musim,O
000047-001,haji.,B_LOCATION
000047-001,Mereka,O
000047-001,menyadari,O
000047-001,bahwa,O
000047-001,berbagai,O
000047-001,utusan,O
000047-001,dari,O
000047-001,seluruh,O
000047-001,Jazirah,B_LOCATION
000047-001,Arab,I_LOCATION
000047-001,akan,O
000047-001,mendatangi,O
000047-001,mereka.,O
000047-001,Oleh,O
000047-001,karena,O
000047-001,itu,O
000047-001,mereka,O
000047-001,berpendapat,O
000047-001,untuk,O
000047-001,mengeluarkan,O
000047-001,satu,O
000047-001,pernyataan,O
000047-001,resmi,O
000047-001,yang,O
000047-001,disampaikan,O
000047-001,kepada,O
000047-001,bangsa,O
000047-001,Arab,O
000047-001,tentang,O
000047-001,status,O
000047-001,"Muhammad,",B_PERSON
000047-001,agar,O
000047-001,dakwah,O
000047-001,beliau,O
000047-001,tidak,O
000047-001,meninggalkan,O
000047-001,pengaruh,O
000047-001,di,O
000047-001,dalam,O
000047-001,jiwa,O
000047-001,mereka.,O
000047-001,Mereka,O
000047-001,pun,O
000047-001,berkumpul,O
000047-001,di,O
000047-001,tempat,O
000047-001,Al-Walid,B_PERSON
000047-001,bin,I_PERSON
000047-001,"Al-Mughirah,",I_PERSON
000047-001,memperbincangkan,O
000047-001,masalah,O
000047-001,ini.,O
000047-001,Al-Walid,B_PERSON
000047-001,"berkata,",O
000047-001,Ambil,O
000047-001,satu,O
000047-001,kesimpulan,O
000047-001,tentang,O
000047-001,masalah,O
000047-001,"ini,",O
000047-001,dan,O
000047-001,jangan,O
000047-001,sampai,O
000047-001,kalian,O
000047-001,saling,O
000047-001,berbeda,O
000047-001,"pendapat,",O
000047-001,sehingga,O
000047-001,sebagian,O
000047-001,di,O
000047-001,antara,O
000047-001,kalian,O
000047-001,mendustakan,O
000047-001,sebagian,O
000047-001,yang,O
000047-001,"lain,",O
000047-001,sebagian,O
000047-001,menyanggah,O
000047-001,sebagian,O
000047-001,yang,O
000047-001,"lain.""""",O
000047-001,"""Pendapatmu",O
000047-001,sendiri,O
000047-001,"bagaimana?""",O
000047-001,tanya,O
000047-001,mereka.,O
000047-001,"""Sampaikan",O
000047-001,dulu,O
000047-001,pendapat,O
000047-001,"kalian,",O
000047-001,biar,O
000047-001,aku,O
000047-001,"mendengarnya,""",O
000047-001,kata,O
000047-001,Al-Walid,B_PERSON
000047-001,"""Kita",O
000047-001,katakan,O
000047-001,saja,O
000047-001,bahwa,O
000047-001,dia,O
000047-001,adalah,O
000047-001,seorang,O
000047-001,"dukun.""",O
000047-001,"""Tidak,",O
000047-001,demi,O
000047-001,"Allah,",O
000047-001,dia,O
000047-001,bukanlah,O
000047-001,seorang,O
000047-001,"dukun,""",O
000047-001,jawab,O
000047-001,"Al-Walid,",B_PERSON
000047-001,toh,O
000047-001,kita,O
000047-001,pernah,O
000047-001,melihat,O
000047-001,para,O
000047-001,dukun.,O
000047-001,Dia,O
000047-001,sama,O
000047-001,sekali,O
000047-001,tidak,O
000047-001,menggunakan,O
000047-001,sajak,O
000047-001,dan,O
000047-001,mantera,O
000047-001,seperti,O
000047-001,"dukun.""",O
000047-001,"""Kita",O
000047-001,katakan,O
000047-001,"saja,",O
000047-001,dia,O
000047-001,orang,O
000047-001,"sinting,""",O
000047-001,kata,O
000047-001,mereka.,O
000047-001,"""Dia",O
000047-001,bukanlah,O
000047-001,orang,O
000047-001,"sinting,""",O
000047-001,kata,O
000047-001,"Al-Walid,",B_PERSON
000047-001,"""toh",O
000047-001,kita,O
000047-001,sudah,O
000047-001,melihat,O
000047-001,orang-orang,O
000047-001,sinting,O
000047-001,dan,O
000047-001,mengetahuinya.,O
000047-001,Dia,O
000047-001,tidak,O
000047-001,menangis,O
000047-001,tersedu-sedu,O
000047-001,tidak,O
000047-001,bertindak,O
000047-001,sekenanya,O
000047-001,dan,O
000047-001,tidak,O
000047-001,berbisik-bisik,O
000047-001,layaknya,O
000047-001,orang,O
000047-001,"sinting.""",O
000047-001,"""Kita",O
000047-001,katakan,O
000047-001,"saja,",O
000047-001,dia,O
000047-001,seorang,O
000047-001,"penyair,""",O
000047-001,kata,O
000047-001,mereka.,O
000047-004,"""",O
000047-004,(Al-Muddatstsir:,O
000047-004,18-25),O
000047-004,Setelah,O
000047-004,semua,O
000047-004,orang,O
000047-004,yang,O
000047-004,hadir,O
000047-004,dalam,O
000047-004,pertemuan,O
000047-004,menyepakati,O
000047-004,ketetapan,O
000047-004,"itu,",O
000047-004,maka,O
000047-004,mereka,O
000047-004,memutuskan,O
000047-004,untuk,O
000047-004,melaksanakannya.,O
000047-004,Untuk,O
000047-004,itu,O
000047-004,mereka,O
000047-004,duduk,O
000047-004,di,O
000047-004,pinggir-pinggir,O
000047-004,jalan,O
000047-004,yang,O
000047-004,dilalui,O
000047-004,manusia,O
000047-004,tatkala,O
000047-004,"datang,",O
000047-004,sehingga,O
000047-004,tak,O
000047-004,seorang,O
000047-004,pun,O
000047-004,yang,O
000047-004,lewat,O
000047-004,melainkan,O
000047-004,mendapat,O
000047-004,peringatan,O
000047-004,tentang,O
000047-004,diri,O
000047-004,Muhammad,B_PERSON
000047-004,dan,O
000047-004,mereka,O
000047-004,juga,O
000047-004,menyebutkan,O
000047-004,keadaannya.,O
000047-004,71,O
000047-004,72,O
000047-004,Lihat,O
000047-004,Fi,O
000047-004,Yang,O
000047-004,memelopori,O
000047-004,pelaksanaan,O
000047-004,ini,O
000047-004,adalah,O
000047-004,Abu,B_PERSON
000047-004,Lahab.,I_PERSON
000047-004,Ketika,O
000047-004,musim,O
000047-004,haji,B_LOCATION
000047-004,benar-benar,O
000047-004,sudah,O
000047-004,"tiba,",O
000047-004,Rasulullah,B_PERSON
000047-004,mendatangi,O
000047-004,manusia,O
000047-004,di,O
000047-004,tempat,O
000047-004,tinggal,O
000047-004,"mereka,",O
000047-004,di,O
000047-004,pasar,O
000047-004,"Ukazh,",B_LOCATION
000047-004,"Majannah,",B_LOCATION
000047-004,dan,O
000047-004,"Dzil-Majaz,",O
000047-004,menyeru,O
000047-004,mereka,O
000047-004,kepada,O
000047-004,Allah.,O
000047-004,Sementara,O
000047-004,"itu,",O
000047-004,Abu,B_PERSON
000047-004,Lahab,I_PERSON
000047-004,menguntit,O
000047-004,di,O
000047-004,belakang,O
000047-004,"beliau,",O
000047-004,sambil,O
000047-004,"berkata,",O
000047-004,"""Janganlah",O
000047-004,kalian,O
000047-004,"mematuhinya,",O
000047-004,karena,O
000047-004,dia,O
000047-004,orang,O
000047-004,yang,O
000047-004,keluar,O
000047-004,dari,O
000047-004,agama,O
000047-004,dan,O
000047-004,seorang,O
000047-004,"Akibatnya,",O
000047-004,pada,O
000047-004,musim,O
000047-004,itu,O
000047-004,orang-orang,O
000047-004,Arab,O
000047-004,pulang,O
000047-004,ke,O
000047-004,tempat,O
000047-004,masing,O
000047-004,masing,O
000047-004,dengan,O
000047-004,membawa,O
000047-004,urusan,O
000047-004,Rasulullah,B_PERSON
000047-004,.,O
000047-004,Nama,O
000047-004,beliau,O
000047-004,tersebar,O
000047-004,di,O
000047-004,seluruh,O
000047-004,penjuru,O
000047-004,Arab.,O
000049-012,Sedangkan,O
000049-012,Ammar,B_PERSON
000049-012,yang,O
000049-012,masih,O
000049-012,hidup,O
000049-012,harus,O
000049-012,menghadapi,O
000049-012,penyiksaan,O
000049-012,yang,O
000049-012,lebih,O
000049-012,menyakitkan,O
000049-012,lagi,O
000049-012,Sebuah,O
000049-012,batu,O
000049-012,yang,O
000049-012,panas,O
000049-012,diletakkan,O
000049-012,di,O
000049-012,dadanya,O
000049-012,dan,O
000049-012,sebagian,O
000049-012,tubuhnya,O
000049-012,yang,O
000049-012,lain,O
000049-012,dibenamkan,O
000049-012,di,O
000049-012,dalam,O
000049-012,pasir,O
000049-012,yang,O
000049-012,panas,O
000049-012,membara.,O
000049-012,Kami,O
000049-012,tidak,O
000049-012,akan,O
000049-012,membiarkanmu,O
000049-012,kecuali,O
000049-012,jika,O
000049-012,engkau,O
000049-012,mau,O
000049-012,mencaci,O
000049-012,"Muhammad,",B_PERSON
000049-012,atau,O
000049-012,engkau,O
000049-012,mau,O
000049-012,mengatakan,O
000049-012,hal-hal,O
000049-012,yang,O
000049-012,baik,O
000049-012,tentang,O
000049-012,Lata,B_PERSON
000049-012,dan,O
000049-012,"Uzza,""",B_PERSON
000049-012,kata,O
000049-012,mereka.,O
000049-012,Dengan,O
000049-012,terpaksa,O
000049-012,Ammar,B_PERSON
000049-012,memenuhi,O
000049-012,permintaan,O
000049-012,mereka,O
000049-012,itu,O
000049-012,hingga,O
000049-012,dilepaskan.,O
000049-012,Setelah,O
000049-012,itu,O
000049-012,dia,O
000049-012,menemu,O
000049-012,Nabi,B_PERSON
000049-012,sambil,O
000049-012,menangis,O
000049-012,dan,O
000049-012,meminta,O
000049-012,ampun.,O
000049-012,Lalu,O
000049-012,turun,O
000049-012,ayat,O
000049-012,tentang,O
000049-012,"dirinya,",O
000049-012,O,O
000049-012,"""Barangsiapa",O
000049-012,yang,O
000049-012,kafir,O
000049-012,kepada,O
000049-012,Allah,O
000049-012,sesudah,O
000049-012,dia,O
000049-012,beriman,O
000049-012,(dia,O
000049-012,mendapat,O
000049-012,kemurkaan,O
000049-012,"Allah),",O
000049-012,kecuali,O
000049-012,orang,O
000049-012,yang,O
000049-012,dipaksa,O
000049-012,kafir,O
000049-012,padahal,O
000049-012,hatinya,O
000049-012,tetap,O
000049-012,tenang,O
000049-012,dalam,O
000049-012,beriman,O
000049-012,(dia,O
000049-012,tidak,O
000049-012,berdosa).,O
000049-012,"""",O
000049-012,(An-Nahl:,B_PERSON
000049-012,103),O
000049-012,Abu,B_PERSON
000049-012,"Fakihah,",I_PERSON
000049-012,yang,O
000049-012,nama,O
000049-012,aslinya,O
000049-012,"Aflah,",B_PERSON
000049-012,budak,O
000049-012,Bani,O
000049-012,Abdid-Dar,O
000049-012,diikat,O
000049-012,kakinya,O
000049-012,dengan,O
000049-012,ikatan,O
000049-012,"kencang,",O
000049-012,lalu,O
000049-012,diseret,O
000049-012,di,O
000049-012,atas,O
000049-012,tanah,O
000049-012,Khabbab,B_PERSON
000049-012,bin,I_PERSON
000049-012,"Al-Aratt,",I_PERSON
000049-012,budak,O
000049-012,milik,O
000049-012,Ummu,B_PERSON
000049-012,Ammar,I_PERSON
000049-012,binti,I_PERSON
000049-012,Siba',I_PERSON
000049-012,Al,O
000049-012,Khuza'iyah,I_PERSON
000049-012,juga,O
000049-012,mendapat,O
000049-012,berbagai,O
000049-012,macam,O
000049-012,penyiksaan.,O
000049-012,Mereka,O
000049-012,mencengkeram,O
000049-012,rambutnya,O
000049-012,lalu,O
000049-012,menariknya,O
000049-012,dengan,O
000049-012,tarikan,O
000049-012,yang,O
000049-012,keras,O
000049-012,dan,O
000049-012,membelitkan,O
000049-012,tali,O
000049-012,di,O
000049-012,lehernya,O
000049-012,dan,O
000049-012,menelentangkannya,O
000049-012,di,O
000049-012,tanah,O
000049-012,hingga,O
000049-012,beberapa,O
000049-012,kali,O
000049-012,di,O
000049-012,atas,O
000049-012,pasir,O
000049-012,yang,O
000049-012,"menyengat,",O
000049-012,kemudian,O
000049-012,mereka,O
000049-012,meletakkan,O
000049-012,sebuah,O
000049-012,batu,O
000049-012,di,O
000049-012,atas,O
000049-012,"tubuhnya,",O
000049-012,hingga,O
000049-012,dia,O
000049-012,tidak,O
000049-012,mampu,O
000049-012,berdiri,O
000049-012,lagi.,O
000049-012,80,O
000049-012,Rahmah,O
000049-012,Lil-,O
000049-012,"'alamin,",O
000049-012,1/57;,O
000049-012,"Talqihul-Fuhum,",O
000049-012,hal,O
000049-012,61;,O
000049-012,Sirah,O
000049-012,"An-Nabawiyah,",O
000049-012,Ibnu,B_PERSON
000049-012,"Hisyam,",I_PERSON
000049-012,1/317,O
000049-012,318.,O
000049-012,81,O
000049-012,Rahmah,O
000049-012,Lil-,O
000049-012,"alamin,",O
000049-012,1/57,O
000049-012,"Zinnirah,",O
000049-012,"Nahdiyah,",O
000049-012,dan,O
000049-012,kedua,O
000049-012,"putrinya,",O
000049-012,serta,O
000049-012,Ummu,B_PERSON
000049-012,"Ubais,",I_PERSON
000049-012,yang,O
000049-012,semuanya,O
000049-012,hamba,O
000049-012,"sahaya,",O
000049-012,juga,O
000049-012,masuk,O
000049-012,Islam.,O
000051-004,Pada,O
000051-004,bulan,B_TIME
000051-004,Ramadhan,I_TIME
000051-004,di,O
000051-004,tahun,B_TIME
000051-004,yang,O
000051-004,"sama,",O
000051-004,Nabi,O
000051-004,keluar,O
000051-004,dari,O
000051-004,Masjidil,B_LOCATION
000051-004,"Haram,",I_LOCATION
000051-004,yang,O
000051-004,saat,O
000051-004,itu,O
000051-004,para,O
000051-004,pemuka,O
000051-004,dan,O
000051-004,pembesar,O
000051-004,Quraisy,O
000051-004,sedang,O
000051-004,berkumpul,O
000051-004,di,O
000051-004,sana.,O
000051-004,Beliau,O
000051-004,berdiri,O
000051-004,di,O
000051-004,hadapan,O
000051-004,"mereka,",O
000051-004,lalu,O
000051-004,seketika,O
000051-004,itu,O
000051-004,pula,O
000051-004,membacakan,O
000051-004,surat,O
000051-004,An-Najm.,O
000051-004,Orang-orang,O
000051-004,kafir,O
000051-004,itu,O
000051-004,tidak,O
000051-004,pernah,O
000051-004,mendengarkan,O
000051-004,kalam,O
000051-004,Allah,O
000051-004,yang,O
000051-004,seperti,O
000051-004,itu,O
000051-004,sebelumnya.,O
000051-004,Sebab,O
000051-004,redaksi,O
000051-004,mereka,O
000051-004,panjang-panjang,O
000051-004,seperti,O
000051-004,"biasanya,",O
000051-004,memaksa,O
000051-004,sebagian,O
000051-004,di,O
000051-004,antara,O
000051-004,mereka,O
000051-004,untuk,O
000051-004,menjelaskan,O
000051-004,kepada,O
000051-004,sebagian,O
000051-004,yang,O
000051-004,"lain,",O
000051-004,seperti,O
000051-004,yang,O
000051-004,dijelaskan,O
000051-004,"Allah,",O
000051-004,"""Dan",O
000051-004,orang-orang,O
000051-004,yang,O
000051-004,kafir,O
000051-004,"berkata,",O
000051-004,Janganlah,O
000051-004,kalian,O
000051-004,mendengar,O
000051-004,dengan,O
000051-004,sungguh-sungguh,O
000051-004,akan,O
000051-004,Al-Qur'an,O
000051-004,ini,O
000051-004,dan,O
000051-004,buatlah,O
000051-004,hiruk,O
000051-004,pikuk,O
000051-004,"terhadapnya,",O
000051-004,supaya,O
000051-004,kalian,O
000051-004,dapat,O
000051-004,"mengalahkannya.""",O
000051-004,(Fushshilat:,O
000051-004,26),O
000051-004,Tetapi,O
000051-004,tatkala,O
000051-004,dilantunkan,O
000051-004,bacaan,O
000051-004,surat,O
000051-004,"ini,",O
000051-004,gendang,O
000051-004,telinga,O
000051-004,mereka,O
000051-004,diketuk,O
000051-004,kalam,O
000051-004,Ilahi,O
000051-004,yang,O
000051-004,indah,O
000051-004,"menawan,",O
000051-004,yang,O
000051-004,keindahannya,O
000051-004,sulit,O
000051-004,dilukiskan,O
000051-004,dengan,O
000051-004,suatu,O
000051-004,"gambaran,",O
000051-004,mereka,O
000051-004,pun,O
000051-004,diam,O
000051-004,"terpesona,",O
000051-004,menyimak,O
000051-004,isinya,O
000051-004,dan,O
000051-004,semua,O
000051-004,orang,O
000051-004,khidmat,O
000051-004,"mendengarnya,",O
000051-004,sehingga,O
000051-004,tidak,O
000051-004,ada,O
000051-004,pikiran,O
000051-004,lain,O
000051-004,yang,O
000051-004,melintas,O
000051-004,di,O
000051-004,dalam,O
000051-004,benak,O
000051-004,mereka.,O
000051-004,Tatkala,O
000051-004,beliau,O
000051-004,membacakan,O
000051-004,penutup,O
000051-004,surat,O
000051-004,"ini,",O
000051-004,hati,O
000051-004,mereka,O
000051-004,serasa,O
000051-004,terbang.,O
000051-004,Akhirnya,O
000051-004,beliau,O
000051-004,membaca,O
000051-004,ayat,O
000051-004,"terakhir,",O
000051-004,'Maka,O
000051-004,bersujudlah,O
000051-004,kepada,O
000051-004,Allah,O
000051-004,dan,O
000051-004,sembahlah,O
000051-004,(Dia),O
000051-004,""".",O
000051-004,(An-Najam:,B_PERSON
000051-004,62),O
000051-004,Mereka,O
000051-004,pun,O
000051-004,sujud.,O
000051-004,Tak,O
000051-004,seorang,O
000051-004,pun,O
000051-004,mampu,O
000051-004,menguasai,O
000051-004,"diri,",O
000051-004,dan,O
000051-004,mereka,O
000051-004,semua,O
000051-004,merunduk,O
000051-004,dalam,O
000051-004,keadaan,O
000051-004,sujud.,O
000051-004,Sebenarnya,O
000051-004,sinar-sinar,O
000051-004,kebenaran,O
000051-004,telah,O
000051-004,merasuk,O
000051-004,ke,O
000051-004,dalam,O
000051-004,jiwa,O
000051-004,orang-orang,O
000051-004,yang,O
000051-004,sombong,O
000051-004,dan,O
000051-004,selalu,O
000051-004,mengolok-ngolok,O
000051-004,itu.,O
000051-004,Mereka,O
000051-004,tidak,O
000051-004,mampu,O
000051-004,menahan,O
000051-004,diri,O
000051-004,untuk,O
000051-004,sujud.,O
000051-004,4,O
000051-004,84,O
000051-004,Tafhimul-Qur,O
000051-004,"'an,",O
000051-004,5/188.,O
000057-002,Yang,O
000057-002,"pasti,",O
000057-002,di,O
000057-002,dalam,O
000057-002,hatinya,O
000057-002,bergolak,O
000057-002,berbagai,O
000057-002,perasaan,O
000057-002,yang,O
000057-002,sebenarnya,O
000057-002,saling,O
000057-002,bertentangan.,O
000057-002,Penghormatannya,O
000057-002,terhadap,O
000057-002,tradisi-tradisi,O
000057-002,"leluhur,",O
000057-002,kebebasan,O
000057-002,menenggak,O
000057-002,minuman,O
000057-002,keras,O
000057-002,hingga,O
000057-002,mabuk,O
000057-002,dan,O
000057-002,bercanda,O
000057-002,"ria,",O
