text_id,token,label,pos_tag
000019-005,Aku,O,PRON
000019-005,tidak,O,PART
000019-005,pernah,O,ADV
000019-005,melihat,O,VERB
000019-005,sepetak,O,NOUN
000019-005,tanah,O,NOUN
000019-005,pun,O,PART
000019-005,yang,O,PRON
000019-005,lebih,O,ADV
000019-005,subur,O,ADJ
000019-005,saat,O,NOUN
000019-005,itu,O,DET
000019-005,.,O,PUNCT
000019-005,Domba-domba,O,NOUN
000019-005,kami,O,PRON
000019-005,datang,O,VERB
000019-005,menyongsong,O,VERB
000019-005,kedatangan,O,NOUN
000019-005,kami,O,PRON
000019-005,dalam,O,ADP
000019-005,keadaan,O,NOUN
000019-005,kenyang,O,ADJ
000019-005,dan,O,CCONJ
000019-005,air,O,NOUN
000019-005,susunya,O,NOUN
000019-005,juga,O,ADV
000019-005,penuh,O,ADJ
000019-005,berisi,O,VERB
000019-005,",",O,PUNCT
000019-005,sehingga,O,SCONJ
000019-005,kami,O,PRON
000019-005,bisa,O,AUX
000019-005,memerahnya,O,VERB
000019-005,dan,O,CCONJ
000019-005,meminumnya,O,VERB
000019-005,.,O,PUNCT
000019-005,Sementara,O,SCONJ
000019-005,setiap,O,DET
000019-005,orang,O,NOUN
000019-005,yang,O,PRON
000019-005,memerah,O,VERB
000019-005,air,O,NOUN
000019-005,susu,O,NOUN
000019-005,hewannya,O,NOUN
000019-005,sama,O,ADJ
000019-005,sekali,O,ADV
000019-005,tidak,O,PART
000019-005,mengeluarkan,O,VERB
000019-005,air,O,NOUN
000019-005,susu,O,NOUN
000019-005,walau,O,SCONJ
000019-005,setetes,O,NOUN
000019-005,pun,O,PART
000019-005,dan,O,CCONJ
000019-005,kelenjar,O,NOUN
000019-005,susunya,O,NOUN
000019-005,juga,O,ADV
000019-005,kempes,O,ADJ
000019-005,.,O,PUNCT
000019-005,Sehingga,O,SCONJ
000019-005,mereka,O,PRON
000019-005,berkata,O,VERB
000019-005,garang,O,ADJ
000019-005,kepada,O,ADP
000019-005,para,O,DET
000019-005,penggembalanya,O,NOUN
000019-005,",",O,PUNCT
000019-005,"""",O,PUNCT
000019-005,Celakalah,O,PART
000019-005,kalian,O,PRON
000019-005,!,O,PUNCT
000019-005,Lepaskanlah,O,VERB
000019-005,hewan,O,NOUN
000019-005,gembalaan,O,NOUN
000019-005,kalian,O,PRON
000019-005,seperti,O,SCONJ
000019-005,yang,O,PRON
000019-005,dilakukan,O,VERB
000019-005,gembalanya,O,NOUN
000019-005,putri,O,PROPN
000019-005,Abu,B_PERSON,PROPN
000019-005,Dzu-,I_PERSON,PROPN
000019-005,aib,O,PROPN
000019-005,".""",O,PUNCT
000019-005,Namun,O,ADV
000019-005,domba-domba,O,NOUN
000019-005,mereka,O,PRON
000019-005,pulang,O,VERB
000019-005,ke,O,ADP
000019-005,rumah,O,NOUN
000019-005,tetap,O,VERB
000019-005,dalam,O,ADP
000019-005,keadaan,O,NOUN
000019-005,lapar,O,ADJ
000019-005,dan,O,CCONJ
000019-005,setetes,O,NOUN
000019-005,pun,O,PART
000019-005,tidak,O,PART
000019-005,mengeluarkan,O,VERB
000019-005,air,O,NOUN
000019-005,susu,O,NOUN
000019-005,.,O,PUNCT
000019-005,Sementara,O,SCONJ
000019-005,domba-dombaku,O,NOUN
000019-005,pulang,O,VERB
000019-005,dalam,O,ADP
000019-005,keadaan,O,NOUN
000019-005,kenyang,O,ADJ
000019-005,dan,O,CCONJ
000019-005,kelenjar,O,NOUN
000019-005,susunya,O,NOUN
000019-005,penuh,O,ADJ
000019-005,berisi,O,VERB
000019-005,.,O,PUNCT
000019-005,Kami,O,PRON
000019-005,senantiasa,O,ADV
000019-005,mendapatkan,O,VERB
000019-005,tambahan,O,NOUN
000019-005,barakah,O,NOUN
000019-005,dan,O,CCONJ
000019-005,kebaikan,O,NOUN
000019-005,dari,O,ADP
000019-005,Allah,O,PROPN
000019-005,selama,O,ADP
000019-005,dua,O,NUM
000019-005,tahun,O,NOUN
000019-005,menyusui,O,VERB
000019-005,anak,O,NOUN
000019-005,susuan,O,NOUN
000019-005,kami.Lalu,O,SCONJ
000019-005,kami,O,PRON
000019-005,menyapihnya,O,VERB
000019-005,.,O,PUNCT
000019-005,Dia,O,PRON
000019-005,tumbuh,O,VERB
000019-005,dengan,O,SCONJ
000019-005,baik,O,ADJ
000019-005,",",O,PUNCT
000019-005,tidak,O,PART
000019-005,seperti,O,ADP
000019-005,bayi-bayi,O,NOUN
000019-005,yang,O,PRON
000019-005,lain,O,ADJ
000019-005,.,O,PUNCT
000019-005,Bahkan,O,SCONJ
000019-005,sebelum,O,SCONJ
000019-005,usia,O,NOUN
000019-005,dua,O,NUM
000019-005,tahun,O,NOUN
000019-005,pun,O,PART
000019-005,dia,O,PRON
000019-005,sudah,O,AUX
000019-005,tumbuh,O,VERB
000019-005,pesat,O,ADJ
000019-005,.,O,PUNCT
000019-005,Kemudian,O,SCONJ
000019-005,kami,O,PRON
000019-005,membawa,O,VERB
000019-005,kepada,O,ADP
000019-005,ibunya,O,NOUN
000019-005,",",O,PUNCT
000019-005,meskipun,O,SCONJ
000019-005,kami,O,PRON
000019-005,masih,O,ADV
000019-005,berharap,O,VERB
000019-005,agar,O,ADP
000019-005,anak,O,NOUN
000019-005,itu,O,DET
000019-005,tetap,O,ADV
000019-005,berada,O,VERB
000019-005,di,O,ADP
000019-005,tengah-tengah,O,NOUN
000019-005,kami,O,PRON
000019-005,",",O,PUNCT
000019-005,karena,O,SCONJ
000019-005,kami,O,PRON
000019-005,bisa,O,AUX
000019-005,merasakan,O,VERB
000019-005,barakahnya,O,NOUN
000019-005,.,O,PUNCT
000019-005,Maka,O,SCONJ
000019-005,kami,O,PRON
000019-005,menyampaikan,O,VERB
000019-005,niat,O,NOUN
000019-005,ini,O,DET
000019-005,kepada,O,ADP
000019-005,ibunya,O,NOUN
000019-005,.,O,PUNCT
000019-005,Aku,O,PRON
000019-005,berkata,O,VERB
000019-005,kepadanya,O,ADP
000019-005,",",O,PUNCT
000019-005,"""",O,PUNCT
000019-005,Andaikan,O,SCONJ
000019-005,saja,O,ADV
000019-005,engkau,O,PRON
000019-005,sudi,O,VERB
000019-005,membiarkan,O,VERB
000019-005,anak,O,NOUN
000019-005,ini,O,DET
000019-005,tetapi,O,CCONJ
000019-005,bersama,O,VERB
000019-005,kami,O,PRON
000019-005,hingga,O,SCONJ
000019-005,menjadi,O,VERB
000019-005,besar,O,ADJ
000019-005,.,O,PUNCT
000021-002,berkata,O,VERB
000021-002,",",O,PUNCT
000021-002,"""",O,PUNCT
000021-002,Biarkanlah,O,ADP
000021-002,anakku,O,PRON
000021-002,ini,O,DET
000021-002,.,O,PUNCT
000021-002,Demi,O,ADP
000021-002,Allah,O,PROPN
000021-002,",",O,PUNCT
000021-002,sesungguhnya,O,SCONJ
000021-002,dia,O,PRON
000021-002,akan,O,AUX
000021-002,memiliki,O,VERB
000021-002,kedudukan,O,NOUN
000021-002,yang,O,PRON
000021-002,agung,O,ADJ
000021-002,".""",O,PUNCT
000021-002,Kemudian,O,SCONJ
000021-002,Abdul,B_PERSON,PROPN
000021-002,Muththalib,I_PERSON,PROPN
000021-002,duduk,O,VERB
000021-002,bersama,O,ADP
000021-002,beliau,O,PRON
000021-002,di,O,ADP
000021-002,atas,O,NOUN
000021-002,dipannya,O,NOUN
000021-002,",",O,PUNCT
000021-002,sambil,O,SCONJ
000021-002,mengelus,O,VERB
000021-002,punggung,O,NOUN
000021-002,beliau,O,PRON
000021-002,dan,O,CCONJ
000021-002,senantiasa,O,ADV
000021-002,merasa,O,VERB
000021-002,gembira,O,ADJ
000021-002,terhadap,O,ADP
000021-002,apa,O,PRON
000021-002,pun,O,PART
000021-002,yang,O,PRON
000021-002,beliau,O,PRON
000021-002,lakukan,O,VERB
000021-002,".""",O,PUNCT
000021-002,Pada,O,ADP
000021-002,usia,O,NOUN
000021-002,delapan,O,NUM
000021-002,tahun,O,NOUN
000021-002,lebih,O,ADV
000021-002,dua,O,NUM
000021-002,bulan,O,NOUN
000021-002,sepuluh,O,NUM
000021-002,hari,O,NOUN
000021-002,dari,O,ADP
000021-002,umur,O,NOUN
000021-002,Rasulullah,B_PERSON,PROPN
000021-002,",",O,PUNCT
000021-002,kakek,O,NOUN
000021-002,beliau,O,PRON
000021-002,meninggal,O,VERB
000021-002,dunia,O,NOUN
000021-002,di,O,ADP
000021-002,Makkah,B_LOCATION,PROPN
000021-002,.,O,PUNCT
000021-002,Sebelum,O,SCONJ
000021-002,meninggal,O,VERB
000021-002,",",O,PUNCT
000021-002,Abdul,B_PERSON,PROPN
000021-002,Muththalib,I_PERSON,PROPN
000021-002,sudah,O,AUX
000021-002,berpesan,O,VERB
000021-002,menitipkan,O,VERB
000021-002,pengasuhan,O,NOUN
000021-002,sang,O,DET
000021-002,cucu,O,NOUN
000021-002,kepada,O,ADP
000021-002,pamannya,O,NOUN
000021-002,",",O,PUNCT
000021-002,Abu,B_PERSON,PROPN
000021-002,Thalib,I_PERSON,PROPN
000021-002,",",O,PUNCT
000021-002,saudara,O,NOUN
000021-002,kandung,O,NOUN
000021-002,bapak,O,NOUN
000024-002,Kami,O,PRON
000024-002,juga,O,ADV
000024-002,bisa,O,AUX
000024-002,mendapatkan,O,VERB
000024-002,tanda,O,NOUN
000024-002,itu,O,DET
000024-002,di,O,ADP
000024-002,dalam,O,ADP
000024-002,kitab,O,NOUN
000024-002,kami,O,PRON
000024-002,".""",O,PUNCT
000024-002,Kemudian,O,SCONJ
000024-002,Rahib,O,PROPN
000024-002,Bahira,O,PROPN
000024-002,meminta,O,VERB
000024-002,agar,O,SCONJ
000024-002,Abu,B_PERSON,PROPN
000024-002,Thalib,I_PERSON,PROPN
