text_id,id,token,pos_tag,label
000000-001,000000-001.001,Pada,ADP,O
000000-001,000000-001.002,hakikatnya,NOUN,O
000000-001,000000-001.003,istilah,NOUN,O
000000-001,000000-001.004,Sirah,PROPN,O
000000-001,000000-001.005,Nabawiyah,PROPN,O
000000-001,000000-001.006,merupakan,VERB,O
000000-001,000000-001.007,ungkapan,NOUN,O
000000-001,000000-001.008,tentang,ADP,O
000000-001,000000-001.009,risalah,NOUN,O
000000-001,000000-001.010,yang,PRON,O
000000-001,000000-001.011,dibawa,VERB,O
000000-001,000000-001.012,Rasulullah,PROPN,B-PERSON
000000-001,000000-001.013,kepada,ADP,O
000000-001,000000-001.014,manusia,NOUN,O
000000-001,000000-001.015,",",PUNCT,O
000000-001,000000-001.016,untuk,SCONJ,O
000000-001,000000-001.017,mengeluarkan,VERB,O
000000-001,000000-001.018,mereka,PRON,O
000000-001,000000-001.019,dari,ADP,O
000000-001,000000-001.020,kegelapan,NOUN,O
000000-001,000000-001.021,kepada,ADP,O
000000-001,000000-001.022,cahaya,NOUN,O
000000-001,000000-001.023,",",PUNCT,O
000000-001,000000-001.024,dari,ADP,O
000000-001,000000-001.025,penyembahan,NOUN,O
000000-001,000000-001.026,terhadap,ADP,O
000000-001,000000-001.027,hamba,NOUN,O
000000-001,000000-001.028,kepada,ADP,O
000000-001,000000-001.029,penyembahan,NOUN,O
000000-001,000000-001.030,Allah,PROPN,O
000000-001,000000-001.031,.,PUNCT,O
000000-001,000000-001.032,Jadi,SCONJ,O
000000-001,000000-001.033,tidak,PART,O
000000-001,000000-001.034,mungkin,AUX,O
000000-001,000000-001.035,bisa,AUX,O
000000-001,000000-001.036,menghadirkan,VERB,O
000000-001,000000-001.037,gambarannya,NOUN,O
000000-001,000000-001.038,secara,ADP,O
000000-001,000000-001.039,pas,ADJ,O
000000-001,000000-001.040,dan,CCONJ,O
000000-001,000000-001.041,mengena,VERB,O
000000-001,000000-001.042,kecuali,SCONJ,O
000000-001,000000-001.043,setelah,SCONJ,O
000000-001,000000-001.044,membandingkan,VERB,O
000000-001,000000-001.045,hal-hal,NOUN,O
000000-001,000000-001.046,di,ADP,O
000000-001,000000-001.047,balik,NOUN,O
000000-001,000000-001.048,risalah,NOUN,O
000000-001,000000-001.049,ini,DET,O
000000-001,000000-001.050,dan,CCONJ,O
000000-001,000000-001.051,pengaruhnya,NOUN,O
000000-001,000000-001.052,.,PUNCT,O
000000-001,000000-001.053,Berangkat,VERB,O
000000-001,000000-001.054,dari,ADP,O
000000-001,000000-001.055,sinilah,PRON,O
000000-001,000000-001.056,kami,PRON,O
000000-001,000000-001.057,merasa,VERB,O
000000-001,000000-001.058,perlu,ADV,O
000000-001,000000-001.059,mengemukakan,VERB,O
000000-001,000000-001.060,sedikit,ADV,O
000000-001,000000-001.061,uraian,NOUN,O
000000-001,000000-001.062,tentang,ADP,O
000000-001,000000-001.063,kaum-kaum,NOUN,O
000000-001,000000-001.064,bangsa,NOUN,O
000000-001,000000-001.065,Arab,PROPN,O
000000-001,000000-001.066,dan,CCONJ,O
000000-001,000000-001.067,perkembangannya,NOUN,O
000000-001,000000-001.068,sebelum,ADP,O
