chunk_id;teks_chunk;judul_bab;entity_text;label;start_char;end_char
000019-005;"Aku tidak pernah melihat sepetak tanah pun yang lebih subur saat itu. Domba-domba kami datang menyongsong kedatangan kami dalam keadaan kenyang dan air susunya juga penuh berisi, sehingga kami bisa memerahnya dan meminumnya. Sementara setiap orang yang memerah air susu hewannya sama sekali tidak mengeluarkan air susu walau setetes pun dan kelenjar susunya juga kempes. Sehingga mereka berkata garang kepada para penggembalanya, ""Celakalah kalian! Lepaskanlah hewan gembalaan kalian seperti yang dilakukan gembalanya putri Abu Dzu- aib."" Namun domba-domba mereka pulang ke rumah tetap dalam keadaan lapar dan setetes pun tidak mengeluarkan air susu. Sementara domba-dombaku pulang dalam keadaan kenyang dan kelenjar susunya penuh berisi. Kami senantiasa mendapatkan tambahan barakah dan kebaikan dari Allah selama dua tahun menyusui anak susuan kami.Lalu kami menyapihnya. Dia tumbuh dengan baik, tidak seperti bayi-bayi yang lain. Bahkan sebelum usia dua tahun pun dia sudah tumbuh pesat. Kemudian kami membawa kepada ibunya, meskipun kami masih berharap agar anak itu tetap berada di tengah-tengah kami, karena kami bisa merasakan barakahnya. Maka kami menyampaikan niat ini kepada ibunya. Aku berkata kepadanya, ""Andaikan saja engkau sudi membiarkan anak ini tetapi bersama kami hingga menjadi besar.";KELAHIRAN DAN EMPAT PULUH TAHUN SEBELUM NUBUWAH;Abu Dzu- aib;PERSON;;
000045-002;"sehingga mereka tidak lagi mempunyai pilihan terhadap diri dan harta mereka, terlebih lagi terhadap orang lain. Dengan kata lain, iman itu akan melumatkan kepemimpinan dan keunggulan mereka di atas semua bangsa Arab, yang sebelum itu juga menggunakan label agama. Dengan kata lain, mereka harus menetapkan keridhaan sesuai dengan keridhaan Allah dan Rasul-Nya, harus menghentikan berbagai bentuk kezhaliman yang sebelum itu biasa mereka lakukan untuk menindas rakyat awam, begitu pula berbagai macam keburukan yang selalu mereka lakukan, pagi maupun sore. Mereka menangkap makna seperti itu, karena jiwa mereka tidak bisa menerima ""Kedudukan yang hina"", yang tidak mencerminkan kehormatan dan kebaikan. ""Bahkan manusia itu hendak membuat maksiat terus menerus. "" (Al-Qiyamah: 5) Mereka menyadari semua itu. Tapi apa yang bisa mereka perbuat menghadapi orang yang jujur dan dapat dipercaya ini, menghadapi gambaran tertinggi dari nilai kemanusiaan dan akhlak yang mulia? Sepanjang sejarah nenek moyang dan perjalanan berbagai kaum, mereka tidak pernah mengetahui bandingan yang seperti itu. Apa yang hendak mereka lakukan? Mereka benar- benar bingung dan memang layak untuk bingung";TAHAPAN KEDUA: DAKWAH SECARA TERANG-TERANGAN;;;;
000052-002;"Kami diutus para pembesar kaum mereka, dari bapak-bapak, paman dan keluarga mereka untuk menemui tuan, agar tuan berkenan mengembaikan orang-orang ini kepada mereka. Sebab mereka itu lebih berhak terhadap orang-orang tersebut dan lebih tahu apa yang telah mendorong orang-orang tersebut mencela dan mencaci mereka."" Benar apa yang dikatakan mereka berdua, wahai Baginda Raja. Maka serahkanlah mereka itu kepada mereka berdua, agar keduanya mengembalikan mereka ke kaum dan negerinya,"" kata para uskup. Tetapi Raja Naj asyi merasa perlu untuk meneliti secara detil masalah ini dan mendengarkan dari masing-masing pihak. Maka Raja Najasyi mengirim utusan untuk menemui orang-orang Muslim dan mendatangkan mereka ke hadapannya. Setelah para Muhajirin yang dari penampilannya saja sudah menampakkan kejujuran itu sudah menghadap, maka Najasyi berkata. ""Macam apakah agama kalian, yang karena agama itu kalian memecah belah kaum kalian, dan kalian juga tidak masuk agama kalian serta tidak satu pun agama-agama ini?"" Ja'far bin Abu Thalib yang menjadi juru bicara orang-orang Muslim menjawab, Wahai Tuan Raja, dulu kami adalah pemeluk agama jahiliyah. Kami menyembah berhala-berhala, memakan bangkai, berbuat mesum, memutuskan tali persaudaraan, menyakiti tetangga dan yang kuat di antara kita memakan yang lemah. Begitulah gambaran kami dahulu, hingga Allah mengutus seorang rasul dari kalangan kami sendiri, yang kami ketahui nasab, kejujuran, amanah, dan kesucian dirinya.";TAHAPAN KEDUA: DAKWAH SECARA TERANG-TERANGAN;Najasyi;PERSON;629.0;636.0
000052-002;"Kami diutus para pembesar kaum mereka, dari bapak-bapak, paman dan keluarga mereka untuk menemui tuan, agar tuan berkenan mengembaikan orang-orang ini kepada mereka. Sebab mereka itu lebih berhak terhadap orang-orang tersebut dan lebih tahu apa yang telah mendorong orang-orang tersebut mencela dan mencaci mereka."" Benar apa yang dikatakan mereka berdua, wahai Baginda Raja. Maka serahkanlah mereka itu kepada mereka berdua, agar keduanya mengembalikan mereka ke kaum dan negerinya,"" kata para uskup. Tetapi Raja Naj asyi merasa perlu untuk meneliti secara detil masalah ini dan mendengarkan dari masing-masing pihak. Maka Raja Najasyi mengirim utusan untuk menemui orang-orang Muslim dan mendatangkan mereka ke hadapannya. Setelah para Muhajirin yang dari penampilannya saja sudah menampakkan kejujuran itu sudah menghadap, maka Najasyi berkata. ""Macam apakah agama kalian, yang karena agama itu kalian memecah belah kaum kalian, dan kalian juga tidak masuk agama kalian serta tidak satu pun agama-agama ini?"" Ja'far bin Abu Thalib yang menjadi juru bicara orang-orang Muslim menjawab, Wahai Tuan Raja, dulu kami adalah pemeluk agama jahiliyah. Kami menyembah berhala-berhala, memakan bangkai, berbuat mesum, memutuskan tali persaudaraan, menyakiti tetangga dan yang kuat di antara kita memakan yang lemah. Begitulah gambaran kami dahulu, hingga Allah mengutus seorang rasul dari kalangan kami sendiri, yang kami ketahui nasab, kejujuran, amanah, dan kesucian dirinya.";TAHAPAN KEDUA: DAKWAH SECARA TERANG-TERANGAN;Najasyi;PERSON;831.0;838.0
000052-002;"Kami diutus para pembesar kaum mereka, dari bapak-bapak, paman dan keluarga mereka untuk menemui tuan, agar tuan berkenan mengembaikan orang-orang ini kepada mereka. Sebab mereka itu lebih berhak terhadap orang-orang tersebut dan lebih tahu apa yang telah mendorong orang-orang tersebut mencela dan mencaci mereka."" Benar apa yang dikatakan mereka berdua, wahai Baginda Raja. Maka serahkanlah mereka itu kepada mereka berdua, agar keduanya mengembalikan mereka ke kaum dan negerinya,"" kata para uskup. Tetapi Raja Naj asyi merasa perlu untuk meneliti secara detil masalah ini dan mendengarkan dari masing-masing pihak. Maka Raja Najasyi mengirim utusan untuk menemui orang-orang Muslim dan mendatangkan mereka ke hadapannya. Setelah para Muhajirin yang dari penampilannya saja sudah menampakkan kejujuran itu sudah menghadap, maka Najasyi berkata. ""Macam apakah agama kalian, yang karena agama itu kalian memecah belah kaum kalian, dan kalian juga tidak masuk agama kalian serta tidak satu pun agama-agama ini?"" Ja'far bin Abu Thalib yang menjadi juru bicara orang-orang Muslim menjawab, Wahai Tuan Raja, dulu kami adalah pemeluk agama jahiliyah. Kami menyembah berhala-berhala, memakan bangkai, berbuat mesum, memutuskan tali persaudaraan, menyakiti tetangga dan yang kuat di antara kita memakan yang lemah. Begitulah gambaran kami dahulu, hingga Allah mengutus seorang rasul dari kalangan kami sendiri, yang kami ketahui nasab, kejujuran, amanah, dan kesucian dirinya.";TAHAPAN KEDUA: DAKWAH SECARA TERANG-TERANGAN;Ja'far bin Abu Thalib;PERSON;1012.0;1033.0
000054-002;Tetapi dengan membandingkannya dengan bukti-bukti kejadian yang lain, hal itu terjadi pada pertengahan tahun keenam dari nubuwah. Sebab rincian tentang kejadian ini sangat minim.;TAHAPAN KEDUA: DAKWAH SECARA TERANG-TERANGAN;;;;
000131-003;""" Kesudahan adu tanding ini merupakan awal yang buruk bagi orang. orang musyrik, karena mereka kehilangan tiga orang penunggang kuda yang diandalkan dan sekaligus komandan pasukan mereka, hanya dalam sekali gebrakan saja. Kemarahan mereka menggelagak, lalu mereka menyerang pasukan Muslimin secara serentak dan membabi buta. Setelah memohon kemenangan dan pertolongan kepada Allah, memurnikan niat dan tunduk kepada-Nya, maka orang-orang Muslim menghadang serangan orang-orang musyrik yang dilancarakan secara bergelombang dan terus- menerus. Mereka tetap berdiri di tempat semula dengan sikap defensif. Namun cara ini cukup ampuh untuk menjatuhkan korban di kalangan orang-orang musyrik. Tak henti-hentinya mereka berseru, Ahad ... Ahad ... """;PERANG BADR KUBRA;;;;
000136-001;Tanda-tanda kegagalan dan kebimbangan mulai merebak di barisan orang-orang musyrik. Sudah cukup banyak korban yang jatuh karena serangan orang-orang Muslim yang gencar. Pertempuran mulai mendekati masa akhir. Tidak sedikit orang-orang musyrik yang lebih suka lari dan mundur dari kancah 156 Muslim juga meriwayatkan yang serupa dengan ini di dalam Shahih-nya, 2/93. pertempuran. Sehingga hal ini semakin memudahkan orang-orang Muslim untuk menawan dan menghabisi lawan. Maka lengkaplah sudah kekalahan orang-orang musyrik;PERANG BADR KUBRA;;;;
000138-008;"Tatkala beliau bersabda, ""Ada tujuh puluh ribu umatku yang masuk surga dalam rupa bulan purnama."" Lalu Ukkasyah memohon kepada beliau untuk berdoa kepada Allah, agar dia dijadikan golongan ini. Maka sabda beliau, ""Engkau termasuk golongan mereka."" Kemudian tatkala ada orang Anshar yang meminta seperti yang dipinta Ukkasyah, beliau menjawab, ""Engkau sudah didahului Ukkasyah"", pent. 159 AkhirnyaAbu Aziz ditebus dengan nilai yang paling tinggi di antara semua tawanan yaitu sebanyak empat ribu dirham, pent.";PERANG BADR KUBRA;;;;
000167-003;"Kepada mereka dikatakan, 'Marilah berperang di jalan Allah atau pertahankanlah (diri kalian). 'Mereka berkata, 'Sekiranya kami mengetahui akan terjadi peperangan, tentulah kami mengikuti kalian. 'Mereka pada hari itu lebih dekat kepada kekafiran daripada keimanan. Mereka mengatakan dengan mulutnya apa yang tidak ada terkandung dalam hatinya. Dan, Allah lebih mengetahui apa yang mereka sembunyikan. "" Ucapan mereka ini dimaksudkan sebagai sinisme. pent.";PERANG UHUD;;;;
