source_name;source_label;relation_type;relation_subtype;target_name;target_label;chunk_id;evidence;halaman;frequency;weight;periode_bab
Jabalah Bin Al-Aiham;PERSON;INVOLVED_IN;;Perang Yarmuk;EVENT;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham dapat ditarik masuk ke dalam Islam pada masa Amir...;47-48;1;0.4;Konteks Arab Jahiliyah
Umar bin Al-Khaththab;PERSON;INVOLVED_IN;;Perang Yarmuk;EVENT;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham dapat ditarik masuk ke dalam Islam pada masa Amirul-Mukminin Umar bin Al-Khaththab;47-48;1;0.2;Konteks Arab Jahiliyah
Perang Yarmuk;EVENT;OCCURRED_AT;;Syam;LOCATION;000006-001;...kat mereka sebagai raja bagi semua bangsa Arab di Syam Ibukotanya adalah Dumatul-Jandal. Suku Ghassan ini terus berkuasa sebagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabal...;47-48;1;0.2;Konteks Arab Jahiliyah
Perang Yarmuk;EVENT;OCCURRED_ON;;Tahun 13 H;TIME;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham...;47-48;1;0.5;Konteks Arab Jahiliyah
Bukhtanashar;PERSON;INVOLVED_IN;;Perang Bukhtanashar;EVENT;000007-001;...p di langit Makkah sejak masa itu. Buktinya, saat Bukhtanashar berperang melawan bangsa Arab di Dzatu Irq, pasukan bangsa Arab saat itu tidak berasal dari Bani Jurhum. Bani Adnan berpencar ke Yaman pada saat Perang Bukhtanashar II (tahun 587 SM.), lalu pergi bersama Ma'ad ke S...;48-53;1;0.3;Konteks Arab Jahiliyah
Jursyum Bin Jalhamah;PERSON;INVOLVED_IN;;Perang Bukhtanashar;EVENT;000007-001;...i Jurhum. Bani Adnan berpencar ke Yaman pada saat Perang Bukhtanashar II (tahun 587 SM.), lalu pergi bersama Ma'ad ke Syam. Setelah tekanan Bukhtanashar mulai mengendor, maka Ma'ad kembali ke Makkah, namun dia tidak mendapatkan seorang pun dari Bani Jurhum kecuali Jursyum bin Jalhamah Lalu dia menikahi anak putrinya, Mu'anah dan mela...;48-53;1;0.2;Konteks Arab Jahiliyah
Perang Bukhtanashar;EVENT;OCCURRED_ON;;Tahun 587 Sm;TIME;000007-001;...i Jurhum. Bani Adnan berpencar ke Yaman pada saat Perang Bukhtanashar II (tahun 587 SM.), lalu pergi bersama Ma'ad ke Syam. Setelah teka...;48-53;1;0.5;Konteks Arab Jahiliyah
Harb Bin Umayyah;PERSON;INVOLVED_IN;;Perang Fijar;EVENT;000025-001;Pada usia lima belas tahun, meletus Perang Fijar antara pihak Quraisy bersama Kinanah, berhadapan dengan pihak Qais Ailan. Komandan pasukan Quraisy dan Kinanah dipegang oleh Harb bin Umayyah, karena pertimbangan usia dan kedudukannya terpan...;87-88;1;0.2;Nasab & Kelahiran Nabi
Muhammad;PERSON;INVOLVED_IN;;Perang Fijar;EVENT;000025-001;...n beralih ke pihak Quraisy dan Kinanah. Dinamakan Perang Fijar, karena terjadi pelanggaran terhadap kesucian tanah haram dan bulan-bulan suci. Rasulullah ikut bergabung dalam 42_ Mukhtashar Siratir-Rasul...;87-88;1;0.3;Nasab & Kelahiran Nabi
Musa bin Imran;PERSON;INVOLVED_IN;;Mi'Raj;EVENT;000035-002;..., yaitu di atas lapisan-lapisan langit pada malam Mi'raj, berisi kewajiban shalat dan lain-lainnya. 7. Allah berfirman secara langsung dengan Nabi tanpa menggunakan perantara, sebagaimana Allah berfirman dengan Musa bin Imran. Wahyu semacam ini pasti berlaku bagi Musa berdas...;100-101;1;0.45;Awal Kenabian & Mandat Dakwah
Amr bin Al-Ash;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000052-006 | 000052-007;...n riwayat Ibnu Ishaq. Yang lain menyebutkan bahwa Amr bin Al-Ash diutus kepada Najasyi setelah Perang Badr.;133-137;2;0.5;Perang Badr & Dampaknya
Najasyi;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000052-006 | 000052-007;...in menyebutkan bahwa Amr bin Al-Ash diutus kepada Najasyi setelah Perang Badr.;133-137;2;0.5;Perang Badr & Dampaknya
Ja'Far;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000052-007;...ahwa Amr bin Al-Ash diutus kepada Najasyi setelah Perang Badr. Namun sebagian yang lain telah sepakat bahwa pengiriman utusan itu dua kali, dan materi dialog antara Najasyi dan Ja'far pada pengiriman utusan yang kedua juga sama denga...;133-137;1;0.2;Perang Badr & Dampaknya
Ubay Bin Khalaf;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000071-003;"...sa orang lain, dan justru hanya memangsa dirinya. Ubay bin Khalaf pernah mengancam akan membunuh beliau. Namun beliau bersabda, Akulah yang akan membunuhmu insya Allah."" Tatkala beliau menggoreskan senjata di leher Ubay pada waktu Perang Uhud, dan hanya berupa goresan yang kecil saja, maka U...";165-168;1;0.2;Perang Uhud & Satuan Pasukan Pasca Uhud
Muhammad;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000071-003 | 000098-002 | 000098-003 | 000114-009 | 000138-006 | 000147-001 | 000150-003 | 000151-002 | 000158-001 | 000158-002 | 000164-002 | 000164-003 | 000177-001 | 000206-005 | 000215-002 | 000218-001 | 000301-004 | 000378-001;"...ah bin Khalaf saat masih di Makkah, Aku mendengar Rasulullah bersabda, Sesungguhnya orang-orang Muslim akan menyerangmu."" Dia langsung tercengang dan kaget mendengarnya dan bersumpah tidak akan keluar dari Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah y...";165-168 | 231-232 | 256-265 | 289-293 | 306-307 | 310-312 | 312-314 | 324-325 | 327-328 | 340 | 368-373 | 385-386 | 390-404 | 515-517 | 612;18;0.5;Perang Badr & Dampaknya
Abu Jahal;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000071-003;...bersumpah tidak akan keluar dari Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah y...;165-168;1;0.5;Perang Badr & Dampaknya
Abu Sufyan bin Harb;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000071-003 | 000144-004 | 000153-002 | 000158-001 | 000171-001 | 000198-002 | 000215-002;"...Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah yang memungkinkan dapat digunakan untuk melarikan diri jika diperlukan ""Wahai Abu Sufyan,"" kata istrinya, ""Apakah engkau sudah lupa apa ya...";165-168 | 300-302 | 315-316 | 324-325 | 334-335 | 359-360 | 385-386;7;0.5;Perang Badr & Dampaknya
