entitas;pola;jumlah;contoh;Label  Baru;konteks;sumber
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Maka bersama 70 sahabat, Rasulullah hendak mengejar dan mengusirnya, hingga beliau tiba di sebuah wadi yang disebut Safawan, dari arah Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Tekad inilah yang kemudian membawa mereka ke Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;"[usul:LOCATION?] Tetapi dengan sikap yang angkuh dan sombong Abu Jahal berkata, ""Demi Allah, kita tidak akan kembali kecuali setelah tiba di Badr.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] 000 orang melanjutkan perjalanan menuju Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Mereka terus berjalan hingga mendekati Badr dan bersembunyi di balik bukit pasir, di pinggiran wadi Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Mereka terus berjalan hingga mendekati Badr dan bersembunyi di balik bukit pasir, di pinggiran wadi Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Mereka pergi ke mata air Badr, dan di sana mereka bertemu dengan dua pesuruh yang tugasnya mengambil air untuk kebutuhan pasukan Makkah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Pada pagi harinya mereka turun dari atas lembah pasir dengan seluruh satuan-satuannya hingga tiba di lembah Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Orang-orang musyrik melarikan diri dari kancah Badr dengan berpencar- pencar tak beraturan.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Para pemuka orang-orang Muslim y ang berada di Madinah segera pergi ke jalan menuju ke arah Badr, bersiap-siap untuk menyambut kedatangan Rasulullah atas kemenangan ini Usamah bin ;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:EVENT?] Surat ini merupakan penjelasan dari Allah tentang peperangan Badr, yang berbeda jauh dengan penjelasan-penjelasan lain yang membicarakan masalah raja dan pemimpin setelah kemenanga;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:EVENT?] Peperangan ini terjadi pada bulan Syawwal 2 Hijriyah, selang tujuh hari sepulang dari Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;"[usul:LOCATION?] Beliau bersabda, ""Ajarkanlah masalah agama kepada saudara kalian ini, bacakanlah Al-Qur an dan bebaskanlah anaknya!"" Sedangkan Shafwan yang berada di Makkah berkata kepada orang-or";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] maka mereka menjadi pelopor pertama yang melanggar perjanjian dari kalangan Yahudi Setelah Allah memberikan kemenangan kepada orang-orang Muslim di Badr, justru kelaliman Yahudi Ba;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Di sana dia melantunkan syair-syair sambil menangis mengumbar air mata, menyebut orang-orang yang menjadi korban dan dimasukkan ke dalam sumur Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Di sana dia melantunkan syair-syair sambil menangis mengumbar air mata, menyebut orang-orang yang menjadi korban dan dimasukkan ke dalam sumur Badr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Bahkan karenanya Quraisy melarang semua penduduk Makkah meratapi para korban Badr dan tidak perlu terburu-buru menebus para tawanan, agar orang-orang Muslim tidak merasa di atas an;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;"[usul:?] "" Ibnu Ishaq menuturkan, setelah Abu Sufyan dan orang-orang yang bersamanya berbalik arah untuk kembali ke Makkah, dia berseru, ""Tempat yang telah disepakati pada tahun depan adala";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Mereka tiba di Badr dan menunggu orang-orang musyrik.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:?] Orang-orang Muslim menunggu kedatangan pasukan Quraisy di Badr hingga selama delapan hari.;gold
