text_id,id,token,pos_tag
000021-002,000021-002.001,"berkata,",NN
000021-002,000021-002.002,"""Biarkanlah",NN
000021-002,000021-002.003,anakku,NN
000021-002,000021-002.004,ini.,NN
000021-002,000021-002.005,Demi,NN
000021-002,000021-002.006,"Allah,",NN
000021-002,000021-002.007,sesungguhnya,NN
000021-002,000021-002.008,dia,NN
000021-002,000021-002.009,akan,NN
000021-002,000021-002.010,memiliki,NN
000021-002,000021-002.011,kedudukan,NN
000021-002,000021-002.012,yang,NN
000021-002,000021-002.013,"agung.""",NN
000021-002,000021-002.014,Kemudian,NN
000021-002,000021-002.015,Abdul,NN
000021-002,000021-002.016,Muththalib,NN
000021-002,000021-002.017,duduk,NN
000021-002,000021-002.018,bersama,NN
000021-002,000021-002.019,beliau,NN
000021-002,000021-002.020,di,NN
000021-002,000021-002.021,atas,NN
000021-002,000021-002.022,"dipannya,",NN
000021-002,000021-002.023,sambil,NN
000021-002,000021-002.024,mengelus,NN
000021-002,000021-002.025,punggung,NN
000021-002,000021-002.026,beliau,NN
000021-002,000021-002.027,dan,NN
000021-002,000021-002.028,senantiasa,NN
000021-002,000021-002.029,merasa,NN
000021-002,000021-002.030,gembira,NN
000021-002,000021-002.031,terhadap,NN
000021-002,000021-002.032,apa,NN
000021-002,000021-002.033,pun,NN
000021-002,000021-002.034,yang,NN
000021-002,000021-002.035,beliau,NN
000021-002,000021-002.036,"lakukan.""",NN
000021-002,000021-002.037,Pada,NN
000021-002,000021-002.038,usia,NN
000021-002,000021-002.039,delapan,NN
000021-002,000021-002.040,tahun,NN
000021-002,000021-002.041,lebih,NN
000021-002,000021-002.042,dua,NN
000021-002,000021-002.043,bulan,NN
000021-002,000021-002.044,sepuluh,NN
000021-002,000021-002.045,hari,NN
000021-002,000021-002.046,dari,NN
000021-002,000021-002.047,umur,NN
000021-002,000021-002.048,Rasulullah,NN
000021-002,000021-002.049,",",NN
000021-002,000021-002.050,kakek,NN
000021-002,000021-002.051,beliau,NN
000021-002,000021-002.052,meninggal,NN
000021-002,000021-002.053,dunia,NN
000021-002,000021-002.054,di,NN
000021-002,000021-002.055,Makkah.,NN
000021-002,000021-002.056,Sebelum,NN
000021-002,000021-002.057,"meninggal,",NN
000021-002,000021-002.058,Abdul,NN
000021-002,000021-002.059,Muththalib,NN
000021-002,000021-002.060,sudah,NN
000021-002,000021-002.061,berpesan,NN
000021-002,000021-002.062,menitipkan,NN
000021-002,000021-002.063,pengasuhan,NN
000021-002,000021-002.064,sang,NN
000021-002,000021-002.065,cucu,NN
000021-002,000021-002.066,kepada,NN
000021-002,000021-002.067,"pamannya,",NN
000021-002,000021-002.068,Abu,NN
000021-002,000021-002.069,"Thalib,",NN
000021-002,000021-002.070,saudara,NN
000021-002,000021-002.071,kandung,NN
000021-002,000021-002.072,bapak,NN
000024-002,000024-002.001,Kami,NN
000024-002,000024-002.002,juga,NN
000024-002,000024-002.003,bisa,NN
000024-002,000024-002.004,mendapatkan,NN
000024-002,000024-002.005,tanda,NN
000024-002,000024-002.006,itu,NN
000024-002,000024-002.007,di,NN
000024-002,000024-002.008,dalam,NN
000024-002,000024-002.009,kitab,NN
000024-002,000024-002.010,"kami.""",NN
000024-002,000024-002.011,Kemudian,NN
000024-002,000024-002.012,Rahib,NN
000024-002,000024-002.013,Bahira,NN
000024-002,000024-002.014,meminta,NN
000024-002,000024-002.015,agar,NN
000024-002,000024-002.016,Abu,NN
000024-002,000024-002.017,Thalib,NN
000024-002,000024-002.018,kembali,NN
000024-002,000024-002.019,lagi,NN
000024-002,000024-002.020,bersama,NN
000024-002,000024-002.021,beliau,NN
000024-002,000024-002.022,tanpa,NN
000024-002,000024-002.023,melanjutkan,NN
000024-002,000024-002.024,perjalanannya,NN
000024-002,000024-002.025,ke,NN
000024-002,000024-002.026,"Syam,",NN
000024-002,000024-002.027,karena,NN
000024-002,000024-002.028,dia,NN
000024-002,000024-002.029,takut,NN
000024-002,000024-002.030,gangguan,NN
000024-002,000024-002.031,dari,NN
000024-002,000024-002.032,pihak,NN
000024-002,000024-002.033,orang-orang,NN
000024-002,000024-002.034,Yahudi.,NN
000024-002,000024-002.035,Maka,NN
000024-002,000024-002.036,Abu,NN
000024-002,000024-002.037,Thalib,NN
000024-002,000024-002.038,mengirim,NN
000024-002,000024-002.039,beliau,NN
000024-002,000024-002.040,bersama,NN
000024-002,000024-002.041,beberapa,NN
000024-002,000024-002.042,pemuda,NN
000024-002,000024-002.043,agar,NN
000024-002,000024-002.044,kembali,NN
000024-002,000024-002.045,lagi,NN
000024-002,000024-002.046,ke,NN
000028-001,000028-001.001,Setibanya,NN
000028-001,000028-001.002,di,NN
000028-001,000028-001.003,Makkah,NN
000028-001,000028-001.004,dan,NN
000028-001,000028-001.005,setelah,NN
000028-001,000028-001.006,Khadijah,NN
000028-001,000028-001.007,tahu,NN
000028-001,000028-001.008,keuntungan,NN
000028-001,000028-001.009,dagangannya,NN
000028-001,000028-001.010,yang,NN
000028-001,000028-001.011,"melimpah,",NN
000028-001,000028-001.012,yang,NN
000028-001,000028-001.013,tidak,NN
000028-001,000028-001.014,pernah,NN
000028-001,000028-001.015,dilihatnya,NN
000028-001,000028-001.016,sebanyak,NN
000028-001,000028-001.017,itu,NN
000028-001,000028-001.018,"sebelumnya,",NN
000028-001,000028-001.019,apalagi,NN
000028-001,000028-001.020,setelah,NN
000028-001,000028-001.021,"pembantunya,",NN
000028-001,000028-001.022,"Maisarah,",NN
000028-001,000028-001.023,mengabarkan,NN
000028-001,000028-001.024,kepadanya,NN
000028-001,000028-001.025,apa,NN
000028-001,000028-001.026,yang,NN
000028-001,000028-001.027,dilihatnya,NN
000028-001,000028-001.028,pada,NN
000028-001,000028-001.029,diri,NN
000028-001,000028-001.030,beliau,NN
000028-001,000028-001.031,selama,NN
000028-001,000028-001.032,"menyertainya,",NN
000028-001,000028-001.033,bagaimana,NN
000028-001,000028-001.034,sifat-sifat,NN
000028-001,000028-001.035,beliau,NN
000028-001,000028-001.036,yang,NN
000028-001,000028-001.037,"mulia,",NN
000028-001,000028-001.038,kecerdikan,NN
000028-001,000028-001.039,dan,NN
000028-001,000028-001.040,kejujuran,NN
000028-001,000028-001.041,"beliau,",NN
000028-001,000028-001.042,maka,NN
000028-001,000028-001.043,seakan-akan,NN
000028-001,000028-001.044,Khadijah,NN
000028-001,000028-001.045,mendapatkan,NN
000028-001,000028-001.046,barangnya,NN
000028-001,000028-001.047,yang,NN
000028-001,000028-001.048,pernah,NN
000028-001,000028-001.049,hilang,NN
000028-001,000028-001.050,dan,NN
000028-001,000028-001.051,sangat,NN
000028-001,000028-001.052,diharapkannya.,NN
000028-001,000028-001.053,Sebenarnya,NN
000028-001,000028-001.054,sudah,NN
000028-001,000028-001.055,banyak,NN
000028-001,000028-001.056,para,NN
000028-001,000028-001.057,pemuka,NN
000028-001,000028-001.058,dan,NN
000028-001,000028-001.059,pemimpin,NN
000028-001,000028-001.060,kaum,NN
000028-001,000028-001.061,yang,NN
000028-001,000028-001.062,hendak,NN
000028-001,000028-001.063,menikahinya.,NN
000028-001,000028-001.064,Namun,NN
000028-001,000028-001.065,dia,NN
000028-001,000028-001.066,tidak,NN
000028-001,000028-001.067,mau.,NN
000028-001,000028-001.068,Tiba-tiba,NN
000028-001,000028-001.069,saja,NN
000028-001,000028-001.070,dia,NN
000028-001,000028-001.071,teringat,NN
000028-001,000028-001.072,seorang,NN
000028-001,000028-001.073,"rekannya,",NN
000028-001,000028-001.074,Nafisah,NN
000028-001,000028-001.075,binti,NN
000028-001,000028-001.076,Munyah,NN
000028-001,000028-001.077,Dia,NN
000028-001,000028-001.078,meminta,NN
000028-001,000028-001.079,agar,NN
000028-001,000028-001.080,rekannya,NN
000028-001,000028-001.081,ini,NN
000028-001,000028-001.082,menemui,NN
000028-001,000028-001.083,beliau,NN
000028-001,000028-001.084,dan,NN
000028-001,000028-001.085,membuka,NN
000028-001,000028-001.086,jalan,NN
000028-001,000028-001.087,agar,NN
000028-001,000028-001.088,mau,NN
000028-001,000028-001.089,menikah,NN
000028-001,000028-001.090,dengan,NN
000028-001,000028-001.091,Khadijah.,NN
000028-001,000028-001.092,Ternyata,NN
000028-001,000028-001.093,beliau,NN
000028-001,000028-001.094,menerima,NN
000028-001,000028-001.095,tawaran,NN
000028-001,000028-001.096,"itu,",NN
000028-001,000028-001.097,lalu,NN
000028-001,000028-001.098,beliau,NN
000028-001,000028-001.099,menemui,NN
000028-001,000028-001.100,paman-paman,NN
000028-001,000028-001.101,beliau.,NN
000028-001,000028-001.102,Kemudian,NN
000028-001,000028-001.103,paman-paman,NN
000028-001,000028-001.104,beliau,NN
000028-001,000028-001.105,menemui,NN
000028-001,000028-001.106,paman,NN
000028-001,000028-001.107,Khadijah,NN
000028-001,000028-001.108,untuk,NN
000028-001,000028-001.109,mengajukan,NN
000028-001,000028-001.110,lamaran.,NN
000028-001,000028-001.111,Setelah,NN
000028-001,000028-001.112,semuanya,NN
000028-001,000028-001.113,dianggap,NN
000028-001,000028-001.114,"beres,",NN
000028-001,000028-001.115,maka,NN
000028-001,000028-001.116,perkawinan,NN
000028-001,000028-001.117,siap,NN
000028-001,000028-001.118,dilaksanakan.,NN
000028-001,000028-001.119,Yang,NN
000028-001,000028-001.120,ikut,NN
000028-001,000028-001.121,hadir,NN
000028-001,000028-001.122,dalam,NN
000028-001,000028-001.123,pelaksanaan,NN
000028-001,000028-001.124,akad,NN
000028-001,000028-001.125,nikah,NN
000028-001,000028-001.126,adalah,NN
000028-001,000028-001.127,Bani,NN
000028-001,000028-001.128,Hasyim,NN
000028-001,000028-001.129,dan,NN
000028-001,000028-001.130,para,NN
000028-001,000028-001.131,pemuka,NN
000028-001,000028-001.132,Bani,NN
000028-001,000028-001.133,Mudhar.,NN
000028-001,000028-001.134,Hal,NN
000028-001,000028-001.135,ini,NN
000028-001,000028-001.136,terjadi,NN
000028-001,000028-001.137,dua,NN
000028-001,000028-001.138,bulan,NN
000028-001,000028-001.139,sepulang,NN
000028-001,000028-001.140,beliau,NN
000028-001,000028-001.141,dari,NN
000028-001,000028-001.142,Syam.,NN
000028-001,000028-001.143,Maskawin,NN
000028-001,000028-001.144,beliau,NN
000028-001,000028-001.145,dua,NN
000028-001,000028-001.146,puluh,NN
000028-001,000028-001.147,ekor,NN
000028-001,000028-001.148,onta,NN
000028-001,000028-001.149,muda,NN
000028-001,000028-001.150,45,NN
000028-001,000028-001.151,"Fiqhus-Sirah,",NN
000028-001,000028-001.152,Muhammad,NN
000028-001,000028-001.153,"Al-Ghazali,",NN
000028-001,000028-001.154,hal.,NN
000028-001,000028-001.155,52,NN
000028-001,000028-001.156,46_,NN
000028-001,000028-001.157,Sirah,NN
000028-001,000028-001.158,"An-Nabawiyah,",NN
000028-001,000028-001.159,Ibnu,NN
000028-001,000028-001.160,"Hisyam,",NN
000028-001,000028-001.161,1/187-188.,NN
000028-001,000028-001.162,Usia,NN
000028-001,000028-001.163,Khadijah,NN
000028-001,000028-001.164,sendiri,NN
000028-001,000028-001.165,empat,NN
000028-001,000028-001.166,puluh,NN
000028-001,000028-001.167,"tahun,",NN
000028-001,000028-001.168,yang,NN
000028-001,000028-001.169,pada,NN
000028-001,000028-001.170,masa,NN
000028-001,000028-001.171,itu,NN
000028-001,000028-001.172,dia,NN
000028-001,000028-001.173,merupakan,NN
000028-001,000028-001.174,wanita,NN
000028-001,000028-001.175,yang,NN
000028-001,000028-001.176,paling,NN
000028-001,000028-001.177,"terpandang,",NN
000028-001,000028-001.178,"cantik,",NN
000028-001,000028-001.179,"pandai,",NN
000028-001,000028-001.180,dan,NN
000028-001,000028-001.181,sekaligus,NN
000028-001,000028-001.182,kaya.,NN
000028-001,000028-001.183,Dia,NN
000028-001,000028-001.184,adalah,NN
000028-001,000028-001.185,wanita,NN
000028-001,000028-001.186,pertama,NN
000028-001,000028-001.187,yang,NN
000028-001,000028-001.188,dinikahi,NN
000028-001,000028-001.189,Rasulullah,NN
000028-001,000028-001.190,.,NN
000043-001,000043-001.001,Langkah,NN
000043-001,000043-001.002,pertama,NN
000043-001,000043-001.003,yang,NN
000043-001,000043-001.004,dilakukan,NN
000043-001,000043-001.005,Rasulullah,NN
000043-001,000043-001.006,setelah,NN
000043-001,000043-001.007,turun,NN
000043-001,000043-001.008,ayat,NN
000043-001,000043-001.009,di,NN
000043-001,000043-001.010,atas,NN
000043-001,000043-001.011,ialah,NN
000043-001,000043-001.012,mengundang,NN
000043-001,000043-001.013,Bani,NN
000043-001,000043-001.014,Hasyim.,NN
000043-001,000043-001.015,Mereka,NN
000043-001,000043-001.016,memenuhi,NN
000043-001,000043-001.017,undangan,NN
000043-001,000043-001.018,"ini,",NN
000043-001,000043-001.019,yaitu,NN
000043-001,000043-001.020,beberapa,NN
000043-001,000043-001.021,orang,NN
000043-001,000043-001.022,dari,NN
000043-001,000043-001.023,Bani,NN
000043-001,000043-001.024,Al-Muththalib,NN
000043-001,000043-001.025,bin,NN
000043-001,000043-001.026,Abdi,NN
000043-001,000043-001.027,"Manaf,",NN
000043-001,000043-001.028,yang,NN
000043-001,000043-001.029,jumlahnya,NN
000043-001,000043-001.030,ada,NN
000043-001,000043-001.031,45,NN
000043-001,000043-001.032,orang.,NN
000043-001,000043-001.033,Sebelum,NN
000043-001,000043-001.034,beliau,NN
000043-001,000043-001.035,"berbicara,",NN
000043-001,000043-001.036,Abu,NN
000043-001,000043-001.037,Lahab,NN
000043-001,000043-001.038,sudah,NN
000043-001,000043-001.039,mendahului,NN
000043-001,000043-001.040,angkat,NN
000043-001,000043-001.041,"bicara,",NN
000043-001,000043-001.042,"""Mereka",NN
000043-001,000043-001.043,yang,NN
000043-001,000043-001.044,hadir,NN
000043-001,000043-001.045,di,NN
000043-001,000043-001.046,sini,NN
000043-001,000043-001.047,adalah,NN
000043-001,000043-001.048,paman-pamanmu,NN
000043-001,000043-001.049,sendiri,NN
000043-001,000043-001.050,dan,NN
000043-001,000043-001.051,anak-,NN
000043-001,000043-001.052,anaknya.,NN
000043-001,000043-001.053,Maka,NN
000043-001,000043-001.054,bicaralah,NN
000043-001,000043-001.055,jika,NN
000043-001,000043-001.056,ingin,NN
000043-001,000043-001.057,berbicara,NN
000043-001,000043-001.058,dan,NN
000043-001,000043-001.059,tidak,NN
000043-001,000043-001.060,perlu,NN
000043-001,000043-001.061,bersikap,NN
000043-001,000043-001.062,kekanak-,NN
000043-001,000043-001.063,kanakan.,NN
000043-001,000043-001.064,Ketahuilah,NN
000043-001,000043-001.065,bahwa,NN
000043-001,000043-001.066,tidak,NN
000043-001,000043-001.067,ada,NN
000043-001,000043-001.068,orang,NN
000043-001,000043-001.069,Arab,NN
000043-001,000043-001.070,yang,NN
000043-001,000043-001.071,berani,NN
000043-001,000043-001.072,mengernyitkan,NN
000043-001,000043-001.073,dahi,NN
000043-001,000043-001.074,terhadap,NN
000043-001,000043-001.075,kaummu.,NN
000043-001,000043-001.076,Dengan,NN
000043-001,000043-001.077,begitu,NN
000043-001,000043-001.078,aku,NN
000043-001,000043-001.079,berhak,NN
000043-001,000043-001.080,menghukummu.,NN
000043-001,000043-001.081,Biarkanlah,NN
000043-001,000043-001.082,urusan,NN
000043-001,000043-001.083,bani,NN
000043-001,000043-001.084,bapakmu.,NN
000043-001,000043-001.085,Jika,NN
000043-001,000043-001.086,engkau,NN
000043-001,000043-001.087,tetap,NN
000043-001,000043-001.088,bertahan,NN
000043-001,000043-001.089,pada,NN
000043-001,000043-001.090,urusanmu,NN
000043-001,000043-001.091,"ini,",NN
000043-001,000043-001.092,maka,NN
000043-001,000043-001.093,itu,NN
000043-001,000043-001.094,lebih,NN
000043-001,000043-001.095,mudah,NN
000043-001,000043-001.096,bagi,NN
000043-001,000043-001.097,mereka,NN
000043-001,000043-001.098,daripada,NN
000043-001,000043-001.099,seluruh,NN
000043-001,000043-001.100,kabilah,NN
000043-001,000043-001.101,Quraisy,NN
000043-001,000043-001.102,menerkammu,NN
000043-001,000043-001.103,dan,NN
000043-001,000043-001.104,semua,NN
000043-001,000043-001.105,bangsa,NN
000043-001,000043-001.106,Arab,NN
000043-001,000043-001.107,ikut,NN
000043-001,000043-001.108,campur,NN
000043-001,000043-001.109,tangan.,NN
000043-001,000043-001.110,Engkau,NN
000043-001,000043-001.111,tidak,NN
