text_id,id,token,pos_tag,label
000354-001,000354-001.001,Pada,NN,O
000354-001,000354-001.002,bulan,NN,B-TIME
000354-001,000354-001.003,Dzul,NN,I-TIME
000354-001,000354-001.004,Qi'dah,NN,I-TIME
000354-001,000354-001.005,atau,NN,O
000354-001,000354-001.006,Dzul,NN,B-TIME
000354-001,000354-001.007,Hijjah,NN,I-TIME
000354-001,000354-001.008,tahu,NN,O
000354-001,000354-001.009,9,NN,O
000354-001,000354-001.010,"H,",NN,O
000354-001,000354-001.011,Rasulullah,NN,B-PERSON
000354-001,000354-001.012,mengutus,NN,O
000354-001,000354-001.013,Abu,NN,B-PERSON
000354-001,000354-001.014,Bakar,NN,I-PERSON
000354-001,000354-001.015,Ash-Shiddiq,NN,I-PERSON
000354-001,000354-001.016,agar,NN,O
000354-001,000354-001.017,menjadi,NN,O
000354-001,000354-001.018,pemimpin,NN,O
000354-001,000354-001.019,pelaksanaan,NN,O
000354-001,000354-001.020,manasik,NN,O
000354-001,000354-001.021,haji,NN,O
000354-001,000354-001.022,bagi,NN,O
000354-001,000354-001.023,orang-orang,NN,O
000354-001,000354-001.024,Muslim.,NN,O
000354-001,000354-001.025,Kemudian,NN,O
000354-001,000354-001.026,turun,NN,O
000354-001,000354-001.027,permulaan,NN,O
000354-001,000354-001.028,surat,NN,O
000354-001,000354-001.029,"At-Taubah,",NN,O
000354-001,000354-001.030,menggugurkan,NN,O
000354-001,000354-001.031,perjanjian,NN,O
000354-001,000354-001.032,yang,NN,O
000354-001,000354-001.033,pernah,NN,O
000354-001,000354-001.034,dikukuhkan,NN,O
000354-001,000354-001.035,antara,NN,O
000354-001,000354-001.036,beliau,NN,O
000354-001,000354-001.037,dengan,NN,O
000354-001,000354-001.038,orang-orang,NN,O
000354-001,000354-001.039,musyrik.,NN,O
000354-001,000354-001.040,Beliau,NN,O
000354-001,000354-001.041,juga,NN,O
000354-001,000354-001.042,mengutus,NN,O
000354-001,000354-001.043,Ali,NN,B-PERSON
000354-001,000354-001.044,bin,NN,I-PERSON
000354-001,000354-001.045,Abu,NN,I-PERSON
000354-001,000354-001.046,Thalib,NN,I-PERSON
000354-001,000354-001.047,sebagai,NN,O
000354-001,000354-001.048,wakil,NN,O
000354-001,000354-001.049,"beliau,",NN,O
000354-001,000354-001.050,seperti,NN,O
000354-001,000354-001.051,tradisi,NN,O
000354-001,000354-001.052,yang,NN,O
000354-001,000354-001.053,berlaku,NN,O
000354-001,000354-001.054,di,NN,O
000354-001,000354-001.055,kalangan,NN,O
000354-001,000354-001.056,Arab.,NN,O
000354-001,000354-001.057,Akhirnya,NN,O
000354-001,000354-001.058,Ali,NN,B-PERSON
000354-001,000354-001.059,dapat,NN,O
000354-001,000354-001.060,bertemu,NN,O
000354-001,000354-001.061,Abu,NN,B-PERSON
000354-001,000354-001.062,Bakar,NN,I-PERSON
000354-001,000354-001.063,di,NN,O
000354-001,000354-001.064,tengah,NN,O
000354-001,000354-001.065,perjalanan.,NN,O
000354-001,000354-001.066,Abu,NN,B-PERSON
000354-001,000354-001.067,Bakar,NN,I-PERSON
000354-001,000354-001.068,"bertanya,",NN,O
000354-001,000354-001.069,"""Engkau",NN,O
000354-001,000354-001.070,sebagai,NN,O
000354-001,000354-001.071,pemimpin,NN,O
000354-001,000354-001.072,rombongan,NN,O
000354-001,000354-001.073,ataukah,NN,O
000354-001,000354-001.074,yang,NN,O
000354-001,000354-001.075,"dipimpin?""",NN,O
000354-001,000354-001.076,Ali,NN,B-PERSON
000354-001,000354-001.077,"menjawab,",NN,O
000354-001,000354-001.078,"""Tidak,",NN,O
000354-001,000354-001.079,tetapi,NN,O
000354-001,000354-001.080,akulah,NN,O
000354-001,000354-001.081,orang,NN,O
000354-001,000354-001.082,yang,NN,O
000354-001,000354-001.083,"dipimpin.""",NN,O
000354-001,000354-001.084,Kemudian,NN,O
000354-001,000354-001.085,keduanya,NN,O
000354-001,000354-001.086,melanjutkan,NN,O
000354-001,000354-001.087,perjalanan.,NN,O
000354-001,000354-001.088,Abu,NN,B-PERSON
000354-001,000354-001.089,Bakar,NN,I-PERSON
000354-001,000354-001.090,bersama,NN,O
000354-001,000354-001.091,orang-,NN,O
000354-001,000354-001.092,orang,NN,O
000354-001,000354-001.093,untuk,NN,O
000354-001,000354-001.094,menunaikan,NN,O
000354-001,000354-001.095,haji.,NN,O
000354-001,000354-001.096,Saat,NN,O
000354-001,000354-001.097,penyembelihan,NN,O
000354-001,000354-001.098,"kurban,",NN,O
000354-001,000354-001.099,Ali,NN,B-PERSON
000354-001,000354-001.100,berdiri,NN,O
