chunk_id;doc_id;chunk_index;judul_bab;judul_sub_bab;halaman;teks_chunk;entity_text;label;notes;start_char;end_char
000354-001;354;1;ABU BAKAR MENUNAIKAN HAJI;UNLABELED SECTION;572;"Pada bulan Dzul Qi'dah atau Dzul Hijjah tahu 9 H, Rasulullah mengutus Abu Bakar Ash-Shiddiq agar menjadi pemimpin pelaksanaan manasik haji bagi orang-orang Muslim. Kemudian turun permulaan surat At-Taubah, menggugurkan perjanjian yang pernah dikukuhkan antara beliau dengan orang-orang musyrik. Beliau juga mengutus Ali bin Abu Thalib sebagai wakil beliau, seperti tradisi yang berlaku di kalangan Arab. Akhirnya Ali dapat bertemu Abu Bakar di tengah perjalanan. Abu Bakar bertanya, ""Engkau sebagai pemimpin rombongan ataukah yang dipimpin?"" Ali menjawab, ""Tidak, tetapi akulah orang yang dipimpin."" Kemudian keduanya melanjutkan perjalanan. Abu Bakar bersama orang- orang untuk menunaikan haji. Saat penyembelihan kurban, Ali berdiri dekat jumrah lalu menyerukan adzan seperti yang telah diperintahkan Rasulullah sebelumnya. Setiap orang yang terikat dalam perjanjian diperintahkan untuk menggugurkan ikatan perjanjiannya dan diberi tempo selama empat bulan Kemudian Abu Bakar mengutus beberapa orang untuk menyampaikan pengumuman, ""Setelah tahun ini tidak boleh ada orang musyrik pun yang menunaikan haji dan tidak boleh ada seorang pun yang thawaf dalam keadaan telanjang."" Pengumuman ini menandai berakhirnya era paganisme di Jazirah Arab dan tidak boleh dilakukan setelah tahun tersebut.";;;;;
000010-001;10;1;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;Mayoritas bangsa Arab mengikuti dakwah Isma'il yaitu tatkala beliau menyeru kepada agama bapaknya, Ibrahim , yang intinya menyembah kepada Allah, mengesakan-Nya, dan memeluk agama-Nya Waktu bergulir sekian lama, hingga banyak di antara mereka yang melalaikan ajaran yang pernah disampaikan kepada mereka. Sekalipun begitu masih ada sisa-sisa tauhid dan beberapa syiar dari agama Ibrahim, hingga muncul Amr bin Luhay, pemimpin Bani Khuza' ah. Dia tumbuh sebagai orang yang dikenal suka berbuat bijak, mengeluarkan sedekah dan respek terhadap urusan-urusan agama, sehingga semua orang mencintainya dan hampir-hampir mereka menganggapnya sebagai salah seorang ulama besar dan wali yang disegani Kemudian dia mengadakan perjalanan ke Syam. Di sana dia melihat penduduk Syam yang menyembah berhala dan menganggap hal itu sebagai sesuatu yang baik serta benar. Sebab menurutnya, Syam adalah tempat para rasul dan kitab Maka dia pulang sambil membawa Hubal dan meletakkannya di dalam Ka'bah Setelah itu dia mengajak penduduk Makkah untuk membuat persekutuan terhadap Allah. Orang-orang Hijaz pun banyak yang mengikuti penduduk Makkah, karena mereka dianggap sebagai pengawas Ka'bah dan penduduk Tanah Berhala mereka yang terdahulu adalah Manat, yang ditempatkan di Musyallal di tepi Laut Merah di dekat Qudaid. Kemudian mereka membuat Lata di Tha'if dan Uzza di Wadi Nakhlah. Inilah tiga berhala yang paling besar.;;;;;
000010-002;10;2;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;Inilah tiga berhala yang paling besar. Setelah itu kemusyrikan semakin merebak dan berhala-berhala yang lebih kecil bertebaran di setiap tempat Hijaz. Dikisahkan bahwa Amr bin Luhay mempunyai pembantu dari jenis jin. Jin ini memberitahukan kepadanya bahwa berhala-berhala kaum Num (Wud, Suwa', Yaghuts, Ya'uq dan Nasr) terpendam di Jiddah. Maka dia datang ke sana dan mengangkatnya, lalu membawanya ke Tihamah. Setelah tiba musim haji, dia menyerahkan berhala-berhala itu kepada 16_ Mukhtashar Siratir-Rasul Shalallahu Alaihi wa Sallam, Syaikh Muhammad bin Abdul Wahhab, berbagai kabilah. Akhirnya berhala-berhala itu kembali ke tempat asalnya masing-masing, sehingga setiap kabilah dan di setiap rumah hampir pasti ada berhalanya. Mereka juga memenuhi Masjidil Haram dengan berbagai macam berhala dan patung. Tatkala Rasulullah menaklukan Makkah, di sekitar Ka'bah ada 360 berhala. Beliau menghancurkan berhala-berhala itu hingga runtuh semua, lalu memerintahkan agar berhala-berhala tersebut dikeluarkan dari masjid dan Begitu pula kisah kemusyrikan dan penyembahan terhadap berhala, yang menjadi fenomena terbesar dari agama orang-orang Jahiliyah, yang menganggap dirinya berada pada agama Ibrahim. Mereka juga mempunyai beberapa tradisi dan upacara penyembahan berhala, yang mayoritas diciptakan Amr bin Luhay. Sementara orang-orang mengira apa yang diciptakan Amr itu adalah sesuatu yang baru dan baik serta tidak mengubah agama Ibrahim.;;;;;
000010-006;10;6;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;"Akan tetapi orang-orang kafir membuat-buat kedustaan terhadap Allah, dan kebanyakan mereka tidak mengerti. "" (Al-Maidah: 103) Allah juga menurunkan ayat, ""Dan mereka mengatakan, Apa yang di dalam perut binatang ternak ini adalah khusus untuk pria kami dan diharamkan atas wanita kami, 'dan jika yang dalam perut itu dilahirkan mati, maka pria dan wanita sama-sama boleh memakannya."" (Al-An'am: 139) Ada pula yang berpendapat, ada penafsiran lain dari binatang ternak itu. Sa'id bin Al-Musayyab telah menegaskan bahwa binatang-binatang ternak diperuntukkan bagi thaghut-thaghut mereka. Di dalam Ash-Shahih disebutkan secara marfu', bahwa Amr bin Luhay adalah orang pertama yang mempersembahkan onta untuk Bangsa Arab berbuat seperti itu terhadap berhala-berhalanya, dengan disertai keyakinan bahwa hal itu bisa mendekatkan mereka kepada Allah dan menghubungkan mereka kepada-Nya serta memberikan manfaat di sisi-Nya, sebagaimana yang dinyatakan dalam Al-Qur an, ""Kami tidak menyembah mereka melainkan supaya mereka mendekatkan kami kepada Allah dengan sedekat-dekatnya. "" (Az-Zumar: 3) ""Dan, mereka menyembah selain daripada Allah apa yang tidak dapat mendatangkan kemudharatan kepada mereka dan tidak (pula) manfaat 18 Shahihul-Bukhari, 1/499. dan mereka berkata, Mereka itu adalah pemberi syafaat kepada kami di sisi Allah '. "" (Yunus: 18) Orang-orang Arab juga mengundi nasib dengan menggunakan al-azlam (anak panah yang tidak ada bulunya).";;;;;
000011-001;11;1;AGAMA BANGSA ARAB;Kondisi Kehidupan Agama;64-65;Itulah agama-agama yang ada pada saat kedatangan Islam. Namun agama- agama itu sudah banyak disusupi penyimpangan dan hal-hal yang merusak Orang-orang Musyrik yang mengaku berada pada agama Ibrahim, justru keadaannya jauh sama sekali dari perintah dan larangan syariat Ibrahim. Mereka 22_ Tarikhu Ardhil-Qur'an, 2/193-208. mengabaikan tuntunan-tuntunan tentang akhlak yang mulia. Kedurhakaan mereka tak terhitung banyaknya, dan seiring dengan perjalanan waktu, mereka berubah menjadi para paganis (penyembah berhala), dengan tradisi dan kebiasaan yang menggambarkan berbagai macam khurafat dalam kehidupan agama, kemudian mengimbas ke kehidupan sosial, politik, dan agama. Sedangkan orang-orang Yahudi berubah menjadi orang-orang yang angkuh dan sombong. Pemimpin-pemimpin mereka menjadi sesembahan selain Allah Para pemimpin inilah yang membuat hukum di tengah manusia dan menghisab mereka menurut kehendak yang terbetik di dalam hatinya.;;;;;
000010-012;10;12;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;Shabi'ah yang masuk ke dalam masyarakat Arab Orang-orang Yahudi mempunyai dua latar belakang sehingga mereka berada di Jazirah Arab, yang setidak-tidaknya digambarkan dalam dua hal berikut ini: 1. Kepindahan mereka pada masa penaklukan bangsa Babilon dan Asyur di Palestina, yang mengakibatkan tekanan terhadap orang-orang Yahudi, penghancuran negeri mereka dan pemusnahan mereka di tangan Bukhtanashar pada tahun 587 SM. Banyak di antara mereka yang ditawan dan dibawa ke Babilonia. Sebagian di antara mereka juga ada yang meninggalkan Palestina dan pindah ke Hijaz. Mereka menempati Hijaz bagian utara. Dimulai dari pencaplokan bangsa Romawi terhadap Palestina pada tahun 70 Masehi, yang disertai dengan tekanan terhadap orang-orang Yahudi dan penghancuran Haikal-haikal mereka, sehingga kabilah-kabilah mereka berpindah ke Hijaz, lalu menetap di Yatsrib, Khaibar, dan Taima. Di sana mereka mendirikan perkampungan Yahudi dan benteng pertahanan. Maka agama Yahudi menyebar di sebagian masyarakat Arab lewat orang-orang Yahudi yang berimigrasi itu, yang kemudian mereka juga mempunyai beberapa momen-momen politis yang mengawali munculnya Islam. Saat Islam datang, kabilah-kabilah Yahudi yang terkenal adalah Khaibar, Nadhir, Mushthaliq, Quraizhah, dan Qainuqa. As-Samhudi menyebutkan di dalam buku Wafa 'ul Wafa, bahwa jumlah kabilah Yahudi saat itu lebih dari dua Sementara agama Yahudi masuk ke Yaman karena dibawa As'ad Abu Karib.;;;;;
000010-015;10;15;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;Setelah kedatangan beberapa agama baru seperti agama Yahudi dan Nashrani, agama ini mulai kehilangan bentuknya dan surut. Tetapi tetap masih ada sisa-sisa para pemeluknya yang bercampur dengan para pemeluk Majusi atau yang berdampingan dengan mereka di masyarakat Arab dan Irak serta di pinggiran Teluk;;;;;
000010-009;10;9;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;"Maka mereka berkata ""Hujan yang turun kepada kami berdasarkan bintang ini dan Di kalangan mereka juga ada Ath-thiyarah atau meramal nasib sial dengan sesuatu. Pada mulanya mereka mendatangkan seekor burung atau biri-biri. lalu melepasnya. Jika burung atau biri-biri itu berlalu ke arah kanan, maka mereka jadi bepergian ke tempat yang hendak dituju dan hal itu dianggap sebagai pertanda baik. Jika burung atau biri-biri itu mengambil jalan ke kiri. maka mereka tidak berani bepergian dan mereka meramal hal itu sebagai tanda kesialan. Mereka juga meramal sial jika di tengah jalan mereka bertemu burung atau hewan tertentu. Tak berbeda jauh dengan hal ini adalah kebiasaan mereka yang menggantungkan ruas tulang kelinci. Mereka juga meramal kesialan dengan sebagian hari, bulan, hewan, atau wanita. Mereka percaya bahwa orang yang mati terbunuh, jiwanya tidak tenteram jika dendamnya tidak dibalaskan. Ruhnya bisa menjadi burung hantu yang beterbangan di padang seraya berkata, Berilah aku minum, berilah aku minum!"" Jika dendamnya sudah dibalaskan, maka ruhnya akan menjadi tenteram. Sekalipun masyarakan Arab Jahiliyah seperti itu, toh masih ada sisa-sia dari agama Ibrahim dan mereka sama sekali tidak meninggalkannya, seperti pengagungan terhadap Ka'bah, thawaf di sekelilingnya, haji, umrah, wuquf di Arafah dan Muzdalifah. Memang ada hal-hal baru dalam pelaksanaannya. Di antaranya, orang-orang Quraisy berkata.";;;;;
000010-014;10;14;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;Mereka melihat garis-garis kejujuran dirinya dan kebenaran agamanya. Oleh karena itu mereka memenuhi ajakannya untuk memeluk agama Masehi Setelah orang-orang Habasyah menduduki Yaman utuk mengembalikan kondisi karena tindakan Dzu Nuwas dan Abrahah memegang kekuasaan di sana, maka agama Masehi berkembang pesat dan sangat maju. Karena semangatnya dalam menyebarkan agama Masehi, Abrahah membangun sebuah gereja di Yaman, yang dinamakan Ka'bah Yaman. Dia menginginkan agar semua bangsa Arab berhaji ke gereja ini dan hendak menghancurkan Baitullah di Makkah Namun Allah membinasakannya. Bangsa Arab yang memeluk agama Nashrani adalah dari suku-suku Ghassan, kabilah-kabilah Taghlib, Thayyi dan yang berdekatan dengan orang- orang Romawi. Bahkan sebagian raja Hirah ada pula yang memeluknya. Sedangkan agama Majusi lebih banyak berkembang di kalangan orang- orang Arab yang berdekatan dengan orang-orang Persi. Agama ini juga pernah berkembang di kalangan orang-orang Arab Irak dan Bahrain serta di wilayah- wilayah di pesisir Teluk Arab. Ada pula penduduk Yaman yang memeluk Majusi tatkala bangsa Arab menduduki Yaman. Sedangkan agama Shabi'ah menurut beberapa kisah dan catatan berkembang di Irak dan lain-lainnya, yang dianggap sebagai agama kaum Ibrahim Chaldeans. Banyak penduduk Syam yang juga memeluknya serta penduduk Yaman pada zaman dahulu. Setelah kedatangan beberapa agama baru seperti agama Yahudi dan Nashrani, agama ini mulai kehilangan bentuknya dan surut.;;;;;
000010-003;10;3;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;"Sementara orang-orang mengira apa yang diciptakan Amr itu adalah sesuatu yang baru dan baik serta tidak mengubah agama Ibrahim. Di antara upacara penyembahan berhala yang mereka lakukan adalah: 1. Mereka mengelilingi berhala dan mendatanginya, berkomat-kamit di hadapannya, meminta pertolongan tatkala menghadapi kesulitan, berdoa untuk memenuhi kebutuhan, dengan penuh keyakinan bahwa berhala- berhala itu bisa memberikan syafaat di sisi Allah dan mewujudkan apa yang mereka kehendaki 2. Mereka menunaikan haji dan thawaf di sekeliling berhala, merunduk dan sujud di hadapannya. 3. Mereka bertaqarrub dengan menyajikan berbagai macam korban, menyembelih hewan piaraan, dan hewan korban demi berhala dan menyebut namanya. Dua jenis penyembelihan ini telah disebutkan Allah dalam firman-Nya, .... Dan apa yang disembelih untuk berhala ..."" ""Dan, janganlah kalian memakan binatang-binatang yang tidak disebut nama Allah ketika menyembelihnya."" Jenis taqarrub yang lain, mereka mengkhususkan sebagian dari makanan dan minuman yang mereka pilih untuk disajikan kepada berhala, dan juga dikhususkan bagian tertentu dari hasil panen dan binatang piaraan mereka Ada pula orang-orang tertentu yang mengkhususkan sebagian lain bagi Allah. Yang pasti, mereka mempunyai banyak sebab untuk memberikan 17 Ibid, hal. 13,50-52,54.";;;;;
