text_id,id,token,predicted_label,halaman
000000-001,000000-001.001,Pada,O,34
000000-001,000000-001.002,hakikatnya,O,34
000000-001,000000-001.003,istilah,O,34
000000-001,000000-001.004,Sirah,O,34
000000-001,000000-001.005,Nabawiyah,O,34
000000-001,000000-001.006,merupakan,O,34
000000-001,000000-001.007,ungkapan,O,34
000000-001,000000-001.008,tentang,O,34
000000-001,000000-001.009,risalah,O,34
000000-001,000000-001.010,yang,O,34
000000-001,000000-001.011,dibawa,O,34
000000-001,000000-001.012,Rasulullah,B_PERSON,34
000000-001,000000-001.013,kepada,O,34
000000-001,000000-001.014,"manusia,",O,34
000000-001,000000-001.015,untuk,O,34
000000-001,000000-001.016,mengeluarkan,O,34
000000-001,000000-001.017,mereka,O,34
000000-001,000000-001.018,dari,O,34
000000-001,000000-001.019,kegelapan,O,34
000000-001,000000-001.020,kepada,O,34
000000-001,000000-001.021,"cahaya,",O,34
000000-001,000000-001.022,dari,O,34
000000-001,000000-001.023,penyembahan,O,34
000000-001,000000-001.024,terhadap,O,34
000000-001,000000-001.025,hamba,O,34
000000-001,000000-001.026,kepada,O,34
000000-001,000000-001.027,penyembahan,O,34
000000-001,000000-001.028,Allah.,O,34
000000-001,000000-001.029,Jadi,O,34
000000-001,000000-001.030,tidak,O,34
000000-001,000000-001.031,mungkin,O,34
000000-001,000000-001.032,bisa,O,34
000000-001,000000-001.033,menghadirkan,O,34
000000-001,000000-001.034,gambarannya,O,34
000000-001,000000-001.035,secara,O,34
000000-001,000000-001.036,pas,O,34
000000-001,000000-001.037,dan,O,34
000000-001,000000-001.038,mengena,O,34
000000-001,000000-001.039,kecuali,O,34
000000-001,000000-001.040,setelah,O,34
000000-001,000000-001.041,membandingkan,O,34
000000-001,000000-001.042,hal-hal,O,34
000000-001,000000-001.043,di,O,34
000000-001,000000-001.044,balik,O,34
000000-001,000000-001.045,risalah,O,34
000000-001,000000-001.046,ini,O,34
000000-001,000000-001.047,dan,O,34
000000-001,000000-001.048,pengaruhnya.,O,34
000000-001,000000-001.049,Berangkat,O,34
000000-001,000000-001.050,dari,O,34
000000-001,000000-001.051,sinilah,O,34
000000-001,000000-001.052,kami,O,34
000000-001,000000-001.053,merasa,O,34
000000-001,000000-001.054,perlu,O,34
000000-001,000000-001.055,mengemukakan,O,34
000000-001,000000-001.056,sedikit,O,34
000000-001,000000-001.057,uraian,O,34
000000-001,000000-001.058,tentang,O,34
000000-001,000000-001.059,kaum-kaum,O,34
000000-001,000000-001.060,bangsa,O,34
000000-001,000000-001.061,Arab,O,34
000000-001,000000-001.062,dan,O,34
000000-001,000000-001.063,perkembangannya,O,34
000000-001,000000-001.064,sebelum,O,34
000000-001,000000-001.065,"Islam,",O,34
000000-001,000000-001.066,serta,O,34
000000-001,000000-001.067,tentang,O,34
000000-001,000000-001.068,kondisi-kondisi,O,34
000000-001,000000-001.069,saat,O,34
000000-001,000000-001.070,beliau,O,34
000000-001,000000-001.071,diutus,O,34
000000-001,000000-001.072,sebagai,O,34
000000-001,000000-001.073,rasul,O,34
000001-001,000001-001.001,Menurut,O,34-35
000001-001,000001-001.002,"bahasa,",O,34-35
000001-001,000001-001.003,Arab,O,34-35
000001-001,000001-001.004,artinya,O,34-35
000001-001,000001-001.005,padang,O,34-35
000001-001,000001-001.006,"pasir,",O,34-35
000001-001,000001-001.007,tanah,O,34-35
000001-001,000001-001.008,"gundul,",O,34-35
000001-001,000001-001.009,dan,O,34-35
000001-001,000001-001.010,gersang,O,34-35
000001-001,000001-001.011,yang,O,34-35
000001-001,000001-001.012,tiada,O,34-35
000001-001,000001-001.013,air,O,34-35
000001-001,000001-001.014,dan,O,34-35
000001-001,000001-001.015,tanamannya.,O,34-35
000001-001,000001-001.016,Sebutan,O,34-35
000001-001,000001-001.017,dengan,O,34-35
000001-001,000001-001.018,istilah,O,34-35
000001-001,000001-001.019,ini,O,34-35
000001-001,000001-001.020,sudah,O,34-35
000001-001,000001-001.021,diberikan,O,34-35
000001-001,000001-001.022,sejak,O,34-35
000001-001,000001-001.023,dahulu,O,34-35
000001-001,000001-001.024,kala,O,34-35
000001-001,000001-001.025,kepada,O,34-35
000001-001,000001-001.026,jazirah,O,34-35
000001-001,000001-001.027,"Arab,",O,34-35
000001-001,000001-001.028,sebagaimana,O,34-35
000001-001,000001-001.029,sebutan,O,34-35
000001-001,000001-001.030,yang,O,34-35
000001-001,000001-001.031,diberikan,O,34-35
000001-001,000001-001.032,kepada,O,34-35
000001-001,000001-001.033,suatu,O,34-35
000001-001,000001-001.034,kaum,O,34-35
000001-001,000001-001.035,yang,O,34-35
000001-001,000001-001.036,disesuaikan,O,34-35
000001-001,000001-001.037,dengan,O,34-35
000001-001,000001-001.038,daerah,O,34-35
000001-001,000001-001.039,"tertentu,",O,34-35
000001-001,000001-001.040,lalu,O,34-35
000001-001,000001-001.041,mereka,O,34-35
000001-001,000001-001.042,menjadikannya,O,34-35
000001-001,000001-001.043,sebagai,O,34-35
000001-001,000001-001.044,tempat,O,34-35
000001-001,000001-001.045,tinggal,O,34-35
000001-001,000001-001.046,Jazirah,B_LOCATION,34-35
000001-001,000001-001.047,Arab,I_LOCATION,34-35
000001-001,000001-001.048,dibatasi,O,34-35
000001-001,000001-001.049,Laut,B_LOCATION,34-35
000001-001,000001-001.050,Merah,I_LOCATION,34-35
000001-001,000001-001.051,dan,O,34-35
000001-001,000001-001.052,Gurun,O,34-35
000001-001,000001-001.053,Sinai,O,34-35
000001-001,000001-001.054,di,O,34-35
000001-001,000001-001.055,sebelah,O,34-35
000001-001,000001-001.056,"barat,",O,34-35
000001-001,000001-001.057,di,O,34-35
000001-001,000001-001.058,sebelah,O,34-35
