chunk_id;halaman;subject_entity;subject_label;verb_relation;object_entity;object_label;context_text;confidence
000140-003;295-297;Ummul Fadhl;PERSON;MEMUKUL;Abu Lahab;PERSON;Ummul Fadhl bangkit memungut tiang pembatas Zamzam, lalu memukulkannya sekeras-kerasnya ke kepala Abu Lahab;0.95
000140-003;295-297;Abu Lahab;PERSON;MEMUKUL;Abu Rafi';PERSON;Lalu aku (Abu Rafi') mengangkat batu pembatas Zamzam... Abu Lahab mengangkat tangannya tinggi-tinggi lalu memukulkan ke mukaku dengan keras.;0.9
000254-002;465-469;Muhammad;PERSON;MENGUTUS;Amr;PERSON;Aku adalah utusan Rasulullah untuk menghadap tuan dan saudara tuan.;0.85
000254-002;465-469;Amr;PERSON;BERBAIAT_KEPADA;Najasyi;PERSON;'Di mana engkau masuk Islam?' 'Di hadapan Najasyi,' jawabku.;0.75
000254-002;465-469;Najasyi;PERSON;MEMELUK_ISLAM;Muhammad;PERSON;Lalu aku mengabarkan kepadanya bahwa Najasyi sudah masuk Islam.;0.7
000131-002;281-282;Ubaidah bin Al-Harits;PERSON;BERTANDING_DENGAN;Utbah bin Rabi'ah;PERSON;Ubaidah yang paling tua di antara mereka, berhadapan dengan Utbah bin Rabi'ah;0.95
000131-002;281-282;Hamzah;PERSON;BERTANDING_DENGAN;Syaibah bin Rabi'ah;PERSON;Hamzah berhadapan dengan Syaibah bin Rabi'ah;0.95
000131-002;281-282;Ali bin Abu Thalib;PERSON;BERTANDING_DENGAN;Al-Walid;PERSON;Ali berhadapan dengan Al-Walid.;0.95
000131-002;281-282;Hamzah;PERSON;MEMBUNUH;Syaibah bin Rabi'ah;PERSON;Hamzah dan Ali tidak terlalu kesulitan melibas lawan tandingnya.;0.75
000131-002;281-282;Ali bin Abu Thalib;PERSON;MEMBUNUH;Al-Walid;PERSON;Hamzah dan Ali tidak terlalu kesulitan melibas lawan tandingnya.;0.75
000131-002;281-282;Hamzah;PERSON;MEMBUNUH;Utbah bin Rabi'ah;PERSON;Kemudian Hamzah dan Ali menghampiri Utbah lalu membunuhnya.;0.95
000131-002;281-282;Ali bin Abu Thalib;PERSON;MEMBUNUH;Utbah bin Rabi'ah;PERSON;Kemudian Hamzah dan Ali menghampiri Utbah lalu membunuhnya.;0.95
