chunk_id;halaman;entity_text;entity_label;start_char;end_char;confidence
000000-001;34;Rasulullah;PERSON;87;97;0.99
000001-001;34-35;Jazirah Arab;LOCATION;325;337;0.99
000001-001;34-35;Laut Merah;LOCATION;347;357;0.99
000001-001;34-35;Irak;LOCATION;455;459;0.99
000001-001;34-35;Syam;LOCATION;582;586;0.99
000001-001;34-35;Irak;LOCATION;618;622;0.99
000001-001;34-35;Jazirah Arab;LOCATION;771;783;0.99
000001-001;34-35;Jazirah Arab;LOCATION;887;899;0.99
000001-001;34-35;Jazirah Arab;LOCATION;997;1009;0.99
000001-001;34-35;Jazirah Arab;LOCATION;1186;1198;0.99
000001-002;34-35;Jazirah Arab;LOCATION;235;247;0.99
000001-002;34-35;timur tengah;LOCATION;535;547;0.99
000001-002;34-35;India;LOCATION;585;590;0.99
000001-002;34-35;Jazirah Arab;LOCATION;643;655;0.99
000001-002;34-35;Jazirah Arab;LOCATION;791;803;0.99
000002-001;35-42;Ya'rub;PERSON;358;364;0.99
000002-001;35-42;Yasyjub bin Qahthan;PERSON;365;384;0.99
000002-001;35-42;Isma'il;PERSON;493;500;0.99
000002-001;35-42;Yaman;LOCATION;596;601;0.99
000002-001;35-42;Zaid;PERSON;751;755;0.99
000002-001;35-42;Syam;LOCATION;954;958;0.99
000002-002;35-42;Syam;LOCATION;92;96;0.99
000002-002;35-42;Yaman;LOCATION;147;152;0.99
000002-002;35-42;Mesir;LOCATION;435;440;0.99
000002-002;35-42;Syam;LOCATION;445;449;0.99
000002-002;35-42;Imran bin Amru;PERSON;776;790;0.99
000002-002;35-42;Yaman;LOCATION;837;842;0.99
000002-002;35-42;Tsa'labah bin Amru;PERSON;988;1006;0.99
000002-002;35-42;Hijaz;LOCATION;1026;1031;0.99
000002-002;35-42;Madinah;LOCATION;1139;1146;0.99
000002-002;35-42;Haritsah bin Tsa'labah;PERSON;1255;1277;0.99
000002-002;35-42;Haritsah bin Amr;PERSON;1319;1335;0.99
000002-002;35-42;Hijaz;LOCATION;1385;1390;0.99
000002-002;35-42;Makkah;LOCATION;1487;1493;0.99
000002-003;35-42;Haritsah bin Amr;PERSON;40;56;0.99
000002-003;35-42;Hijaz;LOCATION;106;111;0.99
000002-003;35-42;Makkah;LOCATION;208;214;0.99
000002-003;35-42;Imran bin Amr;PERSON;226;239;0.99
