no;chunk_id;halaman;entity_text;label_sekarang;usulan_heuristik;keputusan;catatan;kalimat_konteks;konteks_kiri;konteks_kanan
1;000114-004;256-265;Badr;LOCATION;LOCATION?;;;Maka bersama 70 sahabat, Rasulullah hendak mengejar dan mengusirnya, hingga beliau tiba di sebuah wadi yang disebut Safawan, dari arah Badr.;ngejar dan mengusirnya, hingga beliau tiba di sebuah wadi yang disebut Safawan, dari arah;. Tetapi Kurs dan rekan-rekannya tidak bisa dipergoki.
2;000114-010;256-265;Badr;LOCATION;LOCATION?;;;Tekad inilah yang kemudian membawa mereka ke Badr.;orang-orang Muslim di tempat tinggal mereka. Tekad inilah yang kemudian membawa mereka ke;. Sementara itu, setelah insiden satuan pasukan Abdullah bin Jahsy, Allah telah mewajibkan
3;000122-001;270;Badr;LOCATION;LOCATION?;;;"Tetapi dengan sikap yang angkuh dan sombong Abu Jahal berkata, ""Demi Allah, kita tidak akan kembali kecuali setelah tiba di Badr.";"n sombong Abu Jahal berkata, ""Demi Allah, kita tidak akan kembali kecuali setelah tiba di";. Kita akan berada di sana selama tiga hari sambil menyembelih hewan, makan besar. menengg
4;000122-001;270;Badr;LOCATION;LOCATION?;;;000 orang melanjutkan perjalanan menuju Badr.;"ang nanti."" Maka pasukan Makkah dengan kekuatan 1.000 orang melanjutkan perjalanan menuju";. Mereka terus berjalan hingga mendekati Badr dan bersembunyi di balik bukit pasir, di pin
5;000122-001;270;Badr;LOCATION;LOCATION?;;;Mereka terus berjalan hingga mendekati Badr dan bersembunyi di balik bukit pasir, di pinggiran wadi Badr.;an 1.000 orang melanjutkan perjalanan menuju Badr. Mereka terus berjalan hingga mendekati;dan bersembunyi di balik bukit pasir, di pinggiran wadi Badr.
6;000122-001;270;Badr;LOCATION;LOCATION?;;;Mereka terus berjalan hingga mendekati Badr dan bersembunyi di balik bukit pasir, di pinggiran wadi Badr.;us berjalan hingga mendekati Badr dan bersembunyi di balik bukit pasir, di pinggiran wadi;.
7;000126-001;274-275;Badr;LOCATION;LOCATION?;;;Mereka pergi ke mata air Badr, dan di sana mereka bertemu dengan dua pesuruh yang tugasnya mengambil air untuk kebutuhan pasukan Makkah.;n Al-Awwam dan Sa'd bin Abi Waqqash, dengan beberapa orang lagi. Mereka pergi ke mata air;, dan di sana mereka bertemu dengan dua pesuruh yang tugasnya mengambil air untuk kebutuha
8;000129-001;277-279;Badr;LOCATION;LOCATION?;;;Pada pagi harinya mereka turun dari atas lembah pasir dengan seluruh satuan-satuannya hingga tiba di lembah Badr.;mereka turun dari atas lembah pasir dengan seluruh satuan-satuannya hingga tiba di lembah;. Tiba-tiba ada beberapa orang dari pasukan Quraisy muncul di hadapan Rasulullah . Beliau
9;000140-001;295-297;Badr;LOCATION;LOCATION?;;;Orang-orang musyrik melarikan diri dari kancah Badr dengan berpencar- pencar tak beraturan.;Orang-orang musyrik melarikan diri dari kancah;dengan berpencar- pencar tak beraturan. Mereka lari terbirit-birit menuju berbagai lembah
10;000141-002;297;Badr;LOCATION;LOCATION?;;;"Para pemuka orang-orang Muslim y ang berada di Madinah segera pergi ke jalan menuju ke arah Badr, bersiap-siap untuk menyambut kedatangan Rasulullah atas kemenangan ini Usamah bin Zaid berkata, ""Kami menerima kabar itu selagi kami sedang meratakan tanah di rumah Ruqayah binti Rasulullah yang menjadi istri Utsman bin Affan, karena beliau telah menyerahkan kepadaku perlindungan terhadap keamanan dirinya.";ra pemuka orang-orang Muslim y ang berada di Madinah segera pergi ke jalan menuju ke arah;, bersiap-siap untuk menyambut kedatangan Rasulullah atas kemenangan ini Usamah bin Zaid b
