kategori;chunk;konteks;label_sebelum;masalah;label_sesudah
Ambiguitas LOCATION vs EVENT;000145-001;Surat ini merupakan penjelasan dari Allah tentang peperangan Badr, yang berbeda jauh dengan penjelasan-penjelasan lain yang membicarakan masalah raja dan pemimpin setelah kemenangan.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000147-001;Peperangan ini terjadi pada bulan Syawwal 2 Hijriyah, selang tujuh hari sepulang dari Badr.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000158-001;Bahkan karenanya Quraisy melarang semua penduduk Makkah meratapi para korban Badr dan tidak perlu terburu-buru menebus para tawanan, agar orang-orang Muslim tidak merasa di atas angin karena tahu kegundahan dan kesedihan hati mereka.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000217-001;Dumatul Jandal Setelah Badr Shughra beliau menetap di Madinah selama enam bulan Kemudian datang berita kepada beliau bahwa beberapa kabilah di sekitar Dumatul Jandal, tak jauh dari Syam, suka merampas dan merampok siapa pun yang lewat daerah itu.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000223-004;Tetapi ada pula yang menyebutkannya sebelum Hudaibiyah.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000223-005;"Apakah masih ada sisa daging yang bisa kalian berikan kepada kami?"" Maka kami menyerahkannya kepada beliau Penuturan Jabir ini menunjukkan bahwa peristiwa ini terjadi sebelum Hudaibiyah.";LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000223-005;Sebab orang-orang Muslim tidak lagi mengintai kafilah dagang Quraisy setelah perjanjian Hudaibiyah.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000227-005;Tetapi perkembangan ini baru tampak jelas dengan dikukuhkannya perjanjian Hudaibiyah.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000243-002;""" 220 Lihat rincian tentang peristiwa Hudaibiyah dan gencatan senjata ini dalam Fathul Bari, 7/439-458; Shahih Bukhari, 1/378-381, 2/589, 600, 717; Shahih Muslim, 2/140, 105-106; SirahAn-Nabawiyah Ibnu Hisyam, 2/308-322; Zadul Ma'ad, 2/122-127; Mukhtashar Siratir Rasul, Syaikh Abdullah An-Najdi, hal 207-305; Tarikh Uamr bin Al-Khaththab, Ibnul Jauzi, hal 39-40.";LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000247-001;Sebab ada kemungkinan itu bukan teks surat yang ditulis Nabi setelah perjanjian Hudaibiyah, tetapi boleh jadi itu merupakan surat yang dibawa Ja'far ketika dia hijrah ke Habasyah bersama rekan-rekannya semasa periode Makkah.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000247-003;Kalau pun dikatakan bahwa surat itu ditulis setelah Hudaibiyah, maka tidak ada dalil yang menguatkannya.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000247-003;Yang disebutkan Al-Baihaqi dari Ibnu Ishaq mirip dengan surat yang ditulis Nabi kepada beberapa raja dan amir Nashrani setelah Hudaibiyah, yang di dalamnya ada ayat Al-Qur an tersebut.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000260-001;"Karena orang munafik dan mereka y ang hatinya lemah tidak mau bergabung dalam peristiwa Hudaibiyah, maka Allah menurunkan perintah kepada Nabi- Nya tentang mereka, K,Lz xI ""Orang-orang yang tertinggal itu akan berkata apabila kamu berangkat untuk mengambil barang rampasan, Biarkanlah kami, niscaya kami mengikuti kamu '; mereka hendak merobah janji Allah.";LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000274-002;Karena bagaimanapun juga, harta rampasan dari Perang Khaibar ini juga tidak lepas dari peran orang-orang yang ikut dalam peristiwa Hudaibiyah.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000285-001;"Al-Hakim menuturkan, ""Dengan tibanya bulan Dzul Qa'dah, tersiar kabar bahwa Rasulullah dan para sahabat hendak melakukan umrah qadha' Siapa pun yang dulu ikut dalam peristiwa Hudaibiyah disuruh berangkat.";LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000285-005;Umrah ini dinamakan umrah qadha', entah karena dimaksudkan sebagai qadha' dari umrah yang gagal dilaksanakan setahun sebelumnya saat peristiwa Hudaibiyah.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000329-001;"""Sesungguhnya Allah telah menolong kamu (hai para mukminin) di medan peperangan yang banyak, dan (ingatlah) peperangan Hunain, yaitu di waktu kamu menjadi congkak karena banyaknya jumlah (mu), maka jumlah yang banyak itu tidak memberi manfaat kepadamu sedikit pun, dan bumi yang luas itu telah terasa sempit olehmu, kemudian kamu lari ke belakang dengan bercerai-berai.";LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000334-001;Orang-orang Anshar termasuk mereka yang tidak bisa menerima kebijakan beliau ini, karena mereka semua tidak menerima bagian dari harta rampasan Hunain.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000355-001;Adapun peristiwa yang terjadi dalam Perang Uhud dan Hunain lebih disebabkan karena kelemahan di dalam diri anggota pasukan atau karena mereka membangkang perintah beliau serta menyalahi perintah beliau.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000010-012;Saat Islam datang, kabilah-kabilah Yahudi yang terkenal adalah Khaibar, Nadhir, Mushthaliq, Quraizhah, dan Qainuqa.;LOCATION;bukan entitas pada konteks ini;O
Ambiguitas LOCATION vs EVENT;000275-001;Pada saat-saat peperangan Khaibar ini, anak paman beliau, Ja'far bin Abu Thalib, tiba bersama orang-orang Asy' ariyin yaitu Abu Musa dan rekan- rekannya.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000275-001;""" Maka kami menetap di sana, lalu meninggalkan Habasyah hingga akhirnya kami tiba pada saat penaklukkan Khaibar.";LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000275-001;"Beliau bersabda, ""Demi Allah, aku tidak tahu karena apa aku gembira, entah karena penaklukkan Khaibar entah karena kedatangan Ja'far.";LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000384-001;membebaskannya dan menikahinya setelah penaklukkan Khaibar pada tahun 7 H.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000210-001;Yang pertama kali melakukan perlawanan terhadap orang-orang Muslim setelah tragedi Uhud adalah Bani As'ad bin Khuzaimah.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000375-001;Sedangkan Fathimah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud.;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Ambiguitas LOCATION vs EVENT;000378-001;Dia ditinggal mati suaminya, Khunais bin Hudzafah As-Sahmi, pada waktu antara Perang Badr dan Uhud, lalu dinikahi Rasulullah pada tahun 3 H;LOCATION;nama medan dibaca sbg tempat, padahal konteks = peristiwa;EVENT
Entitas kelewat;000010-010;ram. Mereka tidak boleh masuk [[Baitul-Haram]] dengan mengenakan kain wol 20;O;tidak ter-anotasi di gold (regex tak menangkap);B-LOCATION
Batas entitas diperbaiki;000032-001;tan dengan tanggal 10 Agustus [[610]] M. Usia beliau saat itu genap;O;token seharusnya bagian dari entitas sebelumnya;I-TIME
Entitas kelewat;000074-005;sa berlalu dari Shan'a hingga [[Hadhramaut]] tanpa rasa takut kecuali kepa;O;tidak ter-anotasi di gold (regex tak menangkap);B-LOCATION
