text_id,token,label
000048-004,Demi,O
000048-004,"Allah,",O
000048-004,telah,O
000048-004,datang,O
000048-004,satu,O
000048-004,urusan,O
000048-004,yang,O
000048-004,kalian,O
000048-004,belum,O
000048-004,juga,O
000048-004,bisa,O
000048-004,mencari,O
000048-004,alasan,O
000048-004,untuk,O
000048-004,menghadapinya.,O
000048-004,Muhammad,B_PERSON
000048-004,adalah,O
000048-004,seorang,O
000048-004,pemuda,O
000048-004,belia,O
000048-004,di,O
000048-004,tengah,O
000048-004,"kalian,",O
000048-004,yang,O
000048-004,paling,O
000048-004,kalian,O
000048-004,"ridhai,",O
000048-004,paling,O
000048-004,jujur,O
000048-004,perkataannya,O
000048-004,dan,O
000048-004,paling,O
000048-004,besar,O
000048-004,"amanatnya,",O
000048-004,sehingga,O
000048-004,tatkala,O
000048-004,kalian,O
000048-004,melihat,O
000048-004,uban,O
000048-004,di,O
000048-004,kedua,O
000048-004,pelipisnya,O
000048-004,dan,O
000048-004,dia,O
000048-004,membawa,O
000048-004,apa,O
000048-004,yang,O
000048-004,telah,O
000048-004,dia,O
000048-004,bawa,O
000048-004,kepada,O
000048-004,"kalian,",O
000048-004,tiba-tiba,O
000048-004,kalian,O
000048-004,"mengatakan,",O
000048-004,Dia,O
000048-004,adalah,O
000048-004,laki-laki,O
000048-004,penyihir.',O
000048-004,"Tidak,",O
000048-004,demi,O
000048-004,"Allah,",O
000048-004,dia,O
000048-004,bukanlah,O
000048-004,laki-laki,O
000048-004,penyihir.,O
000048-004,Kita,O
000048-004,sudah,O
000048-004,mengetahui,O
000048-004,para,O
000048-004,penyihir.,O
000048-004,hembusan,O
000048-004,dan,O
000048-004,buhul,O
000048-004,talinya.,O
000048-004,Kalian,O
000048-004,"mengatakan,",O
000048-004,Dia,O
000048-004,adalah,O
000048-004,dukun'.,O
000048-004,"Tidak,",O
000048-004,demi,O
000048-004,"Allah,",O
000048-004,dia,O
000048-004,bukanlah,O
000048-004,dukun.,O
000048-004,Kita,O
000048-004,sudah,O
000048-004,pernah,O
000048-004,melihat,O
000048-004,dukun-,O
000048-004,"dukun,",O
000048-004,yang,O
000048-004,komat-kamit,O
000048-004,dan,O
000048-004,membacakan,O
000048-004,mantera.,O
000048-004,Kalian,O
000048-004,mengatakan.,O
000048-004,Dia,O
000048-004,adalah,O
000048-004,penyair.',O
000048-004,"Tidak,",O
000048-004,demi,O
000048-004,"Allah,",O
000048-004,dia,O
000048-004,bukanlah,O
000048-004,penyair.,O
000048-004,Kita,O
000048-004,sudah,O
000048-004,mengetahui,O
000048-004,syair,O
000048-004,dan,O
000048-004,mendengar,O
000048-004,semua,O
000048-004,"jenis-jenisnya,",O
000048-004,baik,O
000048-004,hazaj,O
000048-004,maupun,O
000048-004,rajaz.,O
000048-004,Kalian,O
000048-004,"berkata,",O
000048-004,Dia,O
000048-004,adalah,O
000048-004,orang,O
000048-004,sinting.',O
000048-004,"Tidak,",O
000048-004,demi,O
000048-004,"Allah,",O
000048-004,dia,O
000048-004,bukan,O
000048-004,orang,O
000048-004,sinting.,O
000048-004,Kita,O
000048-004,sudah,O
000048-004,mengetahui,O
000048-004,orang-orang,O
000048-004,yang,O
000048-004,sinting.,O
000048-004,sementara,O
000048-004,dia,O
000048-004,tidak,O
000048-004,menangis,O
000048-004,"tersedu-sedu,",O
000048-004,tidak,O
000048-004,bertindak,O
000048-004,sekenanya,O
000048-004,dan,O
000048-004,tidak,O
000048-004,berbisik-bisik,O
000048-004,layaknya,O
000048-004,orang,O
000048-004,sinting.,O
000048-004,Wahai,O
000048-004,semua,O
000048-004,orang,O
000048-004,Quraisy.,O
000048-004,Lihatlah,O
000048-004,lagi,O
000048-004,kedudukan,O
000048-004,kalian.,O
000048-004,Demi,O
000048-004,"Allah,",O
000048-004,kini,O
000048-004,ada,O
000048-004,urusan,O
000048-004,besar,O
000048-004,yang,O
000048-004,datang,O
000048-004,kepada,O
000048-004,"kalian.""",O
000048-004,Kemudian,O
000048-004,An-Nadhr,O
000048-004,pergi,O
000048-004,ke,O
000048-004,Hirah.,O
000048-004,Di,O
000048-004,sana,O
000048-004,dia,O
000048-004,mempelajari,O
000048-004,kisah,O
000048-004,para,O
000048-004,raja,O
000048-004,"Persi,",O
000048-004,perkataan,O
000048-004,Rustum,O
000048-004,dan,O
000048-004,Asfandiyar.,O
000049-005,yang,O
000049-005,semuanya,O
000049-005,merupakan,O
000049-005,tetangga,O
000049-005,beliau.,O
000049-005,Tak,O
000049-005,seorang,O
000049-005,pun,O
000049-005,di,O
000049-005,antara,O
000049-005,mereka,O
000049-005,yang,O
000049-005,masuk,O
000049-005,Islam,O
000049-005,selain,O
000049-005,Al-Hakam,B_PERSON
000049-005,bin,I_PERSON
000049-005,Abul,I_PERSON
000049-005,Ash.,I_PERSON
000049-005,Di,O
000049-005,antara,O
000049-005,mereka,O
000049-005,ada,O
000049-005,yang,O
000049-005,melemparkan,O
000049-005,isi,O
000049-005,perut,O
000049-005,seekor,O
000049-005,domba,O
000049-005,selagi,O
000049-005,beliau,O
000049-005,sedang,O
000049-005,shalat.,O
000049-005,Di,O
000049-005,antara,O
000049-005,mereka,O
000049-005,ada,O
000049-005,pula,O
000049-005,yang,O
000049-005,meletakkannya,O
000049-005,di,O
000049-005,dalam,O
000049-005,periuk,O
000049-005,beliau.,O
000049-005,Sehingga,O
000049-005,beliau,O
000049-005,perlu,O
000049-005,memasang,O
000049-005,bebatuan,O
000049-005,untuk,O
000049-005,memberi,O
000049-005,tanda,O
000049-005,pembatas,O
000049-005,agar,O
000049-005,tidak,O
000049-005,mereka,O
000049-005,76_,O
000049-005,Lihat,O
000049-005,Sirah,O
000049-005,"An-Nabawiyah,",O
000049-005,Ibnu,B_PERSON
000049-005,"Hisyam,",I_PERSON
000049-005,1/335-336.,O
000049-005,langgar,O
000049-005,selagi,O
000049-005,sedang,O
000049-005,shalat.,O
000049-005,Jika,O
000049-005,beliau,O
000049-005,dilempari,O
000049-005,kotoran-kotoran,O
000049-005,"itu,",O
000049-005,maka,O
000049-005,beliau,O
000049-005,keluar,O
000049-005,rumah,O
000049-005,sambil,O
000049-005,memegangi,O
000049-005,sepotong,O
000049-005,"dahan,",O
000049-005,lalu,O
000049-005,beliau,O
000049-005,berdiri,O
000049-005,di,O
000049-005,ambang,O
000049-005,pintu,O
000049-005,sambil,O
000049-005,"membersihkannya,",O
000049-005,seraya,O
000049-005,"bersabda,",O
000049-005,"""Wahai",O
000049-005,Bani,O
000049-005,Abdi,O
000049-005,"Manaf,",O
000049-005,tetangga,O
000049-005,macam,O
000049-005,apakah,O
000049-005,"ini?""",O
000049-005,Kemudian,O
000049-005,beliau,O
000049-005,membuang,O
000049-005,kotoran-,O
000049-005,kotoran,O
000049-005,itu,O
000049-005,ke,O
000049-005,jalan,O
000049-005,Terlebih,O
000049-005,lagi,O
000049-005,kebengisan,O
000049-005,Uqbah,B_PERSON
000049-005,bin,I_PERSON
000049-005,Abu,I_PERSON
000049-005,Mu'ith.,I_PERSON
000049-005,Al-Bukhari,O
000049-005,meriwayatkan,O
000049-005,dari,O
000049-005,Abdullah,B_PERSON
000049-005,bin,I_PERSON
000049-005,Mas-ud,I_PERSON
000049-005,",",O
000049-005,bahwa,O
000049-005,suatu,O
000049-005,kali,O
000049-005,Nabi,O
000049-005,shalat,O
000049-005,di,O
000049-005,dekat,O
000049-005,Ka'bah,B_LOCATION
000049-005,sedangkan,O
000049-005,Abu,B_PERSON
000049-005,Jahal,I_PERSON
000049-005,dan,O
000049-005,rekan-rekannya,O
000049-005,sedang,O
000049-005,duduk-duduk.,O
000049-005,Sebagian,O
000049-005,di,O
000049-005,antara,O
000049-005,mereka,O
000049-005,ada,O
000049-005,yang,O
000049-005,berkata,O
000049-005,kepada,O
000049-005,sebagian,O
000049-005,yang,O
000049-005,"lain,",O
000049-005,"""Siapakah",O
000049-005,di,O
000049-005,antara,O
000049-005,kalian,O
000049-005,yang,O
000049-005,berani,O
000049-005,mengambil,O
000049-005,kotoran,O
000049-005,onta,O
000049-005,yang,O
000049-005,disembelih,O
000049-005,di,O
000049-005,Bani,O
000049-005,"Fulan,",O
000049-005,dan,O
000049-005,meletakkannya,O
000049-005,di,O
000049-005,punggung,O
000049-005,Muhammad,B_PERSON
000049-005,selagi,O
000049-005,sedang,O
000049-005,shalat?',O
000049-005,Maka,O
000049-005,manusia,O
000049-005,yang,O
000049-005,paling,O
000049-005,"celaka,",O
000049-005,Uqbah,B_PERSON
000049-005,bin,I_PERSON
000049-005,Abu,I_PERSON
000049-005,"Mu'ith,",I_PERSON
000049-005,melaksanakannya,O
000049-005,Dia,O
000049-005,menunggu,O
000049-005,dan,O
000049-005,memandang.,O
000049-005,Tatkala,O
000049-005,beliau,O
000049-005,sedang,O
000049-005,sujud,O
000049-005,kepada,O
000049-005,"Allah,",O
000049-005,maka,O
000049-005,dia,O
000049-005,meletakkan,O
000049-005,kotoran,O
000049-005,itu,O
000049-005,di,O
000049-005,antara,O
000049-005,pundak,O
000049-005,beliau.,O
000049-005,Aku,O
000049-005,hanya,O
000049-005,bisa,O
000049-005,mengawasi,O
000049-005,dan,O
000049-005,tidak,O
000049-005,mampu,O
000049-005,berbuat,O
000049-005,apa-apa.,O
000051-005,4,O
000051-005,84,O
000051-005,Tafhimul-Qur,O
000051-005,"'an,",O
000051-005,5/188.,O
000051-005,Makna,O
000051-005,ini,O
000051-005,yang,O
000051-005,bisa,O
000051-005,disimpulkan,O
000051-005,para,O
000051-005,peneliti,O
000051-005,mengenai,O
000051-005,hadits,O
000051-005,Gharaniq.,O
000051-005,Apa,O
000051-005,yang,O
000051-005,selama,O
000051-005,itu,O
000051-005,mereka,O
000051-005,pegang,O
000051-005,telah,O
000051-005,"jatuh,",O
000051-005,karena,O
000051-005,mereka,O
000051-005,merasakan,O
000051-005,keagungan,O
000051-005,kalam,O
000051-005,Allah,O
000051-005,yang,O
000051-005,benar-benar,O
000051-005,telah,O
000051-005,menguasai,O
000051-005,kendali,O
000051-005,mereka.,O
000051-005,Saat,O
000051-005,itu,O
000051-005,mereka,O
000051-005,melakukan,O
000051-005,apa,O
000051-005,yang,O
000051-005,sebelumnya,O
000051-005,hendak,O
000051-005,mereka,O
000051-005,punahkan,O
000051-005,dan,O
000051-005,basmi.,O
000051-005,Maka,O
000051-005,setelah,O
000051-005,itu,O
000051-005,mereka,O
000051-005,yang,O
000051-005,sujud,O
000051-005,itu,O
000051-005,mendapat,O
000051-005,cercaan,O
000051-005,dan,O
000051-005,makian,O
000051-005,dari,O
000051-005,segala,O
000051-005,"arah,",O
000051-005,yaitu,O
000051-005,dilontarkan,O
000051-005,orang-orang,O
000051-005,musyrik,O
000051-005,yang,O
000051-005,tidak,O
000051-005,ikut,O
000051-005,sujud.,O
000051-005,Pada,O
000051-005,saat,O
000051-005,itulah,O
000051-005,mereka,O
000051-005,mendustakan,O
000051-005,Rasulullah,B_PERSON
000051-005,dan,O
000051-005,mengada-ngadakan,O
000051-005,perkataan,O
000051-005,untuk,O
000051-005,memojokkan,O
000051-005,"beliau,",O
000051-005,bahwa,O
000051-005,beliau,O
000051-005,menyebutkan,O
000051-005,nama-nama,O
000051-005,berhala,O
000051-005,mereka,O
000051-005,dengan,O
000051-005,ungkapan,O
000051-005,berisi,O
000051-005,"sanjungan,",O
000051-005,bahwa,O
000051-005,beliau,O
000051-005,berkata,O
000051-005,tentang,O
000051-005,berhala-berhala,O
000051-005,itu.,O
000051-005,"""Itulah",O
000051-005,Gharaniq,O
000051-005,yang,O
000051-005,"luhur,",O
000051-005,yang,O
000051-005,syafaatnya,O
000051-005,benar-benar,O
000051-005,"diharapkan.""",O
000051-005,Mereka,O
000051-005,membuat,O
000051-005,kedustaan,O
000051-005,yang,O
000051-005,nyata,O
000051-005,"ini,",O
000051-005,sebagai,O
000051-005,alasan,O
000051-005,untuk,O
000051-005,menutup-nutupi,O
000051-005,sujud,O
000051-005,mereka,O
000051-005,bersama,O
000051-005,Nabi,O
000051-005,.,O
000051-005,Tindakan,O
000051-005,seperti,O
000051-005,ini,O
000051-005,tidak,O
000051-005,terlalu,O
000051-005,"mengherankan,",O
000051-005,sebab,O
000051-005,mereka,O
000051-005,sudah,O
000051-005,biasa,O
000051-005,membuat,O
000051-005,kedustaan,O
000051-005,dan,O
000051-005,mengarang-ngarang,O
000051-005,cerita,O
000051-005,bohong.,O
000051-005,5,O
000051-005,Cerita,O
000051-005,tentang,O
000051-005,Gharabiq,O
000051-005,dan,O
000051-005,sujudnya,O
000051-005,orang-orang,O
000051-005,musyrik,O
000051-005,ini,O
000051-005,didengar,O
000051-005,para,O
000051-005,Muhajirin,O
000051-005,di,O
000051-005,"Habasyah,",B_LOCATION
000051-005,tetapi,O
000051-005,dengan,O
000051-005,versi,O
000051-005,yang,O
000051-005,berbeda,O
000051-005,jauh,O
000051-005,dengan,O
000051-005,gambaran,O
000051-005,yang,O
000051-005,hakiki.,O
000051-005,Ceritanya,O
000051-005,bahwa,O
000051-005,orang-orang,O
000051-005,Quraisy,O
000051-005,sudah,O
000051-005,masuk,O
000051-005,Islam.,O
000051-005,Oleh,O
000051-005,karena,O
000051-005,itu,O
000051-005,mereka,O
000051-005,pulang,O
000051-005,ke,O
000051-005,Makkah,B_LOCATION
000051-005,pada,O
000051-005,bulan,B_TIME
000051-005,Syawwal,I_TIME
000051-005,pada,O
000051-005,tahun,O
000051-005,yang,O
000051-005,sama.,O
000051-005,Hampir,O
000051-005,mendekati,O
000051-005,Makkah,B_LOCATION
000051-005,sebelum,O
000051-005,tengah,O
000051-005,"hari,",O
000051-005,mereka,O
