chunk_id;halaman;sample_group;sample_period;sample_phase;judul_bab;text_len
000008-001;53-54;phase_P0;P0;Fase I — Pra-Islam & Latar Belakang;KEKUASAAN DAN IMARAH DI KALANGAN BANGSA ARAB;1182
000080-010;191-197;phase_P5;P5;Fase II — Periode Makkah;ISRA’ DAN MI’RAJ;1471
000140-003;295-297;phase_P8;P8;Fase IV — Periode Peperangan Besar;PERANG BADR KUBRA;1395
000254-002;465-469;phase_P11;P11;Fase V — Diplomasi & Ekspansi;KORESPONDENSI DENGAN BEBERAPA RAJA DAN AMIR;1476
000358-003;591-593;phase_P14;P14;Fase VI — Konsolidasi & Akhir Kenabian;KEBERHASILAN DAKWAH ISLAM DAN PENGARUHNYA;1429
000131-002;281-282;perang_badr;P8;Fase IV — Periode Peperangan Besar;PERANG BADR KUBRA;1500
000127-001;275-276;perang_badr;P8;Fase IV — Periode Peperangan Besar;PERANG BADR KUBRA;1490
000142-002;298-299;perang_badr;P8;Fase IV — Periode Peperangan Besar;PERANG BADR KUBRA;1476
000140-001;295-297;perang_badr;P8;Fase IV — Periode Peperangan Besar;PERANG BADR KUBRA;1495
000142-001;298-299;perang_badr;P8;Fase IV — Periode Peperangan Besar;PERANG BADR KUBRA;1487
