lokasi,peristiwa,halaman,evidence
Madinah,Baiat Aqabah Kubra,210-213,"...hijrah adalah Abu Salamah, yaitu setahun sebelum Baiat Aqabah Kubra, seperti yang dikatakan Ibnu Ishaq, yang kemudian disusul oleh istri dan anaknya. Tatkala dia sudah membulatkan tekad untuk hijra"
Madinah,Perang As-Sawiq,315-316,"...n dan pasukannya, sehingga peperangan ini disebut perang As-Sawiq. Terjadi pada bulan Dzul Hijjah, dua bulan setelah Perang Badr. Urusan di Madinah beliau serahkan kepada Abu Lubabah bin Abdul"
Madinah,Perang Badr,277-279 | 315-316 | 327-328 | 385-386,"...a, ""Tidak. Demi yang telah menyelamatkan aku dari Perang Badr."" Setelah pasukan Quraisy agak tenang, mereka mengutus Umair bin Wahb Al-Jumahi untuk menyelidiki dan menaksir seberapa besar kekuatan "
Madinah,Perang Bani Nadhir,385-386,"...emenangan yang diperoleh orang-orang Muslim dalam Perang Bani Nadhir tanpa pengorbanan apa pun, pengaruh kekuasaan mereka di Madinah semakin kokoh. Saat ini orang-orang munafik juga..."
Madinah,Perang Bu'ats,182-188 | 237-242,"...benar bagus."" Tapi tak lama setibanya di Yastrib (Madinah), dia terbunuh dalam Perang Bu'ats. Adapun keislamannya terjadi pada awal tahun kese..."
Madinah,Perang Khandaq,390-404 | 405-411,"...umatkan kekuatan lebih kecil yang sedang mekar di Madinah. Sebab bangsa Arab tidak sanggup menghimpun kekuatan yang lebih besar daripada pasukan Ahzab ini Oleh karena itu Rasulullah bersabda, tatka"
Madinah,Perang Mu'tah,508-510,"...emui mereka pada bulan Jumadal Akhirah 8 H seusai perang Mu'tah, dengan tujuan untuk membujuk dan melunakkan hati mereka. Ada yang berpendapat, sebelumnya ada informasi yang masuk bahwa penduduk Qu"
Madinah,Perang Safawan,256-265,"...h, dan pembawanya adalah Sa d bin Abi Waqqash. 6. Perang Safawan. Pada bulan Rabi'ul Awwal 2 H bertepatan dengan bulan September 623 M, Kurs bin Jabir Al-Firhri bersama beberapa orang 151 Al-Mawahi"
Madinah,Perang Uhud,377,"...wanan terhadap orang-orang Muslim setelah tragedi Uhud adalah Bani As'ad bin Khuzaimah. Mata-mata Madinah mencium bahwa Thalhah dan Salamah, anak Khuailid,..."
Madinah,Perjanjian Hudaibiyah,474,"Sepulang dari Hudaibiyah, Rasulullah berada di Madinah pada bulan Dzul Hijjah dan sebagian Muharram. Pad..."
