surface,suggested_label,chunk_id,matched_text,is_capitalized,start,end,context
hijrah,EVENT,000083-007,hijrah,False,190,196,Khandaq pada tahun kelima setelah [[hijrah]] Sebelum tiba musim haji tahun keti
hijrah,EVENT,000074-003,hijrah,False,188,194,"at tentang orang-orang Muslim yang [[hijrah]] ke Habasyah ""Dan orang-orang yang"
hijrah,EVENT,000080-001,hijrah,False,666,672,", Isra' terjadi enam bulan sebelum [[hijrah]], atau pada bulan Muharram tahun da"
hijrah,EVENT,000080-001,hijrah,False,784,790,terjadi setahun dua bulan setelah [[hijrah]]. tepatnya pada bulan Muharram tahu
hijrah,EVENT,000080-001,hijrah,False,896,902,"pat, Isra' terjadi setahun sebelum [[hijrah]], atau pada bulan Rabi'ul Awwal tah"
hijrah,EVENT,000099-001,hijrah,False,336,342,pada bulan Dzul-Qa'dah tahun dari [[hijrah]] 2. Tahapan masa perdamaian dengan
hijrah,EVENT,000099-001,hijrah,False,467,473,kah pada bulan Ramadhan tahun dari [[hijrah]]. Ini juga merupakan tahapan masa b
hijrah,EVENT,000099-001,hijrah,False,787,793,ada bulan Rabi'ul Awwal tahun dari [[hijrah]].
hijrah,EVENT,000028-002,hijrah,False,577,583,dan mereka masuk Islam serta ikut [[hijrah]]. Hanya saja mereka semua meninggal
hijrah,EVENT,000100-001,hijrah,False,6,12,Makna [[hijrah]] bukan sekadar upaya melepaskan dir
hijrah,EVENT,000100-001,hijrah,False,110,116,"emata, tetapi di samping makna itu [[hijrah]] juga dimaksudkan sebagai batu lonc"
hijrah,EVENT,000103-008,hijrah,False,153,159,"emudian tatkala orang-orang Muslim [[hijrah]] ke Madinah, mereka merampas tanah,"
hijrah,EVENT,000101-004,hijrah,False,135,141,"n Rasul-Nya diizinkan (diwajibkan) [[hijrah]]. Sebagaimana yang diketahui, Madin"
hijrah,EVENT,000101-003,hijrah,False,1436,1442,n Rasul-Nya diizinkan (diwajibkan) [[hijrah]].
hijrah,EVENT,000247-005,hijrah,False,665,671,rim Ja far dan rekan-rekannya yang [[hijrah]] ke Habasyah. Maka dia mengirim mer
hijrah,EVENT,000247-001,hijrah,False,405,411,urat yang dibawa Ja'far ketika dia [[hijrah]] ke Habasyah bersama rekan-rekannya
hijrah,EVENT,000247-001,hijrah,False,525,531,"at itu disebutkan orang-orang yang [[hijrah]] dengan bunyi, ""Aku telah mengutus"
hijrah,EVENT,000223-003,hijrah,False,349,355,"erimanya, kemudian masuk Islam dan [[hijrah]] ke Madinah Sesampai di Madinah, Ra"
hijrah,EVENT,000105-002,hijrah,False,1021,1027,"um berkeluarga Pada masa-masa awal [[hijrah]] itu juga disyariatkan adzan, sebua"
hijrah,EVENT,000077-001,hijrah,False,576,582,hingga musim haji terakhir sebelum [[hijrah]]. Usaha menawarkan Islam itu bisa d
hijrah,EVENT,000078-008,hijrah,False,1272,1278,"telaten bersama mereka, hingga dia [[hijrah]] bersama tujuh puluh atau delapan p"
hijrah,EVENT,000079-003,hijrah,False,793,799,"Madinah pada tahun pertama setelah [[hijrah]], yang saat itu umurnya 9 tahun Bai"
hijrah,EVENT,000078-009,hijrah,False,95,101,"telaten bersama mereka, hingga dia [[hijrah]] bersama tujuh puluh atau delapan p"
hijrah,EVENT,000090-006,hijrah,False,634,640,"tempat persembunyian Nabi sebelum [[hijrah]] ke Madinah Masjid Quba, masjid per"
hijrah,EVENT,000090-003,hijrah,False,1376,1382,an akhirnya beliau diizinkan untuk [[hijrah]].
hijrah,EVENT,000090-004,hijrah,False,210,216,an akhirnya beliau diizinkan untuk [[hijrah]]. Begitu pula riwayatAl-Bukhari dar
hijrah,EVENT,000225-001,hijrah,False,420,426,"ampakkan dendamnya sejak permulaan [[hijrah]], sebelum Islam benar-benar eksis d"
hijrah,EVENT,000302-001,hijrah,False,319,325,"thalib, yang telah masuk Islam dan [[hijrah]] bersama seluruh keluarganya. Kemud"
hijrah,EVENT,000314-002,hijrah,False,796,802,ainab binti Rasulullah saat hendak [[hijrah]] ke Madinah. Dia mengguncang- gunca
hijrah,EVENT,000334-003,hijrah,False,983,989,"di tangan-Nya, kalau bukan karena [[hijrah]], tentu aku termasuk orang-orang An"
hijrah,EVENT,000037-001,hijrah,False,795,801,lai dari tahun dari nubuwah hingga [[hijrah]] ke Madinah. Sedangkan periode Madi
hijrah,EVENT,000109-001,hijrah,False,13,19,Setelah Nabi [[hijrah]] ke Madinah dan berhasil memancangk
hijrah,EVENT,000110-001,hijrah,False,141,147,"erhadap orang-orang Muslim tatkala [[hijrah]], yang sebenarnya sangat potensial"
hijrah,EVENT,000110-001,hijrah,False,619,625,ullah dan orang-orang Muslim tidak [[hijrah]] ke sana. Orang-orang Quraisy Makka
hijrah,EVENT,000113-001,hijrah,False,986,992,"izin ini turun di Madinah setelah [[hijrah]], bukan di Makkah sebelum hijrah. T"
