text_id,token,label
000019-005,Aku,O
000019-005,tidak,O
000019-005,pernah,O
000019-005,melihat,O
000019-005,sepetak,O
000019-005,tanah,O
000019-005,pun,O
000019-005,yang,O
000019-005,lebih,O
000019-005,subur,O
000019-005,saat,O
000019-005,itu,O
000019-005,.,O
000019-005,Domba-domba,O
000019-005,kami,O
000019-005,datang,O
000019-005,menyongsong,O
000019-005,kedatangan,O
000019-005,kami,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,kenyang,O
000019-005,dan,O
000019-005,air,O
000019-005,susunya,O
000019-005,juga,O
000019-005,penuh,O
000019-005,berisi,O
000019-005,",",O
000019-005,sehingga,O
000019-005,kami,O
000019-005,bisa,O
000019-005,memerahnya,O
000019-005,dan,O
000019-005,meminumnya,O
000019-005,.,O
000019-005,Sementara,O
000019-005,setiap,O
000019-005,orang,O
000019-005,yang,O
000019-005,memerah,O
000019-005,air,O
000019-005,susu,O
000019-005,hewannya,O
000019-005,sama,O
000019-005,sekali,O
000019-005,tidak,O
000019-005,mengeluarkan,O
000019-005,air,O
000019-005,susu,O
000019-005,walau,O
000019-005,setetes,O
000019-005,pun,O
000019-005,dan,O
000019-005,kelenjar,O
000019-005,susunya,O
000019-005,juga,O
000019-005,kempes,O
000019-005,.,O
000019-005,Sehingga,O
000019-005,mereka,O
000019-005,berkata,O
000019-005,garang,O
000019-005,kepada,O
000019-005,para,O
000019-005,penggembalanya,O
000019-005,",",O
000019-005,"""",O
000019-005,Celakalah,O
000019-005,kalian,O
000019-005,!,O
000019-005,Lepaskanlah,O
000019-005,hewan,O
000019-005,gembalaan,O
000019-005,kalian,O
000019-005,seperti,O
000019-005,yang,O
000019-005,dilakukan,O
000019-005,gembalanya,O
000019-005,putri,O
000019-005,Abu,B_PERSON
000019-005,Dzu-,I_PERSON
000019-005,aib,O
000019-005,".""",O
000019-005,Namun,O
000019-005,domba-domba,O
000019-005,mereka,O
000019-005,pulang,O
000019-005,ke,O
000019-005,rumah,O
000019-005,tetap,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,lapar,O
000019-005,dan,O
000019-005,setetes,O
000019-005,pun,O
000019-005,tidak,O
000019-005,mengeluarkan,O
000019-005,air,O
000019-005,susu,O
000019-005,.,O
000019-005,Sementara,O
000019-005,domba-dombaku,O
000019-005,pulang,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,kenyang,O
000019-005,dan,O
000019-005,kelenjar,O
000019-005,susunya,O
000019-005,penuh,O
000019-005,berisi,O
000019-005,.,O
000019-005,Kami,O
000019-005,senantiasa,O
000019-005,mendapatkan,O
000019-005,tambahan,O
000019-005,barakah,O
000019-005,dan,O
000019-005,kebaikan,O
000019-005,dari,O
000019-005,Allah,O
000019-005,selama,O
000019-005,dua,O
000019-005,tahun,O
000019-005,menyusui,O
000019-005,anak,O
000019-005,susuan,O
000019-005,kami.Lalu,O
000019-005,kami,O
000019-005,menyapihnya,O
000019-005,.,O
000019-005,Dia,O
000019-005,tumbuh,O
000019-005,dengan,O
000019-005,baik,O
000019-005,",",O
000019-005,tidak,O
000019-005,seperti,O
000019-005,bayi-bayi,O
000019-005,yang,O
000019-005,lain,O
000019-005,.,O
000019-005,Bahkan,O
000019-005,sebelum,O
000019-005,usia,O
000019-005,dua,O
000019-005,tahun,O
000019-005,pun,O
000019-005,dia,O
000019-005,sudah,O
000019-005,tumbuh,O
000019-005,pesat,O
000019-005,.,O
000019-005,Kemudian,O
000019-005,kami,O
000019-005,membawa,O
000019-005,kepada,O
000019-005,ibunya,O
000019-005,",",O
000019-005,meskipun,O
000019-005,kami,O
000019-005,masih,O
000019-005,berharap,O
000019-005,agar,O
000019-005,anak,O
000019-005,itu,O
000019-005,tetap,O
000019-005,berada,O
000019-005,di,O
000019-005,tengah-tengah,O
000019-005,kami,O
000019-005,",",O
000019-005,karena,O
000019-005,kami,O
000019-005,bisa,O
000019-005,merasakan,O
000019-005,barakahnya,O
000019-005,.,O
000019-005,Maka,O
000019-005,kami,O
000019-005,menyampaikan,O
000019-005,niat,O
000019-005,ini,O
000019-005,kepada,O
000019-005,ibunya,O
000019-005,.,O
000019-005,Aku,O
000019-005,berkata,O
000019-005,kepadanya,O
000019-005,",",O
000019-005,"""",O
000019-005,Andaikan,O
000019-005,saja,O
000019-005,engkau,O
000019-005,sudi,O
000019-005,membiarkan,O
000019-005,anak,O
000019-005,ini,O
000019-005,tetapi,O
000019-005,bersama,O
000019-005,kami,O
000019-005,hingga,O
000019-005,menjadi,O
000019-005,besar,O
000019-005,.,O
000021-002,berkata,O
000021-002,",",O
000021-002,"""",O
000021-002,Biarkanlah,O
000021-002,anakku,O
000021-002,ini,O
000021-002,.,O
000021-002,Demi,O
000021-002,Allah,O
000021-002,",",O
000021-002,sesungguhnya,O
000021-002,dia,O
000021-002,akan,O
000021-002,memiliki,O
000021-002,kedudukan,O
000021-002,yang,O
000021-002,agung,O
000021-002,".""",O
000021-002,Kemudian,O
000021-002,Abdul,B_PERSON
000021-002,Muththalib,I_PERSON
000021-002,duduk,O
000021-002,bersama,O
000021-002,beliau,O
000021-002,di,O
000021-002,atas,O
000021-002,dipannya,O
000021-002,",",O
000021-002,sambil,O
000021-002,mengelus,O
000021-002,punggung,O
000021-002,beliau,O
000021-002,dan,O
000021-002,senantiasa,O
000021-002,merasa,O
000021-002,gembira,O
000021-002,terhadap,O
000021-002,apa,O
000021-002,pun,O
000021-002,yang,O
000021-002,beliau,O
000021-002,lakukan,O
000021-002,".""",O
000021-002,Pada,O
000021-002,usia,O
000021-002,delapan,O
000021-002,tahun,O
000021-002,lebih,O
000021-002,dua,O
000021-002,bulan,O
000021-002,sepuluh,O
000021-002,hari,O
000021-002,dari,O
000021-002,umur,O
000021-002,Rasulullah,B_PERSON
000021-002,",",O
000021-002,kakek,O
000021-002,beliau,O
000021-002,meninggal,O
000021-002,dunia,O
000021-002,di,O
000021-002,Makkah,B_LOCATION
000021-002,.,O
000021-002,Sebelum,O
000021-002,meninggal,O
000021-002,",",O
000021-002,Abdul,B_PERSON
000021-002,Muththalib,I_PERSON
000021-002,sudah,O
000021-002,berpesan,O
000021-002,menitipkan,O
000021-002,pengasuhan,O
000021-002,sang,O
000021-002,cucu,O
000021-002,kepada,O
000021-002,pamannya,O
000021-002,",",O
000021-002,Abu,B_PERSON
000021-002,Thalib,I_PERSON
000021-002,",",O
000021-002,saudara,O
000021-002,kandung,O
000021-002,bapak,O
000024-002,Kami,O
000024-002,juga,O
000024-002,bisa,O
000024-002,mendapatkan,O
000024-002,tanda,O
000024-002,itu,O
000024-002,di,O
000024-002,dalam,O
000024-002,kitab,O
000024-002,kami,O
000024-002,".""",O
000024-002,Kemudian,O
000024-002,Rahib,O
000024-002,Bahira,O
000024-002,meminta,O
000024-002,agar,O
000024-002,Abu,B_PERSON
000024-002,Thalib,I_PERSON
000024-002,kembali,O
000024-002,lagi,O
000024-002,bersama,O
000024-002,beliau,O
000024-002,tanpa,O
000024-002,melanjutkan,O
000024-002,perjalanannya,O
000024-002,ke,O
000024-002,Syam,B_LOCATION
000024-002,",",O
000024-002,karena,O
000024-002,dia,O
000024-002,takut,O
000024-002,gangguan,O
000024-002,dari,O
000024-002,pihak,O
000024-002,orang-orang,O
000024-002,Yahudi,O
000024-002,.,O
000024-002,Maka,O
000024-002,Abu,B_PERSON
000024-002,Thalib,I_PERSON
000024-002,mengirim,O
000024-002,beliau,O
000024-002,bersama,O
000024-002,beberapa,O
000024-002,pemuda,O
000024-002,agar,O
000024-002,kembali,O
000024-002,lagi,O
000024-002,ke,O
000028-001,Setibanya,O
000028-001,di,O
000028-001,Makkah,B_LOCATION
000028-001,dan,O
000028-001,setelah,O
000028-001,Khadijah,B_PERSON
000028-001,tahu,O
000028-001,keuntungan,O
000028-001,dagangannya,O
000028-001,yang,O
000028-001,melimpah,O
000028-001,",",O
000028-001,yang,O
000028-001,tidak,O
000028-001,pernah,O
000028-001,dilihatnya,O
000028-001,sebanyak,O
000028-001,itu,O
000028-001,sebelumnya,O
000028-001,",",O
000028-001,apalagi,O
000028-001,setelah,O
000028-001,pembantunya,O
000028-001,",",O
000028-001,Maisarah,O
000028-001,",",O
000028-001,mengabarkan,O
000028-001,kepadanya,O
000028-001,apa,O
000028-001,yang,O
000028-001,dilihatnya,O
000028-001,pada,O
000028-001,diri,O
000028-001,beliau,O
000028-001,selama,O
000028-001,menyertainya,O
000028-001,",",O
