text_id,token,label
000044-001,Setelah,O
000044-001,Nabi,O
000044-001,merasa,O
000044-001,yakin,O
000044-001,terhadap,O
000044-001,janji,O
000044-001,Abu,B_PERSON
000044-001,Thalib,I_PERSON
000044-001,untuk,O
000044-001,melindungi,O
000044-001,68,O
000044-001,Fiqhus-Sirah,O
000044-001,",",O
000044-001,Ibnu-Atsir,B_PERSON
000044-001,",",O
000044-001,hal,O
000044-001,.,O
000044-001,77-78,O
000044-001,dalam,O
000044-001,menyampaikan,O
000044-001,wahyu,O
000044-001,dari,O
000044-001,Allah,O
000044-001,",",O
000044-001,maka,O
000044-001,suatu,O
000044-001,hari,O
000044-001,beliau,O
000044-001,berdiri,O
000044-001,di,O
000044-001,atas,O
000044-001,Shafa,B_LOCATION
000044-001,",",O
000044-001,lalu,O
000044-001,berseru,O
000044-001,",",O
000044-001,"""",O
000044-001,Wahai,O
000044-001,semua,O
000044-001,orang,O
000044-001,"!""",O
000044-001,Maka,O
000044-001,semua,O
000044-001,suku,O
000044-001,Quraisy,O
000044-001,berkumpul,O
000044-001,memenuhi,O
000044-001,seruan,O
000044-001,beliau,O
000044-001,",",O
000044-001,lalu,O
000044-001,beliau,O
000044-001,mengajak,O
000044-001,mereka,O
000044-001,kepada,O
000044-001,tauhid,O
000044-001,dan,O
000044-001,iman,O
000044-001,kepada,O
000044-001,risalah,O
000044-001,beliau,O
000044-001,serta,O
000044-001,iman,O
000044-001,kepada,O
000044-001,Hari,O
000044-001,Akhirat,O
000044-001,.,O
000044-001,Al-Bukhari,O
000044-001,telah,O
000044-001,meriwayatkan,O
000044-001,sebagian,O
000044-001,dari,O
000044-001,kisah,O
000044-001,ini,O
000044-001,",",O
000044-001,dari,O
000044-001,Ibnu,B_PERSON
000044-001,Abbas,I_PERSON
000044-001,.,O
000044-001,dia,O
000044-001,berkata,O
000044-001,",",O
000044-001,"""",O
000044-001,Tatkala,O
000044-001,turun,O
000044-001,ayat,O
000044-001,",",O
000044-001,"""",O
000044-001,Dan,O
000044-001,",",O
000044-001,berilah,O
000044-001,peringatan,O
000044-001,kepada,O
000044-001,kerabat-,O
000044-001,kerabatmu,O
000044-001,yang,O
000044-001,dekat,O
000044-001,""",",O
000044-001,maka,O
000044-001,Nabi,O
000044-001,naik,O
000044-001,ke,O
000044-001,Shafa,B_LOCATION
000044-001,",",O
000044-001,lalu,O
000044-001,berseru,O
000044-001,",",O
000044-001,Wahai,O
000044-001,Bani,O
000044-001,Fihr,O
000044-001,",",O
000044-001,wahai,O
000044-001,Bani,O
000044-001,Adi!',O
000044-001,yang,O
000044-001,ditunjukan,O
000044-001,kepada,O
000044-001,semua,O
000044-001,suku,O
000044-001,Quraisy,O
000044-001,",",O
000044-001,hingga,O
000044-001,mereka,O
000044-001,berkumpul,O
000044-001,semua,O
000044-001,.,O
000044-001,Jika,O
000044-001,ada,O
000044-001,seseorang,O
000044-001,berhalangan,O
000044-001,hadir,O
000044-001,",",O
000044-001,maka,O
000044-001,dia,O
000044-001,mengirim,O
000044-001,utusan,O
000044-001,untuk,O
000044-001,melihat,O
000044-001,apa,O
000044-001,yang,O
000044-001,sedang,O
000044-001,terjadi,O
000044-001,.,O
000044-001,Abu,B_PERSON
000044-001,Lahab,I_PERSON
000044-001,berserta,O
000044-001,para,O
000044-001,pemuka,O
000044-001,Quraisy,O
000044-001,juga,O
000044-001,ikut,O
000044-001,datang,O
000044-001,.,O
000044-001,Beliau,O
000044-001,melanjutkan,O
000044-001,",",O
