text_id,id,token,pos_tag
000019-005,000019-005.001,Aku,NN
000019-005,000019-005.002,tidak,NN
000019-005,000019-005.003,pernah,NN
000019-005,000019-005.004,melihat,NN
000019-005,000019-005.005,sepetak,NN
000019-005,000019-005.006,tanah,NN
000019-005,000019-005.007,pun,NN
000019-005,000019-005.008,yang,NN
000019-005,000019-005.009,lebih,NN
000019-005,000019-005.010,subur,NN
000019-005,000019-005.011,saat,NN
000019-005,000019-005.012,itu,NN
000019-005,000019-005.013,.,NN
000019-005,000019-005.014,Domba-domba,NN
000019-005,000019-005.015,kami,NN
000019-005,000019-005.016,datang,NN
000019-005,000019-005.017,menyongsong,NN
000019-005,000019-005.018,kedatangan,NN
000019-005,000019-005.019,kami,NN
000019-005,000019-005.020,dalam,NN
000019-005,000019-005.021,keadaan,NN
000019-005,000019-005.022,kenyang,NN
000019-005,000019-005.023,dan,NN
000019-005,000019-005.024,air,NN
000019-005,000019-005.025,susunya,NN
000019-005,000019-005.026,juga,NN
000019-005,000019-005.027,penuh,NN
000019-005,000019-005.028,berisi,NN
000019-005,000019-005.029,",",NN
000019-005,000019-005.030,sehingga,NN
000019-005,000019-005.031,kami,NN
000019-005,000019-005.032,bisa,NN
000019-005,000019-005.033,memerahnya,NN
000019-005,000019-005.034,dan,NN
000019-005,000019-005.035,meminumnya,NN
000019-005,000019-005.036,.,NN
000019-005,000019-005.037,Sementara,NN
000019-005,000019-005.038,setiap,NN
000019-005,000019-005.039,orang,NN
000019-005,000019-005.040,yang,NN
000019-005,000019-005.041,memerah,NN
000019-005,000019-005.042,air,NN
000019-005,000019-005.043,susu,NN
000019-005,000019-005.044,hewannya,NN
000019-005,000019-005.045,sama,NN
000019-005,000019-005.046,sekali,NN
000019-005,000019-005.047,tidak,NN
000019-005,000019-005.048,mengeluarkan,NN
000019-005,000019-005.049,air,NN
000019-005,000019-005.050,susu,NN
000019-005,000019-005.051,walau,NN
000019-005,000019-005.052,setetes,NN
000019-005,000019-005.053,pun,NN
000019-005,000019-005.054,dan,NN
000019-005,000019-005.055,kelenjar,NN
000019-005,000019-005.056,susunya,NN
000019-005,000019-005.057,juga,NN
000019-005,000019-005.058,kempes,NN
000019-005,000019-005.059,.,NN
000019-005,000019-005.060,Sehingga,NN
000019-005,000019-005.061,mereka,NN
000019-005,000019-005.062,berkata,NN
000019-005,000019-005.063,garang,NN
000019-005,000019-005.064,kepada,NN
000019-005,000019-005.065,para,NN
000019-005,000019-005.066,penggembalanya,NN
000019-005,000019-005.067,",",NN
000019-005,000019-005.068,"""",NN
000019-005,000019-005.069,Celakalah,NN
000019-005,000019-005.070,kalian,NN
000019-005,000019-005.071,!,NN
000019-005,000019-005.072,Lepaskanlah,NN
000019-005,000019-005.073,hewan,NN
000019-005,000019-005.074,gembalaan,NN
000019-005,000019-005.075,kalian,NN
000019-005,000019-005.076,seperti,NN
000019-005,000019-005.077,yang,NN
000019-005,000019-005.078,dilakukan,NN
000019-005,000019-005.079,gembalanya,NN
000019-005,000019-005.080,putri,NN
000019-005,000019-005.081,Abu,NN
000019-005,000019-005.082,Dzu-,NN
000019-005,000019-005.083,aib,NN
000019-005,000019-005.084,".""",NN
000019-005,000019-005.085,Namun,NN
000019-005,000019-005.086,domba-domba,NN
000019-005,000019-005.087,mereka,NN
000019-005,000019-005.088,pulang,NN
000019-005,000019-005.089,ke,NN
000019-005,000019-005.090,rumah,NN
000019-005,000019-005.091,tetap,NN
000019-005,000019-005.092,dalam,NN
000019-005,000019-005.093,keadaan,NN
000019-005,000019-005.094,lapar,NN
000019-005,000019-005.095,dan,NN
000019-005,000019-005.096,setetes,NN
000019-005,000019-005.097,pun,NN
000019-005,000019-005.098,tidak,NN
