chunk_id,doc_id,chunk_index,judul_bab,judul_sub_bab,halaman,teks_chunk,entity_text,label,notes,start_char,end_char
000035-002,35.0,2.0,DI BAWAH LINDUNGAN NUBUWAH DAN RISALAH,Sedikit Penjelasan tentang Pembagian-pembagian Wahyu,100-101,"Ini merupakan wahyu yang paling berat dan malaikat tidak terlihat oleh pandangan Nabi , hingga dahi beliau berkerut mengeluarkan keringat sekalipun pada waktu yang sangat dingin, dan hingga hewan tunggangan beliau menderum ke tanah jika beliau sedang menaikinya. Wahyu seperti ini sekali pernah datang tatkala paha beliau berada di atas Zaid bin Tsabit, sehingga Zaid merasa keberatan dan hampir saja tidak kuat menyangganya. 5. Nabi bisa melihat malaikat dalam rupa aslinya, lalu menyampaikan wahyu seperti yang dikehendaki Allah kepada beliau. Wahyu seperti ini pernah datang dua kali, sebagaimana yang disebutkan Allah di dalam surat An-Najm. 6. Wahyu yang disampaikan Allah kepada beliau, yaitu di atas lapisan-lapisan langit pada malam Mi'raj, berisi kewajiban shalat dan lain-lainnya. 7. Allah berfirman secara langsung dengan Nabi tanpa menggunakan perantara, sebagaimana Allah berfirman dengan Musa bin Imran. Wahyu semacam ini pasti berlaku bagi Musa berdasarkan nash Al-Qur'an dan menurut penuturan beliau dalam hadits tentang Isra' . Sebagian pakar menambahi dengan tingkatan wahyu yang kedelapan, yaitu Allah berfirman langsung di hadapan beliau tanpa ada tabir. Ini termasuk masalah yang dipertentangkan orang-orang salaf maupun khalaf. Begitulah uraian singkat tentang tingkatan-tingkatan wahyu, dari yang pertama hingga kedelapan. Namun yang pasti, tingkatan yang terakhir ini merupakan pendapat yang tidak Jabal Nur Gua Hira 61",Isra',EVENT,auto_isra_coverage,1037,1042
000080-001,80.0,1.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Selagi Nabi berada dalam kondisi terjepit di perjalanan, antara keberhasilan dan tekanan, sementara bintang-bintang kecil berkelip-kelip nun jauh di atas sana, terjadilah peristiwa Isra' dan Mi'raj. Ada perbedaan pendapat mengenai penetapan waktu kejadiannya, yaitu sebagai berikut: 1. Isra' terjadi pada tahun tatkala Allah memuliakan beliau dengan nubuwah Ini menurut pendapat Ath-Thabari. 2. Isra' terjadi lima tahun setelah diutus sebagai rasul. Ini menurutAn-Nawawi dan Al-Qurthubi. 3. Isra' terjadi pada malam tanggal 27 bulan Rajab tahun dari nubuwah Ini merupakan pendapat Al-Allamah Al-Manshurfuri. 4. Ada yang berpendapat, Isra' terjadi enam bulan sebelum hijrah, atau pada bulan Muharram tahun dari nubuwah. 5. Ada yang berpendapat, Isra' terjadi setahun dua bulan setelah hijrah. tepatnya pada bulan Muharram tahun dari nubuwah. 6. Ada yang berpendapat, Isra' terjadi setahun sebelum hijrah, atau pada bulan Rabi'ul Awwal tahun dari nubuwah. Tiga pendapat yang pertama tertolak. Dengan pertimbangan, karena Khadijah x meninggal dunia pada bulan Ramadhan tahun dari nubuwah Sementara pada saat meninggalnya belum ada kewajiban shalat lima waktu. Juga tidak ada perbedaan pendapat, bahwa diwajibkannya shalat lima waktu pada malam Isra'. Sedangkan tiga pendapat lainnya tidak ada satu pun yang menguatkannya. Hanya saja kandungan surat Al-Isra' menunjukkan bahwa Isra' itu terjadi pada masa-masa akhir.",Isra',EVENT,auto_isra_coverage,286,291
000080-001,80.0,1.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Selagi Nabi berada dalam kondisi terjepit di perjalanan, antara keberhasilan dan tekanan, sementara bintang-bintang kecil berkelip-kelip nun jauh di atas sana, terjadilah peristiwa Isra' dan Mi'raj. Ada perbedaan pendapat mengenai penetapan waktu kejadiannya, yaitu sebagai berikut: 1. Isra' terjadi pada tahun tatkala Allah memuliakan beliau dengan nubuwah Ini menurut pendapat Ath-Thabari. 2. Isra' terjadi lima tahun setelah diutus sebagai rasul. Ini menurutAn-Nawawi dan Al-Qurthubi. 3. Isra' terjadi pada malam tanggal 27 bulan Rajab tahun dari nubuwah Ini merupakan pendapat Al-Allamah Al-Manshurfuri. 4. Ada yang berpendapat, Isra' terjadi enam bulan sebelum hijrah, atau pada bulan Muharram tahun dari nubuwah. 5. Ada yang berpendapat, Isra' terjadi setahun dua bulan setelah hijrah. tepatnya pada bulan Muharram tahun dari nubuwah. 6. Ada yang berpendapat, Isra' terjadi setahun sebelum hijrah, atau pada bulan Rabi'ul Awwal tahun dari nubuwah. Tiga pendapat yang pertama tertolak. Dengan pertimbangan, karena Khadijah x meninggal dunia pada bulan Ramadhan tahun dari nubuwah Sementara pada saat meninggalnya belum ada kewajiban shalat lima waktu. Juga tidak ada perbedaan pendapat, bahwa diwajibkannya shalat lima waktu pada malam Isra'. Sedangkan tiga pendapat lainnya tidak ada satu pun yang menguatkannya. Hanya saja kandungan surat Al-Isra' menunjukkan bahwa Isra' itu terjadi pada masa-masa akhir.",Isra',EVENT,auto_isra_coverage,395,400
000080-001,80.0,1.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Selagi Nabi berada dalam kondisi terjepit di perjalanan, antara keberhasilan dan tekanan, sementara bintang-bintang kecil berkelip-kelip nun jauh di atas sana, terjadilah peristiwa Isra' dan Mi'raj. Ada perbedaan pendapat mengenai penetapan waktu kejadiannya, yaitu sebagai berikut: 1. Isra' terjadi pada tahun tatkala Allah memuliakan beliau dengan nubuwah Ini menurut pendapat Ath-Thabari. 2. Isra' terjadi lima tahun setelah diutus sebagai rasul. Ini menurutAn-Nawawi dan Al-Qurthubi. 3. Isra' terjadi pada malam tanggal 27 bulan Rajab tahun dari nubuwah Ini merupakan pendapat Al-Allamah Al-Manshurfuri. 4. Ada yang berpendapat, Isra' terjadi enam bulan sebelum hijrah, atau pada bulan Muharram tahun dari nubuwah. 5. Ada yang berpendapat, Isra' terjadi setahun dua bulan setelah hijrah. tepatnya pada bulan Muharram tahun dari nubuwah. 6. Ada yang berpendapat, Isra' terjadi setahun sebelum hijrah, atau pada bulan Rabi'ul Awwal tahun dari nubuwah. Tiga pendapat yang pertama tertolak. Dengan pertimbangan, karena Khadijah x meninggal dunia pada bulan Ramadhan tahun dari nubuwah Sementara pada saat meninggalnya belum ada kewajiban shalat lima waktu. Juga tidak ada perbedaan pendapat, bahwa diwajibkannya shalat lima waktu pada malam Isra'. Sedangkan tiga pendapat lainnya tidak ada satu pun yang menguatkannya. Hanya saja kandungan surat Al-Isra' menunjukkan bahwa Isra' itu terjadi pada masa-masa akhir.",Isra',EVENT,auto_isra_coverage,491,496
000080-001,80.0,1.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Selagi Nabi berada dalam kondisi terjepit di perjalanan, antara keberhasilan dan tekanan, sementara bintang-bintang kecil berkelip-kelip nun jauh di atas sana, terjadilah peristiwa Isra' dan Mi'raj. Ada perbedaan pendapat mengenai penetapan waktu kejadiannya, yaitu sebagai berikut: 1. Isra' terjadi pada tahun tatkala Allah memuliakan beliau dengan nubuwah Ini menurut pendapat Ath-Thabari. 2. Isra' terjadi lima tahun setelah diutus sebagai rasul. Ini menurutAn-Nawawi dan Al-Qurthubi. 3. Isra' terjadi pada malam tanggal 27 bulan Rajab tahun dari nubuwah Ini merupakan pendapat Al-Allamah Al-Manshurfuri. 4. Ada yang berpendapat, Isra' terjadi enam bulan sebelum hijrah, atau pada bulan Muharram tahun dari nubuwah. 5. Ada yang berpendapat, Isra' terjadi setahun dua bulan setelah hijrah. tepatnya pada bulan Muharram tahun dari nubuwah. 6. Ada yang berpendapat, Isra' terjadi setahun sebelum hijrah, atau pada bulan Rabi'ul Awwal tahun dari nubuwah. Tiga pendapat yang pertama tertolak. Dengan pertimbangan, karena Khadijah x meninggal dunia pada bulan Ramadhan tahun dari nubuwah Sementara pada saat meninggalnya belum ada kewajiban shalat lima waktu. Juga tidak ada perbedaan pendapat, bahwa diwajibkannya shalat lima waktu pada malam Isra'. Sedangkan tiga pendapat lainnya tidak ada satu pun yang menguatkannya. Hanya saja kandungan surat Al-Isra' menunjukkan bahwa Isra' itu terjadi pada masa-masa akhir.",Isra',EVENT,auto_isra_coverage,633,638
000080-001,80.0,1.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Selagi Nabi berada dalam kondisi terjepit di perjalanan, antara keberhasilan dan tekanan, sementara bintang-bintang kecil berkelip-kelip nun jauh di atas sana, terjadilah peristiwa Isra' dan Mi'raj. Ada perbedaan pendapat mengenai penetapan waktu kejadiannya, yaitu sebagai berikut: 1. Isra' terjadi pada tahun tatkala Allah memuliakan beliau dengan nubuwah Ini menurut pendapat Ath-Thabari. 2. Isra' terjadi lima tahun setelah diutus sebagai rasul. Ini menurutAn-Nawawi dan Al-Qurthubi. 3. Isra' terjadi pada malam tanggal 27 bulan Rajab tahun dari nubuwah Ini merupakan pendapat Al-Allamah Al-Manshurfuri. 4. Ada yang berpendapat, Isra' terjadi enam bulan sebelum hijrah, atau pada bulan Muharram tahun dari nubuwah. 5. Ada yang berpendapat, Isra' terjadi setahun dua bulan setelah hijrah. tepatnya pada bulan Muharram tahun dari nubuwah. 6. Ada yang berpendapat, Isra' terjadi setahun sebelum hijrah, atau pada bulan Rabi'ul Awwal tahun dari nubuwah. Tiga pendapat yang pertama tertolak. Dengan pertimbangan, karena Khadijah x meninggal dunia pada bulan Ramadhan tahun dari nubuwah Sementara pada saat meninggalnya belum ada kewajiban shalat lima waktu. Juga tidak ada perbedaan pendapat, bahwa diwajibkannya shalat lima waktu pada malam Isra'. Sedangkan tiga pendapat lainnya tidak ada satu pun yang menguatkannya. Hanya saja kandungan surat Al-Isra' menunjukkan bahwa Isra' itu terjadi pada masa-masa akhir.",Isra',EVENT,auto_isra_coverage,744,749
000080-001,80.0,1.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Selagi Nabi berada dalam kondisi terjepit di perjalanan, antara keberhasilan dan tekanan, sementara bintang-bintang kecil berkelip-kelip nun jauh di atas sana, terjadilah peristiwa Isra' dan Mi'raj. Ada perbedaan pendapat mengenai penetapan waktu kejadiannya, yaitu sebagai berikut: 1. Isra' terjadi pada tahun tatkala Allah memuliakan beliau dengan nubuwah Ini menurut pendapat Ath-Thabari. 2. Isra' terjadi lima tahun setelah diutus sebagai rasul. Ini menurutAn-Nawawi dan Al-Qurthubi. 3. Isra' terjadi pada malam tanggal 27 bulan Rajab tahun dari nubuwah Ini merupakan pendapat Al-Allamah Al-Manshurfuri. 4. Ada yang berpendapat, Isra' terjadi enam bulan sebelum hijrah, atau pada bulan Muharram tahun dari nubuwah. 5. Ada yang berpendapat, Isra' terjadi setahun dua bulan setelah hijrah. tepatnya pada bulan Muharram tahun dari nubuwah. 6. Ada yang berpendapat, Isra' terjadi setahun sebelum hijrah, atau pada bulan Rabi'ul Awwal tahun dari nubuwah. Tiga pendapat yang pertama tertolak. Dengan pertimbangan, karena Khadijah x meninggal dunia pada bulan Ramadhan tahun dari nubuwah Sementara pada saat meninggalnya belum ada kewajiban shalat lima waktu. Juga tidak ada perbedaan pendapat, bahwa diwajibkannya shalat lima waktu pada malam Isra'. Sedangkan tiga pendapat lainnya tidak ada satu pun yang menguatkannya. Hanya saja kandungan surat Al-Isra' menunjukkan bahwa Isra' itu terjadi pada masa-masa akhir.",Isra',EVENT,auto_isra_coverage,866,871
000080-001,80.0,1.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Selagi Nabi berada dalam kondisi terjepit di perjalanan, antara keberhasilan dan tekanan, sementara bintang-bintang kecil berkelip-kelip nun jauh di atas sana, terjadilah peristiwa Isra' dan Mi'raj. Ada perbedaan pendapat mengenai penetapan waktu kejadiannya, yaitu sebagai berikut: 1. Isra' terjadi pada tahun tatkala Allah memuliakan beliau dengan nubuwah Ini menurut pendapat Ath-Thabari. 2. Isra' terjadi lima tahun setelah diutus sebagai rasul. Ini menurutAn-Nawawi dan Al-Qurthubi. 3. Isra' terjadi pada malam tanggal 27 bulan Rajab tahun dari nubuwah Ini merupakan pendapat Al-Allamah Al-Manshurfuri. 4. Ada yang berpendapat, Isra' terjadi enam bulan sebelum hijrah, atau pada bulan Muharram tahun dari nubuwah. 5. Ada yang berpendapat, Isra' terjadi setahun dua bulan setelah hijrah. tepatnya pada bulan Muharram tahun dari nubuwah. 6. Ada yang berpendapat, Isra' terjadi setahun sebelum hijrah, atau pada bulan Rabi'ul Awwal tahun dari nubuwah. Tiga pendapat yang pertama tertolak. Dengan pertimbangan, karena Khadijah x meninggal dunia pada bulan Ramadhan tahun dari nubuwah Sementara pada saat meninggalnya belum ada kewajiban shalat lima waktu. Juga tidak ada perbedaan pendapat, bahwa diwajibkannya shalat lima waktu pada malam Isra'. Sedangkan tiga pendapat lainnya tidak ada satu pun yang menguatkannya. Hanya saja kandungan surat Al-Isra' menunjukkan bahwa Isra' itu terjadi pada masa-masa akhir.",Isra',EVENT,auto_isra_coverage,1241,1246
000080-001,80.0,1.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Selagi Nabi berada dalam kondisi terjepit di perjalanan, antara keberhasilan dan tekanan, sementara bintang-bintang kecil berkelip-kelip nun jauh di atas sana, terjadilah peristiwa Isra' dan Mi'raj. Ada perbedaan pendapat mengenai penetapan waktu kejadiannya, yaitu sebagai berikut: 1. Isra' terjadi pada tahun tatkala Allah memuliakan beliau dengan nubuwah Ini menurut pendapat Ath-Thabari. 2. Isra' terjadi lima tahun setelah diutus sebagai rasul. Ini menurutAn-Nawawi dan Al-Qurthubi. 3. Isra' terjadi pada malam tanggal 27 bulan Rajab tahun dari nubuwah Ini merupakan pendapat Al-Allamah Al-Manshurfuri. 4. Ada yang berpendapat, Isra' terjadi enam bulan sebelum hijrah, atau pada bulan Muharram tahun dari nubuwah. 5. Ada yang berpendapat, Isra' terjadi setahun dua bulan setelah hijrah. tepatnya pada bulan Muharram tahun dari nubuwah. 6. Ada yang berpendapat, Isra' terjadi setahun sebelum hijrah, atau pada bulan Rabi'ul Awwal tahun dari nubuwah. Tiga pendapat yang pertama tertolak. Dengan pertimbangan, karena Khadijah x meninggal dunia pada bulan Ramadhan tahun dari nubuwah Sementara pada saat meninggalnya belum ada kewajiban shalat lima waktu. Juga tidak ada perbedaan pendapat, bahwa diwajibkannya shalat lima waktu pada malam Isra'. Sedangkan tiga pendapat lainnya tidak ada satu pun yang menguatkannya. Hanya saja kandungan surat Al-Isra' menunjukkan bahwa Isra' itu terjadi pada masa-masa akhir.",Isra',EVENT,auto_isra_coverage,1373,1378
000080-010,80.0,10.0,ISRA’ DAN MI’RAJ,UNLABELED SECTION,191-197,"Padahal tidak begitu hakikatnya. Dengan susunan kalimat ini Allah mengisyaratkan bahwa Isra' itu merupakan perjalanan ke Baitul Maqdis. Sebab orang-orang Yahudi akan dikucilkan dari posisi pengendalian umat manusia, karena kejahatan-kejahatan yang mereka lakukan. sehingga mereka pun tersisih. Kemudian Allah akan mengalihkan posisi itu kepada Rasulullah dan menyatukan dua sentral dakwah keturunan Ibrahim Jadi sudah tiba saatnya untuk mengalihkan kendali kepemimpinan spiritual dari satu umat ke lain umat, dari umat yang sejarahnya dilumuri pengkhianatan, permusuhan, dan kejahatan, beralih ke umat yang dibanjiri kebaikan dan kebajikan, sehingga Rasul-Nya senantiasa mendapatkan wahyu Al-Qur an yang menunjuki kepada jalan yang paling lurus. Tetapi bagaimana kendali kepemimpinan itu bisa beralih, padahal Rasulullah hanya bisa berputar-putar di beberapa gunung di Makkah, dalam keadaan terkucil di tengah manusia? Pertanyaan ini menyingkap tabir tentang hakikat lain, bahwa satu periode dari dakwah Islam akan segera berakhir, lalu akan dimulai periode lain yang perjalanannya berbeda dengan periode yang pertama. Oleh karena itu kita bisa melihat sebagian ayat yang mengandung ancaman dan peringatan yang keras, tertuju kepada orang-orang musyrik seperti firman-Nya, ""Dan jika Kami hendak membinasakan suatu negeri, maka Kami perintahkan kepada orang-orang yang hidup mewah di negeri itu (supaya mentaati Allah) tetapi mereka melakukan kedurhakaan dalam negeri itu!",Isra',EVENT,auto_isra_coverage,87,92
