text_id,token,label
000019-005,Aku,O
000019-005,tidak,O
000019-005,pernah,O
000019-005,melihat,O
000019-005,sepetak,O
000019-005,tanah,O
000019-005,pun,O
000019-005,yang,O
000019-005,lebih,O
000019-005,subur,O
000019-005,saat,O
000019-005,itu,O
000019-005,.,O
000019-005,Domba-domba,O
000019-005,kami,O
000019-005,datang,O
000019-005,menyongsong,O
000019-005,kedatangan,O
000019-005,kami,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,kenyang,O
000019-005,dan,O
000019-005,air,O
000019-005,susunya,O
000019-005,juga,O
000019-005,penuh,O
000019-005,berisi,O
000019-005,",",O
000019-005,sehingga,O
000019-005,kami,O
000019-005,bisa,O
000019-005,memerahnya,O
000019-005,dan,O
000019-005,meminumnya,O
000019-005,.,O
000019-005,Sementara,O
000019-005,setiap,O
000019-005,orang,O
000019-005,yang,O
000019-005,memerah,O
000019-005,air,O
000019-005,susu,O
000019-005,hewannya,O
000019-005,sama,O
000019-005,sekali,O
000019-005,tidak,O
000019-005,mengeluarkan,O
000019-005,air,O
000019-005,susu,O
000019-005,walau,O
000019-005,setetes,O
000019-005,pun,O
000019-005,dan,O
000019-005,kelenjar,O
000019-005,susunya,O
000019-005,juga,O
000019-005,kempes,O
000019-005,.,O
000019-005,Sehingga,O
000019-005,mereka,O
000019-005,berkata,O
000019-005,garang,O
000019-005,kepada,O
000019-005,para,O
000019-005,penggembalanya,O
000019-005,",",O
000019-005,"""",O
000019-005,Celakalah,O
000019-005,kalian,O
000019-005,!,O
000019-005,Lepaskanlah,O
000019-005,hewan,O
000019-005,gembalaan,O
000019-005,kalian,O
000019-005,seperti,O
000019-005,yang,O
000019-005,dilakukan,O
000019-005,gembalanya,O
000019-005,putri,O
000019-005,Abu,B_PERSON
000019-005,Dzu-,I_PERSON
000019-005,aib,O
000019-005,".""",O
000019-005,Namun,O
000019-005,domba-domba,O
000019-005,mereka,O
000019-005,pulang,O
000019-005,ke,O
000019-005,rumah,O
000019-005,tetap,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,lapar,O
000019-005,dan,O
000019-005,setetes,O
000019-005,pun,O
000019-005,tidak,O
000019-005,mengeluarkan,O
000019-005,air,O
000019-005,susu,O
000019-005,.,O
000019-005,Sementara,O
000019-005,domba-dombaku,O
000019-005,pulang,O
000019-005,dalam,O
000019-005,keadaan,O
000019-005,kenyang,O
000019-005,dan,O
000019-005,kelenjar,O
000019-005,susunya,O
000019-005,penuh,O
000019-005,berisi,O
000019-005,.,O
000019-005,Kami,O
000019-005,senantiasa,O
000019-005,mendapatkan,O
000019-005,tambahan,O
000019-005,barakah,O
000019-005,dan,O
000019-005,kebaikan,O
000019-005,dari,O
000019-005,Allah,O
000019-005,selama,O
000019-005,dua,O
000019-005,tahun,O
000019-005,menyusui,O
000019-005,anak,O
000019-005,susuan,O
000019-005,kami.Lalu,O
000019-005,kami,O
000019-005,menyapihnya,O
000019-005,.,O
000019-005,Dia,O
000019-005,tumbuh,O
000019-005,dengan,O
000019-005,baik,O
000019-005,",",O
000019-005,tidak,O
000019-005,seperti,O
000019-005,bayi-bayi,O
000019-005,yang,O
000019-005,lain,O
000019-005,.,O
000019-005,Bahkan,O
000019-005,sebelum,O
000019-005,usia,O
000019-005,dua,O
000019-005,tahun,O
000019-005,pun,O
000019-005,dia,O
000019-005,sudah,O
000019-005,tumbuh,O
000019-005,pesat,O
000019-005,.,O
000019-005,Kemudian,O
000019-005,kami,O
000019-005,membawa,O
000019-005,kepada,O
000019-005,ibunya,O
000019-005,",",O
000019-005,meskipun,O
000019-005,kami,O
000019-005,masih,O
000019-005,berharap,O
000019-005,agar,O
000019-005,anak,O
000019-005,itu,O
000019-005,tetap,O
000019-005,berada,O
000019-005,di,O
000019-005,tengah-tengah,O
000019-005,kami,O
000019-005,",",O
000019-005,karena,O
000019-005,kami,O
000019-005,bisa,O
000019-005,merasakan,O
000019-005,barakahnya,O
000019-005,.,O
000019-005,Maka,O
000019-005,kami,O
000019-005,menyampaikan,O
000019-005,niat,O
000019-005,ini,O
000019-005,kepada,O
000019-005,ibunya,O
000019-005,.,O
000019-005,Aku,O
000019-005,berkata,O
000019-005,kepadanya,O
000019-005,",",O
000019-005,"""",O
000019-005,Andaikan,O
000019-005,saja,O
000019-005,engkau,O
000019-005,sudi,O
000019-005,membiarkan,O
000019-005,anak,O
000019-005,ini,O
000019-005,tetapi,O
000019-005,bersama,O
000019-005,kami,O
000019-005,hingga,O
000019-005,menjadi,O
000019-005,besar,O
000019-005,.,O
000051-004,Pada,O
000051-004,bulan,B_TIME
000051-004,Ramadhan,I_TIME
000051-004,di,O
000051-004,tahun,O
000051-004,yang,O
000051-004,sama,O
000051-004,",",O
000051-004,Nabi,O
000051-004,keluar,O
000051-004,dari,O
000051-004,Masjidil,B_LOCATION
000051-004,Haram,I_LOCATION
000051-004,",",O
000051-004,yang,O
000051-004,saat,O
000051-004,itu,O
000051-004,para,O
000051-004,pemuka,O
000051-004,dan,O
000051-004,pembesar,O
000051-004,Quraisy,O
000051-004,sedang,O
000051-004,berkumpul,O
000051-004,di,O
000051-004,sana,O
000051-004,.,O
000051-004,Beliau,O
000051-004,berdiri,O
000051-004,di,O
000051-004,hadapan,O
000051-004,mereka,O
000051-004,",",O
000051-004,lalu,O
000051-004,seketika,O
000051-004,itu,O
000051-004,pula,O
000051-004,membacakan,O
000051-004,surat,O
000051-004,An-Najm,O
000051-004,.,O
000051-004,Orang-orang,O
000051-004,kafir,O
000051-004,itu,O
000051-004,tidak,O
000051-004,pernah,O
000051-004,mendengarkan,O
000051-004,kalam,O
000051-004,Allah,O
000051-004,yang,O
000051-004,seperti,O
000051-004,itu,O
000051-004,sebelumnya,O
000051-004,.,O
000051-004,Sebab,O
000051-004,redaksi,O
000051-004,mereka,O
000051-004,panjang-panjang,O
000051-004,seperti,O
000051-004,biasanya,O
000051-004,",",O
000051-004,memaksa,O
000051-004,sebagian,O
000051-004,di,O
000051-004,antara,O
000051-004,mereka,O
000051-004,untuk,O
000051-004,menjelaskan,O
000051-004,kepada,O
000051-004,sebagian,O
000051-004,yang,O
000051-004,lain,O
000051-004,",",O
000051-004,seperti,O
000051-004,yang,O
000051-004,dijelaskan,O
000051-004,Allah,O
000051-004,",",O
000051-004,"""",O
000051-004,Dan,O
000051-004,orang-orang,O
000051-004,yang,O
000051-004,kafir,O
000051-004,berkata,O
000051-004,",",O
000051-004,Janganlah,O
000051-004,kalian,O
000051-004,mendengar,O
000051-004,dengan,O
000051-004,sungguh-sungguh,O
000051-004,akan,O
000051-004,Al-Qur'an,O
000051-004,ini,O
000051-004,dan,O
000051-004,buatlah,O
000051-004,hiruk,O
000051-004,pikuk,O
000051-004,terhadapnya,O
000051-004,",",O
000051-004,supaya,O
000051-004,kalian,O
000051-004,dapat,O
000051-004,mengalahkannya,O
000051-004,".""",O
000051-004,(,O
000051-004,Fushshilat,O
000051-004,:,O
000051-004,26,O
000051-004,),O
000051-004,Tetapi,O
000051-004,tatkala,O
000051-004,dilantunkan,O
000051-004,bacaan,O
000051-004,surat,O
000051-004,ini,O
000051-004,",",O
000051-004,gendang,O
000051-004,telinga,O
000051-004,mereka,O
000051-004,diketuk,O
000051-004,kalam,O
000051-004,Ilahi,O
000051-004,yang,O
000051-004,indah,O
000051-004,menawan,O
000051-004,",",O
000051-004,yang,O
000051-004,keindahannya,O
000051-004,sulit,O
000051-004,dilukiskan,O
000051-004,dengan,O
000051-004,suatu,O
000051-004,gambaran,O
000051-004,",",O
000051-004,mereka,O
000051-004,pun,O
000051-004,diam,O
000051-004,terpesona,O
000051-004,",",O
000051-004,menyimak,O
000051-004,isinya,O
000051-004,dan,O
000051-004,semua,O
000051-004,orang,O
000051-004,khidmat,O
000051-004,mendengarnya,O
000051-004,",",O
000051-004,sehingga,O
000051-004,tidak,O
000051-004,ada,O
000051-004,pikiran,O
000051-004,lain,O
000051-004,yang,O
000051-004,melintas,O
000051-004,di,O
000051-004,dalam,O
000051-004,benak,O
000051-004,mereka,O
000051-004,.,O
000051-004,Tatkala,O
000051-004,beliau,O
000051-004,membacakan,O
000051-004,penutup,O
000051-004,surat,O
000051-004,ini,O
000051-004,",",O
000051-004,hati,O
000051-004,mereka,O
000051-004,serasa,O
000051-004,terbang,O
000051-004,.,O
000051-004,Akhirnya,O
000051-004,beliau,O
000051-004,membaca,O
000051-004,ayat,O
000051-004,terakhir,O
