chunk_id;halaman;entity_text;entity_label;start_char;end_char;confidence;source
000000-001;34;Rasulullah;PERSON;87.0;97.0;1.0;gold
000001-001;34-35;Jazirah Arab;LOCATION;325.0;337.0;1.0;gold
000001-001;34-35;Laut Merah;LOCATION;347.0;357.0;1.0;gold
000001-001;34-35;Irak;LOCATION;455.0;459.0;1.0;gold
000001-001;34-35;Syam;LOCATION;582.0;586.0;1.0;gold
000001-001;34-35;Irak;LOCATION;618.0;622.0;1.0;gold
000001-001;34-35;Jazirah Arab;LOCATION;771.0;783.0;1.0;gold
000001-001;34-35;Jazirah Arab;LOCATION;887.0;899.0;1.0;gold
000001-001;34-35;Jazirah Arab;LOCATION;997.0;1009.0;1.0;gold
000001-001;34-35;Jazirah Arab;LOCATION;1186.0;1198.0;1.0;gold
000001-002;34-35;Jazirah Arab;LOCATION;235.0;247.0;1.0;gold
000001-002;34-35;India;LOCATION;585.0;590.0;1.0;gold
000001-002;34-35;Cina;LOCATION;595.0;599.0;1.0;gold
000001-002;34-35;Jazirah Arab;LOCATION;643.0;655.0;1.0;gold
000001-002;34-35;Jazirah Arab;LOCATION;791.0;803.0;1.0;gold
000002-001;35-42;Yasyjub bin Qahthan;PERSON;365.0;384.0;1.0;gold
000002-001;35-42;Isma'il;PERSON;493.0;500.0;1.0;gold
000002-001;35-42;Yaman;LOCATION;596.0;601.0;1.0;gold
000002-001;35-42;Zaid;PERSON;751.0;755.0;1.0;gold
000002-001;35-42;Syam;LOCATION;954.0;958.0;1.0;gold
000002-002;35-42;Syam;LOCATION;92.0;96.0;1.0;gold
000002-002;35-42;Yaman;LOCATION;147.0;152.0;1.0;gold
000002-002;35-42;Mesir;LOCATION;435.0;440.0;1.0;gold
000002-002;35-42;Syam;LOCATION;445.0;449.0;1.0;gold
000002-002;35-42;Hijrah;EVENT;716.0;722.0;1.0;gold
000002-002;35-42;Imran bin Amru;PERSON;776.0;790.0;1.0;gold
000002-002;35-42;Yaman;LOCATION;837.0;842.0;1.0;gold
000002-002;35-42;Tsa'labah bin Amru;PERSON;988.0;1006.0;1.0;gold
000002-002;35-42;Hijaz;LOCATION;1026.0;1031.0;1.0;gold
000002-002;35-42;Madinah;LOCATION;1139.0;1146.0;1.0;gold
