text_id,token,label
000145-003,Betapa,O
000145-003,mengesankan,O
000145-003,Id,O
000145-003,yang,O
000145-003,penuh,O
000145-003,kebahagiaan,O
000145-003,ini,O
000145-003,",",O
000145-003,setelah,O
000145-003,Allah,O
000145-003,menyematkan,O
000145-003,mahkota,O
000145-003,kemenangan,O
000145-003,dan,O
000145-003,keperkasaan,O
000145-003,kepada,O
000145-003,mereka,O
000145-003,.,O
000145-003,Betapa,O
000145-003,mengagumkan,O
000145-003,shalat,O
000145-003,Idul,O
000145-003,Fitri,I_TIME
000145-003,yang,O
000145-003,mereka,O
000145-003,lakukan,O
000145-003,saat,O
000145-003,itu,O
000145-003,",",O
000145-003,setelah,O
000145-003,mereka,O
000145-003,keluar,O
000145-003,dari,O
000145-003,rumah,O
000145-003,dengan,O
000145-003,menyerukan,O
000145-003,suara,O
000145-003,takbir,O
000145-003,",",O
000145-003,tahmid,O
000145-003,",",O
000145-003,dan,O
000145-003,tauhid,O
000145-003,.,O
000145-003,Hat,O
000145-003,mereka,O
000145-003,mekar,O
000145-003,dipenuhi,O
000145-003,kecintaan,O
000145-003,kepada,O
000145-003,Allah,O
000145-003,",",O
000145-003,sambil,O
000145-003,tetap,O
000145-003,mengharapkan,O
000145-003,rahmat,O
000145-003,dan,O
000145-003,keridhaan-Nya,O
000145-003,",",O
000145-003,setelah,O
000145-003,Dia,O
000145-003,memuliakan,O
000145-003,mereka,O
000145-003,dengan,O
000145-003,nikmat,O
000145-003,dan,O
000145-003,menguatkan,O
000145-003,mereka,O
000145-003,dengan,O
000145-003,pertolongan-Nya,O
000145-003,.,O
000145-003,Lalu,O
000145-003,Allah,O
000145-003,mengingatkan,O
000145-003,mereka,O
000145-003,tentang,O
000145-003,semua,O
000145-003,ini,O
000145-003,dengan,O
000145-003,berfirman,O
000145-003,",",O
000145-003,81,O
000145-003,I,O
000145-003,x,O
000145-003,i,O
000145-003,"""",O
000145-003,"Dan,ingatlah",O
000145-003,(,O
000145-003,hai,O
000145-003,para,O
000145-003,Muhajirin,O
000145-003,),O
000145-003,ketika,O
000145-003,kalian,O
000145-003,masih,O
000145-003,berjumlah,O
000145-003,sedikit,O
000145-003,lagi,O
000145-003,tertindas,O
000145-003,di,O
000145-003,bumi,O
000145-003,(,O
000145-003,Makkah,B_LOCATION
000145-003,).,O
000145-003,Kalian,O
000145-003,takut,O
000145-003,orang-orang,O
000145-003,(,O
000145-003,Makkah,B_LOCATION
000145-003,),O
000145-003,akar,O
000145-003,menculik,O
000145-003,kalian,O
000145-003,",",O
000145-003,maka,O
000145-003,Allah,O
000145-003,memberi,O
000145-003,kalian,O
000145-003,tempat,O
000145-003,menetap,O
000145-003,(,O
000145-003,Madinah,B_LOCATION
000145-003,),O
000145-003,dan,O
000145-003,dijadikan-Nya,O
000145-003,kalian,O
000145-003,kuat,O
000145-003,dengan,O
000145-003,pertolongan-Nya,O
000145-003,dan,O
000145-003,diberi-Nya,O
000145-003,kalian,O
000145-003,rezeki,O
000145-003,dari,O
000145-003,yang,O
000145-003,baik-baik,O
000145-003,agar,O
000145-003,kalian,O
000145-003,bersyukur,O
000145-003,.,O
000145-003,"""",O
000145-003,(,O
000145-003,Al-Anfal,O
000145-003,:,O
000145-003,26,O
000145-003,),O
000145-003,Sumur,O
000145-003,Badr,B_LOCATION
000240-001,Pada,O
000240-001,saat,O
000240-001,itu,O
000240-001,ada,O
000240-001,beberapa,O
000240-001,wanita,O
000240-001,Mukminah,O
000240-001,yang,O
000240-001,datang,O
000240-001,menemui,O
000240-001,beliau,O
000240-001,.,O
000240-001,Para,O
000240-001,wali,O
000240-001,wanita-wanita,O
000240-001,itu,O
000240-001,meminta,O
000240-001,untuk,O
000240-001,mengembalikan,O
000240-001,mereka,O
000240-001,kepada,O
000240-001,Quraisy,O
000240-001,sesuai,O
000240-001,dengan,O
000240-001,isi,O
000240-001,perjanjian,O
000240-001,yang,O
000240-001,sudah,O
000240-001,dikukuhkan,O
000240-001,di,O
000240-001,Hudaibiyah,B_LOCATION
000240-001,Namun,O
000240-001,beliau,O
000240-001,menolak,O
000240-001,permintaan,O
000240-001,ini,O
000240-001,",",O
000240-001,karena,O
000240-001,kalimat,O
000240-001,yang,O
000240-001,tertulis,O
000240-001,dalam,O
000240-001,perjanjian,O
000240-001,sama,O
000240-001,sekali,O
000240-001,tidak,O
000240-001,menunjukkan,O
000240-001,bahwa,O
000240-001,wanita,O
000240-001,juga,O
000240-001,termasuk,O
000240-001,dalam,O
000240-001,perjanjian,O
000240-001,itu,O
000240-001,.,O
000240-001,Tentang,O
000240-001,kasus,O
000240-001,ini,O
000240-001,Allah,O
000240-001,menurunkan,O
000240-001,ayat,O
000240-001,",",O
000240-001,Ix,O
000240-001,t,O
000240-001,"""",O
000240-001,Hai,O
000240-001,orang-orang,O
000240-001,yang,O
000240-001,beriman,O
000240-001,",",O
000240-001,apabila,O
000240-001,datang,O
000240-001,berhijrah,O
000240-001,kepada,O
000240-001,kalian,O
000240-001,perempuan-perempuan,O
000240-001,yang,O
000240-001,beriman,O
000240-001,",",O
000240-001,maka,O
000240-001,kalian,O
000240-001,hendaklah,O
000240-001,uji,O
000240-001,(,O
000240-001,keimanan,O
000240-001,mereka,O
000240-001,).,O
000240-001,Allah,O
000240-001,lebih,O
000240-001,mengetahui,O
000240-001,tentang,O
000240-001,keimanan,O
000240-001,mereka,O
000240-001,;,O
000240-001,maka,O
000240-001,jika,O
000240-001,kalian,O
000240-001,telah,O
000240-001,mengetahui,O
000240-001,bahwa,O
000240-001,mereka,O
000240-001,(,O
000240-001,benar-benar,O
000240-001,beriman,O
000240-001,),O
000240-001,maka,O
000240-001,janganlah,O
000240-001,kalian,O
000240-001,kembalikan,O
000240-001,mereka,O
000240-001,kepada,O
000240-001,(,O
000240-001,suami-suami,O
000240-001,mereka,O
000240-001,),O
000240-001,orang-orang,O
000240-001,kafir,O
000240-001,.,O
000240-001,Mereka,O
000240-001,tiada,O
000240-001,pula,O
000240-001,halal,O
000240-001,bagi,O
000240-001,mereka,O
000240-001,.,O
000240-001,Dan,O
000240-001,berikanlah,O
000240-001,kepada,O
000240-001,(,O
000240-001,suami-suami,O
000240-001,),O
000240-001,mereka,O
000240-001,mahar,O
000240-001,yang,O
000240-001,telah,O
000240-001,mereka,O
000240-001,bayar,O
000240-001,.,O
000240-001,Dan,O
000240-001,tiada,O
000240-001,dosa,O
000240-001,atas,O
000240-001,kalian,O
000240-001,mengawini,O
000240-001,mereka,O
000240-001,apabila,O
000240-001,kalian,O
000240-001,bayar,O
000240-001,kepada,O
000240-001,mereka,O
000240-001,maharnya,O
000240-001,.,O
000240-001,Dan,O
000240-001,",",O
000240-001,janganlah,O
000240-001,kalian,O
000240-001,tetap,O
000240-001,berpegang,O
000240-001,kepada,O
000240-001,tali,O
000240-001,(,O
000240-001,perkawinan,O
000240-001,),O
000240-001,dengan,O
000240-001,perempuan-perempuan,O
000240-001,kafir,O
000240-001,.,O
000280-002,Muncul,O
000280-002,orang,O
000280-002,kedua,O
000280-002,dari,O
000280-002,mereka,O
000280-002,dan,O
000280-002,akhirnya,O
000280-002,dapat,O
000280-002,dibunuh,O
000280-002,lagi,O
000280-002,oleh,O
000280-002,Az-Zubair,O
000280-002,.,O
000280-002,Orang,O
000280-002,ketiga,O
000280-002,dilayani,O
000280-002,oleh,O
000280-002,Ali,B_PERSON
000280-002,bin,I_PERSON
000280-002,Abu,I_PERSON
000280-002,Thalib,I_PERSON
000280-002,dan,O
000280-002,dapat,O
000280-002,dibunuhnya,O
000280-002,",",O
000280-002,hingga,O
000280-002,ada,O
000280-002,sebelas,O
000280-002,orang,O
000280-002,di,O
000280-002,antara,O
000280-002,mereka,O
000280-002,yang,O
000280-002,semuanya,O
000280-002,dapat,O
000280-002,dibunuh,O
000280-002,.,O
000280-002,Setiap,O
000280-002,kali,O
000280-002,ada,O
000280-002,satu,O
000280-002,orang,O
000280-002,di,O
000280-002,antara,O
000280-002,mereka,O
000280-002,yang,O
000280-002,dapat,O
000280-002,dibunuh,O
000280-002,",",O
000280-002,maka,O
000280-002,sisanya,O
000280-002,diseru,O
000280-002,untuk,O
000280-002,masuk,O
000280-002,Islam,O
000280-002,.,O
000280-002,Saat,O
000280-002,itu,O
000280-002,tiba,O
000280-002,waktu,O
000280-002,shalat,O
000280-002,.,O
000280-002,Maka,O
000280-002,beliau,O
000280-002,melaksanakan,O
000280-002,shalat,O
000280-002,bersama,O
000280-002,para,O
000280-002,sahabat,O
000280-002,.,O
000280-002,Setelah,O
000280-002,selesai,O
000280-002,shalat,O
000280-002,",",O
000280-002,beliau,O
000280-002,kembali,O
000280-002,menyeru,O
000280-002,mereka,O
000280-002,lagi,O
000280-002,agar,O
000280-002,mau,O
000280-002,masuk,O
000280-002,Islam,O
000280-002,",",O
000280-002,mengajak,O
000280-002,kepada,O
000280-002,Allah,O
000280-002,dan,O
000280-002,Rasul-Nya,O
000280-002,.,O
000280-002,Tetapi,O
000280-002,mereka,O
000280-002,tetap,O
000280-002,menolak,O
000280-002,.,O
000280-002,Pertempuran,O
000280-002,berjalan,O
000280-002,terus,O
000280-002,hingga,O
000280-002,sore,O
000280-002,hari,O
000280-002,.,O
000280-002,Esok,O
000280-002,paginya,O
000280-002,selagi,O
000280-002,matahari,O
000280-002,belum,O
000280-002,naik,O
000280-002,sepenggalah,O
000280-002,",",O
000280-002,mereka,O
000280-002,sudah,O
000280-002,menyerah,O
000280-002,.,O
000280-002,Beliau,O
000280-002,dapat,O
000280-002,menaklukkan,O
000280-002,mereka,O
000280-002,dengan,O
000280-002,cara,O
000280-002,damai,O
000280-002,.,O
000280-002,Cukup,O
000280-002,banyak,O
000280-002,harta,O
000280-002,rampasan,O
000280-002,yang,O
000280-002,diperoleh,O
000280-002,dari,O
000280-002,mereka,O
000280-002,Rasulullah,B_PERSON
000280-002,di,O
000280-002,Wadil,O
000280-002,Qura,O
000280-002,selama,O
000280-002,empat,O
000280-002,hari,O
000280-002,",",O
000280-002,dan,O
000280-002,membagi,O
000280-002,harta,O
000280-002,rampasan,O
000280-002,di,O
000280-002,antara,O
000280-002,para,O
000280-002,sahabat,O
000280-002,.,O
000280-002,Sedangkan,O
000280-002,tanahnya,O
000280-002,diserahkan,O
000280-002,kepada,O
000280-002,penduduk,O
000280-002,Wadil,O
000280-002,Qura,O
000280-002,untuk,O
000280-002,diolah,O
000280-002,",",O
000280-002,seperti,O
000280-002,yang,O
000280-002,diberlakukan,O
000280-002,terhadap,O
000280-002,penduduk,O
000332-002,Mereka,O
000332-002,pun,O
000332-002,bermarkas,O
000332-002,di,O
000332-002,sana,O
000332-002,.,O
000332-002,Nabi,O
000332-002,memasang,O
000332-002,manjaniq,O
000332-002,ke,O
000332-002,arah,O
000332-002,penduduk,O
000332-002,Tha'if,B_LOCATION
000332-002,di,O
000332-002,dalam,O
000332-002,benteng,O
000332-002,dan,O
000332-002,melontarkan,O
000332-002,peluru-peluru,O
000332-002,batu,O
000332-002,",",O
000332-002,hingga,O
000332-002,dapat,O
000332-002,merontokkan,O
000332-002,sebagian,O
000332-002,dinding,O
000332-002,benteng,O
000332-002,dan,O
000332-002,beberapa,O
000332-002,prajurit,O
000332-002,Muslim,O
000332-002,masuk,O
000332-002,ke,O
000332-002,dalam,O
000332-002,benteng,O
000332-002,lewat,O
000332-002,dinding,O
000332-002,yang,O
000332-002,sudah,O
000332-002,terlubangi,O
000332-002,itu,O
000332-002,.,O
000332-002,Mereka,O
000332-002,masuk,O
000332-002,ke,O
000332-002,arah,O
000332-002,pagar,O
000332-002,benteng,O
000332-002,untuk,O
000332-002,membakarnya,O
000332-002,.,O
000332-002,Tetapi,O
000332-002,musuh,O
000332-002,melontarkan,O
000332-002,besi,O
000332-002,yang,O
000332-002,sudah,O
000332-002,dibakar,O
000332-002,panas,O
000332-002,dan,O
000332-002,juga,O
000332-002,serangan,O
000332-002,anak,O
000332-002,panah,O
000332-002,ke,O
000332-002,arah,O
000332-002,orang-orang,O
000332-002,Muslim,O
000332-002,yang,O
000332-002,masuk,O
000332-002,ke,O
000332-002,dalam,O
000332-002,benteng,O
000332-002,hingga,O
000332-002,dapat,O
000332-002,membunuh,O
000332-002,sebagian,O
000332-002,di,O
000332-002,antara,O
000332-002,mereka,O
000332-002,Sebagai,O
000332-002,bagian,O
000332-002,dari,O
000332-002,siasat,O
000332-002,perang,O
000332-002,",",O
000332-002,Rasulullah,B_PERSON
000332-002,memerintahkan,O
000332-002,untuk,O
000332-002,menebangi,O
000332-002,pohon,O
000332-002,anggur,O
000332-002,dan,O
000332-002,membakarnya,O
000332-002,.,O
000332-002,Karena,O
000332-002,cukup,O
000332-002,banyak,O
000332-002,pohon-,O
000332-002,pohon,O
000332-002,anggur,O
000332-002,yang,O
000332-002,ditebangi,O
000332-002,",",O
000332-002,pihak,O
000332-002,musuh,O
000332-002,dari,O
000332-002,pihak,O
000332-002,Tha'if,B_LOCATION
000332-002,memohon,O
000332-002,atas,O
000332-002,nama,O
000332-002,Allah,O
000332-002,dan,O
000332-002,hubungan,O
000332-002,kekerabatan,O
000332-002,",",O
000332-002,agar,O
000332-002,penebangan,O
000332-002,itu,O
000332-002,dihentikan,O
000332-002,.,O
000332-002,Beliau,O
000332-002,mengabulkan,O
000332-002,permohonan,O
000332-002,mereka,O
000332-002,.,O
000332-002,Lalu,O
000332-002,beliau,O
000332-002,berseru,O
000332-002,",",O
000332-002,"""",O
000332-002,Siapa,O
000332-002,pun,O
000332-002,yang,O
000332-002,mau,O
000332-002,turun,O
000332-002,dari,O
000332-002,benteng,O
000332-002,dan,O
000332-002,datang,O
000332-002,ke,O
000332-002,sini,O
000332-002,",",O
000332-002,maka,O
000332-002,dia,O
000332-002,bebas,O
000332-002,".""",O
000332-002,Ada,O
000332-002,20,O
000332-002,orang,O
000332-002,yang,O
000332-002,turun,O
000332-002,dari,O
000332-002,benteng,O
000332-002,dan,O
000332-002,mendatangi,O
000332-002,pasukan,O
000332-002,Muslimin,O
000332-002,.,O
000332-002,Di,O
000332-002,antara,O
000332-002,mereka,O
000332-002,ada,O
000332-002,yang,O
000332-002,dijuluki,O
000332-002,Abu,B_PERSON
000332-002,Bakrah,I_PERSON
000332-002,.,O
000332-002,Pekerjaannya,O
000332-002,memanjat,O
000332-002,dinding,O
000332-002,benteng,O
000332-002,Tha'if,B_LOCATION
000332-002,lalu,O
000332-002,menjulurkan,O
000332-002,kerekan,O
000332-002,bundar,O
000332-002,untuk,O
000332-002,mengambil,O
