source_name;source_label;relation_type;relation_subtype;target_name;target_label;chunk_id;evidence;halaman;frequency;weight;periode_bab
Imran bin Amr;PERSON;INVOLVED_IN;;Hijrah;EVENT;000002-002;...erhijrah bisa dibagi menjadi empat golongan: Uzd. Hijrah mereka langsung dipimpin pemuka dan pemimpin mereka, Imran bin Amru Muzaiqiya'. Mereka berpindah-pindah di negeri Yam...;35-42;1;0.5;Hijrah ke Habasyah yang Pertama
Hijrah;EVENT;OCCURRED_AT;;Yaman;LOCATION;000002-002;...erhijrah bisa dibagi menjadi empat golongan: Uzd. Hijrah mereka langsung dipimpin pemuka dan pemimpin mereka, Imran bin Amru Muzaiqiya'. Mereka berpindah-pindah di negeri Yaman dan mengirim para pemandu, lalu berjalan ke arah...;35-42;1;0.2;Hijrah ke Habasyah yang Pertama
Jabalah bin Al-Aiham;PERSON;INVOLVED_IN;;Perang Yarmuk;EVENT;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham dapat ditarik masuk ke dalam Islam pada masa Amir...;47-48;1;0.4;PERANG TABUK
Umar bin Al-Khaththab;PERSON;INVOLVED_IN;;Perang Yarmuk;EVENT;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham dapat ditarik masuk ke dalam Islam pada masa Amirul-Mukminin Umar bin Al-Khaththab;47-48;1;0.2;PERANG TABUK
Perang Yarmuk;EVENT;OCCURRED_AT;;Syam;LOCATION;000006-001;...kat mereka sebagai raja bagi semua bangsa Arab di Syam Ibukotanya adalah Dumatul-Jandal. Suku Ghassan ini terus berkuasa sebagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabal...;47-48;1;0.2;PERANG TABUK
Perang Yarmuk;EVENT;OCCURRED_ON;;tahun 13 H;TIME;000006-001;...bagai kaki tangan imperium Romawi, hingga meletus Perang Yarmuk pada tahun 13 H. Raja mereka yang terakhir, Jabalah bin Al-Aiham...;47-48;1;0.5;PERANG TABUK
Bukhtanashar;PERSON;INVOLVED_IN;;Perang Bukhtanashar;EVENT;000007-001;...p di langit Makkah sejak masa itu. Buktinya, saat Bukhtanashar berperang melawan bangsa Arab di Dzatu Irq, pasukan bangsa Arab saat itu tidak berasal dari Bani Jurhum. Bani Adnan berpencar ke Yaman pada saat Perang Bukhtanashar II (tahun 587 SM.), lalu pergi bersama Ma'ad ke S...;48-53;1;0.3;Perang Burhan
Jursyum bin Jalhamah;PERSON;INVOLVED_IN;;Perang Bukhtanashar;EVENT;000007-001;...i Jurhum. Bani Adnan berpencar ke Yaman pada saat Perang Bukhtanashar II (tahun 587 SM.), lalu pergi bersama Ma'ad ke Syam. Setelah tekanan Bukhtanashar mulai mengendor, maka Ma'ad kembali ke Makkah, namun dia tidak mendapatkan seorang pun dari Bani Jurhum kecuali Jursyum bin Jalhamah Lalu dia menikahi anak putrinya, Mu'anah dan mela...;48-53;1;0.2;Perang Burhan
Perang Bukhtanashar;EVENT;OCCURRED_ON;;tahun 587 SM;TIME;000007-001;...i Jurhum. Bani Adnan berpencar ke Yaman pada saat Perang Bukhtanashar II (tahun 587 SM.), lalu pergi bersama Ma'ad ke Syam. Setelah teka...;48-53;1;0.5;Perang Burhan
Harb bin Umayyah;PERSON;INVOLVED_IN;;Perang Fijar;EVENT;000025-001;Pada usia lima belas tahun, meletus Perang Fijar antara pihak Quraisy bersama Kinanah, berhadapan dengan pihak Qais Ailan. Komandan pasukan Quraisy dan Kinanah dipegang oleh Harb bin Umayyah, karena pertimbangan usia dan kedudukannya terpan...;87-88;1;0.2;Perang Fijar
